Price,Address,Floor,Bathroom,Bedroom,Land,Road,City,Face,Longitude,Latitude
13500000,Balaju,3.0,2.0,4,855.625,13.0,Kathmandu,West,85.3045555,27.7270105
28500000,Balaju,3.0,3.0,6,1197.875,13.0,Kathmandu,West,85.3045555,27.7270105
11000000,Balambu,2.0,3.0,4,727.28,10.0,Kathmandu,East,85.24618777687618,27.6921353
14500000,Balambu,2.5,3.0,5,855.625,10.0,Kathmandu,South East,85.24618777687618,27.6921353
17000000,Balambu,3.0,3.0,6,1026.75,16.0,Kathmandu,East,85.24618777687618,27.6921353
29000000,Balambu,2.5,4.0,5,1369.0,13.0,Kathmandu,South East,85.24618777687618,27.6921353
21000000,Balkhu,3.0,3.0,3,927.4975,13.0,Kathmandu,West,85.29786,27.6849927
36500000,Balkhu,3.0,3.0,6,1369.0,13.0,Kathmandu,West,85.29786,27.6849927
29200000,Balkhu,3.0,4.0,4,1026.75,13.0,Kathmandu,West,85.29786,27.6849927
22300000,Balkhu,2.5,3.0,3,1026.75,16.0,Kathmandu,North,85.29786,27.6849927
22350000,Balkhu,2.5,3.0,3,1026.75,16.0,Kathmandu,North,85.29786,27.6849927
23000000,Balkhu,3.0,2.0,3,1796.8125,20.0,Kathmandu,East,85.29786,27.6849927
24900000,Balkhu,2.5,3.0,3,787.175,20.0,Lalitpur,North,85.2828939,27.6896793
42500000,Balkhu,3.0,3.0,8,2053.5,12.5,Kathmandu,South West,85.29786,27.6849927
45000000,Balkhu,2.5,3.0,4,2652.4375,16.0,Kathmandu,East,85.29786,27.6849927
49500000,Balkhu,3.0,7.0,7,3080.25,10.0,Kathmandu,South,85.29786,27.6849927
72000000,Balkhu,2.5,5.0,7,2738.0,20.0,Kathmandu,West,85.29786,27.6849927
72500000,Balkhu,3.0,5.0,6,2738.0,20.0,Kathmandu,South,85.29786,27.6849927
24900000,Balkhu,3.0,3.0,3,971.5538,13.0,Kathmandu,West,85.29786,27.6849927
26300000,Balkhu,3.0,3.0,3,965.9924,13.0,Kathmandu,West,85.29786,27.6849927
24800000,Balkhu,3.0,3.0,3,975.404,13.0,Kathmandu,West,85.29786,27.6849927
