title,location,price,landsize,Road,bedroom,bathroom,url,direction,parking,built year,district,Municipality,vdc,builtyear,checkmun
Old house for sale on 20 Anna land at Manbhawan Lalitpur,"AVM Chowk, Manbhawan ",110000000,6845,,10,5,https://nepalhomesearch.com/property/old-house-for-sale-on-20-anna-land-at-manbhawan-lalitpur/,,3+,2057,lalitpur,,,,
"10BHK Bungalow For Sale At Khusibu Townplanning, Kathmandu | 9802640534",,105000000,2481.31,16,8,5,https://www.gharghaderi.com/house/2483-10BHK-Bungalow-For-Sale-At-Khusibu-Townplanning-Kathmandu/,South,3+,,Kathmandu,Kathmandu,Khusibu Townplanning,2076,Kathmandu
Bungalow on sale at Rudreshwor Budhanilkantha | 9840872228,,105000000,10952,25,5,5,https://www.gharghaderi.com/house/1385-Bungalow-on-sale-at-Rudreshwor-Budhanilkantha/,North west,3+,,Kathmandu,Budhanilkantha,Rudreshwor,2076,Budhanilkantha
"House On Sale at Maharajgunj, Kathmandu | 9861828129",,105000000,3764,10,4,4,https://www.gharghaderi.com/house/3133-House-On-Sale-at-Maharajgunj-Kathmandu/,East,3+,,Kathmandu,Kathmandu,"Maharajgunj, Kathmandu",2076,Kathmandu
Modern house for sale on 2 ropani at Budhanilkantha,"Buddha Colony, Budhanilantha ",105000000,10952,,5,5,https://nepalhomesearch.com/property/modern-house-for-sale-budhanilkantha/,,3+,2072,kathmandu,,,,
Spontaneous 5 BHK bungalow at Budhanilkantha,Spontaneous 5 BHK bungalow at Budhanilkantha,105000000,7187.25,,5,6,https://nepalhomesearch.com/property/spontaneous-5-bhk-bungalow-at-budhanilkantha/,,3+,,kathmandu,,,,
House sale in Mid Baneshowr at Land Price,"Mid Baneshwar, 44703",104000000,342.25,20,5,3,https://nepalhomesearch.com/property/house-sale-in-mid-baneshowr/,North-west,3+,2062,kathmandu,,,,
House on sale at Jhamsikhel Lalitpur,Jhamsikhel Marg 44600,102500000,4107,13,5,4,https://nepalhomesearch.com/property/house-on-sale-at-jhamsikhel-lalitpur/,South,3+,2060,lalitpur,,,,
"5BHK Bunglow For Sale At Bishalnagar, Kathmandu | 9802640534",,100000000,2738,16,5,3,https://www.gharghaderi.com/house/2484-5BHK-Bunglow-For-Sale-At-Bishalnagar-Kathmandu/,South,3-,,Kathmandu,Kathmandu,Bishalnagar,2076,Kathmandu
Bansbari House Sale,Bansbari 44600,100000000,4107,18,4,3,https://nepalhomesearch.com/property/bansbari-house-sale/,South,3+,2063,kathmandu,,,,
Beautiful Old Villa on 23 aana Sale at Sitapaila,"Sitapaila Metropolitan City, 44620",100000000,7871.75,,5,4,https://nepalhomesearch.com/property/beautiful-old-villa-on-23-aana-sale-at-sitapaila/,West,3+,,kathmandu,,,,
Beautiful house for sale at Kupandole Lalitpur,"Kupondole, Patan, 00779",100000000,3422.5,16,4,3,https://nepalhomesearch.com/property/house-for-sale-at-kupandole/,South,3+,,lalitpur,,,,
Bungalow on 22 annas for sale at Kusunti Lalitpur,Kusunti 44700,100000000,7871.75,,5,5,https://nepalhomesearch.com/property/bungalow-on-22-annas-for-sale-at-kusunti-lalitpur/,,3+,2062,lalitpur,,,,
Bungalow on sale at Golfutar | 9840872228,,100000000,6502.75,13,6,5,https://www.gharghaderi.com/house/1093-Bungalow-on-sale-at-Golfutar/,East,3+,,Kathmandu,Budhanilkantha,GOLFUTAR,2069,Budhanilkantha
House On Sale At Hattigauda | 9819311255,,100000000,1711.2,12,6,4,https://www.gharghaderi.com/house/1346-House-On-Sale-At-Hattigauda/,East,3+,,Kathmandu,Kathmandu,Hattigauda,2067,Kathmandu
House for sale at Gollfutar Height Kathmandu,Golfutar ,100000000,6502.75,,5,4,https://nepalhomesearch.com/property/house-for-sale-at-golfutar-height/,,3+,2057,kathmandu,,,,
House for sale on 14 annas of land in Ghattekulo Kathmandu,Ghattekulo,100000000,4791.5,,10,7,https://nepalhomesearch.com/property/house-for-sale-on-14-annas-of-land-in-ghattekulo-kathmandu/,,3+,,kathmandu,,,,
