title,location,price,landsize,Road,bedroom,bathroom,url,direction,parking,built year,district,Municipality,vdc,builtyear,checkmun
"Bunglow for sale near Grande Hospital,Tokha, Kathmandu | 9843581400",,65000000,2909.12,18,5,5,https://www.gharghaderi.com/house/1870-Bunglow-for-sale-near-Grande-Hospital-Tokha-Kathmandu/,West,3-,,Kathmandu,Tokha,Grande Hospital,2074,Tokha
House for sale in Balaju Seshmati kathmandu | 9843560512,,65000000,5518.78,13,,,https://www.gharghaderi.com/house/582-House-for-sale-in-Balaju-Seshmati-kathmandu/,,,,Kathmandu,Nagarjun,Balaju,,Nagarjun
House on sale in budanilkantha | 9808869132,,65000000,5202.2,,6,5,https://www.gharghaderi.com/house/2206-House-on-sale-in-budanilkantha/,West,3+,,Kathmandu,Budhanilkantha,Bhangal,2068,Budhanilkantha
Modern house for sale at Budhanikantha Kathmandu,Budhanilkantha 44600,65000000,2738,13,5,3,https://nepalhomesearch.com/property/modern-house-for-sale-at-budhanikantha/,South,3-,2060,kathmandu,,,,
New Japanese Style House For Business  Residential Purposes | 8180967427,,65000000,2053.5,20,5,4,https://www.gharghaderi.com/house/955-New-Japanese-Style-House-For-Business--Residential-Purposes/,East,3-,,Lalitpur,Lalitpur,Khumaltar,2074,Lalitpur
Urgent Sale House in Imadol Lalitpur,"Imadol, Mahalaxmi",65000000,4107,13,7,3,https://nepalhomesearch.com/property/urgent-sale-house-in-imadol-lalitpur/,South,3+,,lalitpur,,,,
House on sale at Baneshwor | 9861828129 sold,,63500000,2464.2,20,8,4,https://www.gharghaderi.com/house/2039-House-on-sale-at-Baneshwor/,North east,3-,,Kathmandu,Kathmandu,Baneshwor,2076,Kathmandu
"House For Sale At Dadhikot Height, Bhaktapur | 9851093218",,63000000,3422.5,16,5,5,https://www.gharghaderi.com/house/2390-House-For-Sale-At-Dadhikot-Height-Bhaktapur/,South,3+,,Bhaktapur,Suryabinayak,Dadhikot Height,2068,Suryabinayak
SINGLE FAMILY HOUSE BUDHANILKANTHA | 9840872228,,63000000,2566.875,16,6,5,https://www.gharghaderi.com/house/1783-SINGLE-FAMILY-HOUSE-BUDHANILKANTHA/,East,3+,,Kathmandu,Budhanilkantha,BUDHANILKANTHA,2076,Budhanilkantha
6 Bedroom House For Sale at Baluwatar Kathmandu,Baluwatar,62500000,2395.75,13,6,4,https://nepalhomesearch.com/property/6-bedroom-house-for-sale-at-baluwatar-kathmandu/,South,3+,,kathmandu,,,,
Attractive old house for sale at Bansbari Kathmandu,"Kapan Road, Bansbari ",62500000,3422.5,12,3,3,https://nepalhomesearch.com/property/attractive-old-house-for-sale-at-bansbari-kathmandu/,South,3+,,kathmandu,,,,
Beautiful Old House For Sale At Bansbari Kathmandu,"Kapan Marga, Bansbari ",62500000,3422.5,13,4,3,https://nepalhomesearch.com/property/beautiful-old-house-for-sale-at-bansbari-kathmandu/,South,3+,,kathmandu,,,,
Brand new house for sale at Budhanilkantha,"Rudreshwor Chowk, Budhanilkantha, 22644",62500000,2053.5,20,4,5,https://nepalhomesearch.com/property/brand-new-house-for-sale-at-budhanilkantha/,East,3-,2079,kathmandu,,,,
House for sale on 12 anna at Dhapasi Kathmandu,"Dhapasi Marga, Dhapasi",62500000,4107,,7,7,https://nepalhomesearch.com/property/house-for-sale-in-dhapasi-kathmandu/,,3+,,kathmandu,,,,
5.5 Floor Flat System Brand New House On Sale At Dillbazar | 9847369375,,60000000,1369,15,8,5,https://www.gharghaderi.com/house/1828-5.5-Floor-Flat-System-Brand-New-House-On-Sale-At-Dillbazar/,North west,3+,,Kathmandu,Kathmandu,"KALIKASTHAN, DILLIBAZAR",2076,Kathmandu
Beautiful house for sale at Chandol Kathmandu,Chandol 44600,60000000,2395.75,13,4,5,https://nepalhomesearch.com/property/house-for-sale-at-chandol/,East,3-,2067,kathmandu,,,,
Budhanilkantha 11  AANA house for sale | 9840872228,,60000000,3764.75,13,6,5,https://www.gharghaderi.com/house/1276-Budhanilkantha-11- AANA-house-for-sale/,East,3+,,Kathmandu,Budhanilkantha,Budhanilkantha,2071,Budhanilkantha
House for sale built on 8 anna at Sanepa Lalitpur,"Sanepa, SANEPA-2",60000000,,,5,5,https://nepalhomesearch.com/property/house-for-sale-built-on-8-anna-at-sanepa-lalitpur/,,3-,2075,lalitpur,,,,
House for sale on 10 aana land at Khumaltar Height,Satdobato 44700,60000000,3422.5,,3,3,https://nepalhomesearch.com/property/house-for-sale-on-10-aana-land-at-khumaltar-height/,,3+,,lalitpur,,,,
"House for sale on 10 anna land at Tinkune, Subidhanagar!",Tinkune ,60000000,3422.5,,5,5,https://nepalhomesearch.com/property/house-for-sale-on-10-anna-land-at-tinkune-kathmandu/,,3+,2062,kathmandu,,,,
House for sale on 8.5 aana land at Old Baneshwor,"Thirbam Sadak, Charkhal Dillibazar",60000000,3080.25,,6,3,https://nepalhomesearch.com/property/house-for-sale-on-8-5-aana-land-at-old-baneshwor/,,3+,,kathmandu,,,,
House on Sale | 9861049560,,60000000,2909.125,10,12,6,https://www.gharghaderi.com/house/2699-House-on-Sale/,East,3-,,Lalitpur,Mahalaxmi,Gwarko,2071,Mahalaxmi
Modern house at Dhubmarahi 4 Kathmandu | 984025123,,60000000,2738,12,8,5,https://www.gharghaderi.com/house/622-Modern-house-at-Dhubmarahi-4-Kathmandu/,East,3-,,Kathmandu,Kathmandu,Dhumbarahi,2075,Kathmandu
Sale House at Budhanilkantha,Budhanilkantha,60000000,3080.25,13,4,5,https://nepalhomesearch.com/property/sale-house-at-budhanilkantha/,South-west,3+,2077,kathmandu,,,,
Semi commercial house for sale at Imadol Lalitpur,"Imadol, Mahalaxmi",60000000,4791.5,,9,4,https://nepalhomesearch.com/property/semi-commercial-house-in-imadol/,,3+,2067,lalitpur,,,,
fully furnished 2.5 storey bungalow on sale at Dadhikot Bhaktapur | 9863776434,,59500000,3422.5,14,5,6,https://www.gharghaderi.com/house/3370-fully-furnished-2.5-storey-bungalow-on-sale-at-Dadhikot-Bhaktapur/,East,3+,,Bhaktapur,Madhyapur Thimi,Dadhikot,2066,Madhyapur Thimi
Family Bungalow at Siddhartha Colony on sale | 9840872228,,59000000,2652.43,20,4,5,https://www.gharghaderi.com/house/1187-Family-Bungalow-at-Siddhartha-Colony-on-sale/,South east,3+,,Kathmandu,Budhanilkantha,Siddhartha Colony,2075,Budhanilkantha
11 aana land with house on sale in Grande Villa House (Gongabu Tokha),"Thirbam Sadak, Charkhal Dillibazar .",58500000,,12,6,6,https://nepalhomesearch.com/property/11-aana-land-with-house-on-sale-in-grande-villa-house-gongabu-tokha/,North,,2073,kathmandu,,,,
Attractive house for sale in Valley Homes Sunakothi Lalitpur,"Valley Homes, Satitar, Sunakothi",58500000,2738,,4,4,https://nepalhomesearch.com/property/valley-homes-sunakothi/,,3-,2073,lalitpur,,,,
"6BHK Bunglow For SALE At Bafal, Kathmandu | 9802601313",,58000000,3016.07,12,6,5,https://www.gharghaderi.com/house/2719-6BHK-Bunglow-For-SALE-At-Bafal-Kathmandu/,East,3+,,Kathmandu,Kathmandu,Bafal,2076,Kathmandu
A pleasant home for sale in Rose Villa,"Rose Villa, Siddhartha Colony Road, Budhanilkantha",58000000,2395.75,,5,6,https://nepalhomesearch.com/property/home-for-sale-in-rose-villa/,,3+,2076,kathmandu,,,,
Budhanilkantha Phulbari home | 9840872228,,58000000,2224.625,20,5,5,https://www.gharghaderi.com/house/1367-Budhanilkantha-Phulbari-home/,South east,3-,,Kathmandu,Budhanilkantha,Taulung,2076,Budhanilkantha
House for sale Tokha (Dhapasi) | 9801003584,,58000000,3162.39,6,5,5,https://www.gharghaderi.com/house/2166-House-for-sale-Tokha-(Dhapasi)/,North,3-,,Kathmandu,Tokha,Dhapasi,2068,Tokha
Old house on 8 aana for sale at Bhimsengola Kathmandu,Bhimsengola 44600,58000000,2738,,5,2,https://nepalhomesearch.com/property/old-house-for-sale-at-bhimsengola/,,3-,2055,kathmandu,,,,
House On Sale At Budhanilkantha | 9842341392 sold,,57500000,2395.75,20,4,5,https://www.gharghaderi.com/house/1339-House-On-Sale-At-Budhanilkantha/,South,3-,,Kathmandu,Budhanilkantha,Siddhartha colony,2075,Budhanilkantha
House for sale Nakhipot | 9801097733,,57500000,1500,20,5,6,https://www.gharghaderi.com/house/2773-House-for-sale-Nakhipot/,East,3-,,Lalitpur,Lalitpur,Nakhipot line,2073,Lalitpur
House for sale in Ishan Colony Budhanilkantha,"Ishan Colony, Budhanilkantha",57500000,1369,16,4,3,https://nepalhomesearch.com/property/house-for-sale-in-ishan-colony-budhanilkantha/,,3-,,kathmandu,,,,
VIP house for sale at Gyaneshwor Chowk Kathmandu | 9842341392 sold,,56000000,2053.5,15,4,4,https://www.gharghaderi.com/house/990-VIP-house-for-sale-at-Gyaneshwor-Chowk-Kathmandu/,South,3-,,Kathmandu,Kathmandu,Gyaneshwor,2073,Kathmandu
4.5 story house at Baneshwor Sankhamul | 9840872228,,55500000,1369,15,8,5,https://www.gharghaderi.com/house/1270-4.5-story-house-at-Baneshwor-Sankhamul/,East,3-,,Kathmandu,Kathmandu,Baneshwor,2075,Kathmandu
Modern house for sale at Parbati tole 8 Bhakatapur | 9841459668,,55100000,3422.5,13,5,4,https://www.gharghaderi.com/house/969-Modern-house-for-sale-at-Parbati-tole-8-Bhakatapur/,East,3-,,Bhaktapur,Suryabinayak,Suryabinayak,2076,Suryabinayak
10 aana land with old house for sale at Shantinagar Kathmandu,10 aana land with old house for sale at Shantinagar ,55000000,3422.5,,5,3,https://nepalhomesearch.com/property/10-aana-land-with-old-house-for-sale-at-shantinagar-kathmandu/,,3-,2052,kathmandu,,,,
A modern classic style house for sale at Budhanilkantha Kathmandu,Budhanilkantha ,55000000,2738,,5,5,https://nepalhomesearch.com/property/a-modern-classic-style-house-for-sale-at-budhanilkantha-kathmandu/,,3+,2057,kathmandu,,,,
An old house for sale at Gairidhara Kathmandu,Gairidhara ,55000000,2395.75,,5,3,https://nepalhomesearch.com/property/an-old-house-for-sale-at-gairidhara-kathmandu/,,,,kathmandu,,,,
Attractive Multi-Flat house for sale near Kalanki,"Maitri Nagar, Kirtipur, 44618",55000000,2395.75,13,12,7,https://nepalhomesearch.com/property/multi-flat-house-for-sale-near-kalanki/,East,3+,2075,kathmandu,,,,
Baluwatar new home | 9840872228,,55000000,1745.475,13,6,5,https://www.gharghaderi.com/house/1371-Baluwatar-new-home/,North east,3-,,Kathmandu,Kathmandu,Baluwatar,2076,Kathmandu
Baluwatar supremely beauty bungalow | 9840872228,,55000000,1745.475,12,4,5,https://www.gharghaderi.com/house/1411-Baluwatar-supremely-beauty-bungalow/,South east,3-,,Kathmandu,Kathmandu,Baluwatar,2076,Kathmandu
Budhanilkantha colony bungalow on sale | 9840872228,,55000000,3080.25,20,4,5,https://www.gharghaderi.com/house/1368-Budhanilkantha-colony-bungalow-on-sale/,South east,3+,,Kathmandu,Budhanilkantha,Rudreshwor,2075,Budhanilkantha
Classical Brand New House For Sale At Samakhusi | 9847369375,,55000000,2395.75,20,6,5,https://www.gharghaderi.com/house/1098-Classical-Brand-New-House-For-Sale-At-Samakhusi/,East,3+,,Kathmandu,Kathmandu,Samakhusi,2076,Kathmandu
House For Sale | 9841821726,,55000000,2053.5,16,7,5,https://www.gharghaderi.com/house/2232-House-For-Sale/,North east,3+,,Lalitpur,Mahalaxmi,Lubhu,2075,Mahalaxmi
"House for Sale at Vinayak Colony, Bhaisepati Lalitpur",Vinayak Colony Bhaisepati,55000000,1925.15,12,5,5,https://nepalhomesearch.com/property/house-for-sale-at-vinayak-colony-bhaisepati/,,3-,2075,lalitpur,,,,
House for sale in 7 annas in Dallu Kathmandu,Dallu 44600,55000000,2395.75,,6,4,https://nepalhomesearch.com/property/house-for-sale-in-7-annas-in-dallu-kathmandu/,,3-,,kathmandu,,,,
Modern 5 bhk detached duplex budhanilkanth | 9840872228,,55000000,2566.875,13,5,5,https://www.gharghaderi.com/house/1841-Modern-5-bhk-detached-duplex-budhanilkanth/,North east,3+,,Kathmandu,Budhanilkantha,Budhanilkantha,2076,Budhanilkantha
Modern classic designed house for sale at Budhanilkantha,"Budhanilkantha, काठमाडौँ 44600",55000000,2738,,5,5,https://nepalhomesearch.com/property/house-for-sale-at-budhanilkantha/,,3-,2077,kathmandu,,,,
New House in Budhanikantha | 9814817278,,55000000,2738,12,8,4,https://www.gharghaderi.com/house/2522-New-House-in-Budhanikantha/,East,3+,,Kathmandu,Budhanilkantha,Deuwa Chowk,2076,Budhanilkantha
Semi commercial house for sale at Khuanitar Lazimpat,"Khuanitar Marg, Lazimpat ",55000000,2738,,,,https://nepalhomesearch.com/property/semi-commercial-house-for-sale-at-khuanitar-lazimpat/,,,2067,kathmandu,,,,
"New house for sale in Pasikot, Budhanilkantha | 9849961353",,54000000,4107,,4,4,https://www.gharghaderi.com/house/1409-New-house-for-sale-in-Pasikot-Budhanilkantha/,East,3+,,Kathmandu,Budhanilkantha,Pasikot,2067,Budhanilkantha
A house for sale in Bhaisepati on 11 aana land,"Bhaisepati, Karyabinayak",53500000,3764.75,13,6,5,https://nepalhomesearch.com/property/house-for-sale-in-bhaisepati/,West,3+,2076,lalitpur,,,,
Civil Homes Sunakothi- House for sale,"Civil Homes, Thecho 44710",52500000,2395.75,20,4,3,https://nepalhomesearch.com/property/civil-homes-sunakothi/,North-west,3-,,lalitpur,,,,
House for sale. Reasonable price. Excellent condition | 9803685526,,52500000,2139,8,1,1,https://www.gharghaderi.com/house/2942-House-for-sale.-Reasonable-price.-Excellent-condition/,East,3-,,Kathmandu,kathmandu,Tahachal,2076,kathmandu
New house on sale at Sano Bharyang Housing Kathmandu,Sano Bharyang Housing ,52500000,1711.25,20,4,5,https://nepalhomesearch.com/property/sano-bharyang-housing/,North,3-,2077,kathmandu,,,,
2 semi bungalows for sale at Thapathali Kathmandu,"Thapathali, 00779",52000000,1711.25,13,6,4,https://nepalhomesearch.com/property/2-semi-bungalows-for-sale-at-thapathali/,,3-,2079,kathmandu,,,,
House for sale at Chabahil | 9802242843,,52000000,2502.7,7,6,,https://www.gharghaderi.com/house/825-House-for-sale-at-Chabahil/,,,,Kathmandu,Kathmandu,Samakhusi,,Kathmandu
House for sale in Golfutar 10 Budhanilkantha | 9843810955,,50500000,2738,13,5,5,https://www.gharghaderi.com/house/628-House-for-sale-in-Golfutar-10-Budhanilkantha/,East,3-,,Kathmandu,Budhanilkantha,Golfutar,2068,Budhanilkantha
Old house on 8 aana land for sale at Old Baneshwor,"Old Baneshwor, 34",50400000,2738,10,5,3,https://nepalhomesearch.com/property/old-house-on-8-aana-land-for-sale-at-old-baneshwor/,,3-,,kathmandu,,,,
5 bedroom duplex house in Bhaisepati | 9841217428,,50000000,3422.5,16,5,3,https://www.gharghaderi.com/house/1898-5-bedroom-duplex-house-in-Bhaisepati/,East,3-,,Lalitpur,Lalitpur,Bhaisepati,2068,Lalitpur
Bungalow for Sale in Rudreshwor Budhanilkantha | 9840872228,,50000000,4107,12,7,5,https://www.gharghaderi.com/house/711-Bungalow-for-Sale-in-Rudreshwor-Budhanilkantha/,East,3+,,Kathmandu,Budhanilkantha,Rudreshwor,2075,Budhanilkantha
CG Hills furnished house on sale | 9840872228,,50000000,1540.125,20,4,5,https://www.gharghaderi.com/house/1266-CG-Hills-furnished-house-on-sale/,West,3-,,Kathmandu,Budhanilkantha,Hattigauda,2071,Budhanilkantha
Dhapasi marga near mills berry International school | 985119505w,,50000000,2395.75,10,4,4,https://www.gharghaderi.com/house/2630-Dhapasi-marga-near-mills-berry-International-school/,South,3-,,Kathmandu,Tokha,"bhetghat chowk bansbari , dhapasi marga",2075,Tokha
Flat system house on sale at Balaju | 9841232360,,50000000,1582.9,10,8,8,https://www.gharghaderi.com/house/1446-Flat-system-house-on-sale-at-Balaju/,South,3-,,Kathmandu,Kathmandu,Balaju,2070,Kathmandu
Flat system house on sale at Milanchowk Baneshwor,"Milanchowk, New Baneshwor ",50000000,1689.85,,5,4,https://nepalhomesearch.com/property/flat-system-house-on-sale-at-milanchowk-baneshwor/,,3-,2075,kathmandu,,,,
House for sale in Dallu Chagal | 9808616462,,50000000,2224.625,20,,,https://www.gharghaderi.com/house/524-House-for-sale-in-Dallu-Chagal/,,,,Kathmandu,Kathmandu,Dallu,,Kathmandu
House for sale in Sanepa,Sanepa ,50000000,2053.5,,2,3,https://nepalhomesearch.com/property/house-for-sale-in-sanepa/,,3+,2062,lalitpur,,,,
"Independent House For Sale In Hattiban Housing, Lalitpur",Hattiban ,50000000,1711.25,,4,4,https://nepalhomesearch.com/property/hattiban-housing-house-sale/,,3-,2077,lalitpur,,,,
Multi-Family House For Sale at Anamnagar,Anamnagar,50000000,2053.5,12,7,4,https://nepalhomesearch.com/property/multi-family-house-for-sale-at-anamnagar/,,3+,,kathmandu,,,,
"New House for sale in Hattiban Housing complex, constructed by CE construction | 9851064259",,50000000,1200,20,4,3,https://www.gharghaderi.com/house/2738-New-House-for-sale-in-Hattiban-Housing-complex-constructed-by-CE-construction/,North,3-,,Lalitpur,Lalitpur,Hattiban,2076,Lalitpur
Semi furnished house on sale at Kapan | 984736937,,50000000,2053.5,14,6,4,https://www.gharghaderi.com/house/981-Semi-furnished-house-on-sale-at-Kapan/,East,3-,,Kathmandu,Budhanilkantha,Kapan,2076,Budhanilkantha
Stylish House At Thaiba For Sale of 5.5 annas,"Southern Heights Colony, Thaiba, 44709",50000000,2053.5,20,4,3,https://nepalhomesearch.com/property/stylish-house-at-thaiba-lalitpur/,South-west,3-,2067,lalitpur,,,,
Thaiba Heights Housing,"Thaiba Heights Housing, Thaiba, Godawari",50000000,2053.5,20,4,3,https://nepalhomesearch.com/property/thaiba-heights-housing/,South,3-,2078,lalitpur,,,,
"House on Sale!!!!!! in Sukedhara ,Only 300 meters from Ring Road | 9861495938",,49500000,1369,12,1,3,https://www.gharghaderi.com/house/2489-House-on-Sale!!!!!!-in-Sukedhara-Only-300-meters-from-Ring-Road/,North,3-,,Kathmandu,Kathmandu,Sukedhara,2067,Kathmandu
Ready to move 2 houses on sale at Shantinagar Kathmandu.,Shantinagar,49500000,1390.39,24,6,4,https://nepalhomesearch.com/property/houses-on-sale-at-shantinagar/,North-east,3-,2078,kathmandu,,,,
House for sale in Baneshwor |,,49000000,2053.5,26,,,https://www.gharghaderi.com/house/478-House-for-sale-in-Baneshwor/,,,,Kathmandu,Kathmandu,New-Baneshwor,,Kathmandu
House for sale at Budhanilkantha | 9851141343,,48500000,4791.5,13,5,5,https://www.gharghaderi.com/house/605-House-for-sale-at-Budhanilkantha/,,3-,,Kathmandu,Budhanilkantha,Taulung,,Budhanilkantha
2.5 storey house for sale in Maharajgunj | 9841757111,,48000000,2738,10,7,5,https://www.gharghaderi.com/house/1253-2.5-storey-house-for-sale-in-Maharajgunj/,South,3-,,Kathmandu,Kathmandu,Maharajgunj,2067,Kathmandu
House for sale at Budhanilkantha Kathmandu | 9801909608,,48000000,2738,16,4,3,https://www.gharghaderi.com/house/403-House-for-sale-at-Budhanilkantha-Kathmandu/,north east east,,,Kathmandu,Budhanilkantha,Rudreshwor,,Budhanilkantha
New house for sale in Sipdol 8 Suryabinayak | 9841 21227,,48000000,2053.5,15,7,5,https://www.gharghaderi.com/house/662-New-house-for-sale-in-Sipdol-8-Suryabinayak/,West,3-,,Bhaktapur,Suryabinayak,Sipadol,2074,Suryabinayak
"A beautiful home for sale near Deuba Residence, Budhanilkantha","Deuba Residence, Budhanilkantha ",47500000,2053.5,,5,5,https://nepalhomesearch.com/property/a-beautiful-home-for-sale-near-deuba-residence-budhanilkantha-kathmandu/,,3-,2075,kathmandu,,,,
Budhanilkantha sweet family bungalow | 9840872228,,47500000,2053.5,20,5,5,https://www.gharghaderi.com/house/1423-Budhanilkantha-sweet-family-bungalow/,East,3+,,Kathmandu,Budhanilkantha,Budhanilkantha Naranthan,2076,Budhanilkantha
European style house on 6.5 annas on sale at Bhaisepati Lalitpur,"Gokul Awash, Bhaisepati, Sainbu, 13775",47500000,2395.75,20,5,4,https://nepalhomesearch.com/property/european-style-house/,North-east,3-,2077,lalitpur,,,,
Modern House for sale at Hepali Kathmandu,"Hepali, Budhanilkantha ",47500000,3080.25,,5,5,https://nepalhomesearch.com/property/modern-house-for-sale-at-hepali-kathmandu/,,3-,2072,kathmandu,,,,
Modern Style House At Swayambhu Available On Sale | 9842341392 sold,,47500000,1711.25,13,8,5,https://www.gharghaderi.com/house/1340-Modern-Style-House-At-Swayambhu-Available-On-Sale/,East,3-,,Kathmandu,Kathmandu,Swayambhu,2075,Kathmandu
"Urgent sale – Flat system house at Gothatar, Kathmandu","Kageshwari-Manohara Municipality, Gothatar ",47500000,2395.75,,5,4,https://nepalhomesearch.com/property/urgent-sale-flat-system-house-at-gothatar-mulpani/,,3-,2077,kathmandu,,,,
House for sale at Nayabazar Kathmand made on 10 aana,"Rayamajhi Tol, Nayabazar ",47250000,3764.75,,5,5,https://nepalhomesearch.com/property/house-for-sale-at-nayabazar-made-on-10-aana/,,3+,2057,kathmandu,,,,
Southern Heights Housing – House On Sale,"Southern Heights, Godawari 44700",46500000,2053.5,20,4,4,https://nepalhomesearch.com/property/southern-heights-housing-2/,South-east,3-,2068,lalitpur,,,,
Star Homes Sitapaila,"Star Homes, Sitapaila, 217",46500000,1711.25,20,4,3,https://nepalhomesearch.com/property/star-homes-sitapaila/,North-east,3-,2065,kathmandu,,,,
2.5 storey house for sale at Dhapakhel 15 Lalitpur. | 9817105701,,46000000,3251.37,30,5,3,https://www.gharghaderi.com/house/932-2.5-storey-house-for-sale-at-Dhapakhel-15-Lalitpur./,East,3-,,Lalitpur,Lalitpur,Dhapakhel,2076,Lalitpur
House for sale at Road Show Housing Budhanilkantha,Road Show Housing Budhanilkantha,46000000,2053.5,,5,3,https://nepalhomesearch.com/property/road-show-housing-budhanilkantha/,,3-,2077,kathmandu,,,,
2 Beautiful Houses For Sale at Budhanilkantha,"Muhanpokhari, Budhanilkantha, 22644",45000000,3080.25,18,5,4,https://nepalhomesearch.com/property/houses-for-sale-at-budhanilkantha/,North,3+,2079,kathmandu,,,,
A Luxurious Banglow in Sukedhara. | 9851055550,,45000000,2395.75,12,5,3,https://www.gharghaderi.com/house/992-A-Luxurious-Banglow-in-Sukedhara./,East,3-,,Kathmandu,Kathmandu,Sukedhara,2067,Kathmandu
A beautiful house for sale at Down Town Housing Imadol Lalitpur,"Down Town Housing, Imadol, Mahalaxmi, 44795",45000000,1326.21,20,4,4,https://nepalhomesearch.com/property/down-town-housing-imadol/,East,3-,2077,lalitpur,,,,
Beautiful house for sale | 9823079533,,45000000,2737.92,,5,5,https://www.gharghaderi.com/house/945-Beautiful-house-for-sale/,East,3+,,kathmandu,Budhanilkantha,Jorpati,2076,Budhanilkantha
Beautiful house on sale at koteshwor | 9808045100,,45000000,1540.125,20,8,5,https://www.gharghaderi.com/house/2458-Beautiful-house-on-sale-at-koteshwor/,East,3-,,Kathmandu,Kathmandu,Seti opi marga,2068,Kathmandu
Budhanilkantha bungalow on sale | 9840872228,,45000000,1500,20,5,5,https://www.gharghaderi.com/house/1055-Budhanilkantha-bungalow-on-sale/,East,3-,,Kathmandu,budhanilkantha,Narayanthan,2076,budhanilkantha
Budhanilkantha family suit | 9840872228 sold,,45000000,2395.75,20,5,5,https://www.gharghaderi.com/house/1479-Budhanilkantha-family-suit/,East,3+,,Kathmandu,Budhanilkantha,Budhanilkantha,2076,Budhanilkantha
Bungalow on sale at Basbari | 9847369375,,45000000,2738,20,6,4,https://www.gharghaderi.com/house/1096-Bungalow-on-sale-at-Basbari/,East,3-,,Kathmandu,Budhanilkantha,Bansbari,2076,Budhanilkantha
"House For Sale In Boudha, Mahankal | 9851022411",,45000000,2224.625,,5,2,https://www.gharghaderi.com/house/1927-House-For-Sale-In-Boudha-Mahankal/,East,3-,,Kathmandu,Kathmandu,"Mahankal, Boudha",2076,Kathmandu
"House for sale in Southern Heights Housing, Thaiba Lalitpur","Southern Heights, Godawari 44700",45000000,2053.5,20,4,4,https://nepalhomesearch.com/property/house-for-sale-in-southern-heights-housing/,South-west,3-,,lalitpur,,,,
"House for sale in Sunrise Homes, Balkumari Lalitpur","Sunrise Homes, Balkumari ",45000000,1711.25,,3,4,https://nepalhomesearch.com/property/house-for-sale-in-sunrise-homes-balkumari-lalitpur/,,3-,,lalitpur,,,,
House in Civil Homes Bhaisepati,"Civil Homes, Bhaisepati, Sainbu",45000000,2053.5,,4,4,https://nepalhomesearch.com/property/house-in-civil-homes-bhaisepati/,South-east,3+,2062,lalitpur,,,,
House on Sale | 9843052118,,45000000,1000,,6,5,https://www.gharghaderi.com/house/3517-House-on-Sale/,West,3-,,Lalitpur,Lalitpur,Kusunti-13,2076,Lalitpur
House on sale at Bansbari | 9840872228,,45000000,2738,16,6,5,https://www.gharghaderi.com/house/1095-House-on-sale-at-Bansbari/,West,3-,,Kathmandu,Kathmandu,Bansbari,2069,Kathmandu
New house on sale at Budhanilkantha | 9840872228,,45000000,2738,20,5,5,https://www.gharghaderi.com/house/1117-New-house-on-sale-at-Budhanilkantha/,East,3-,,Kathmandu,Budhanilkantha,Rudreshwor,2076,Budhanilkantha
"Sale Semi Bungalow at Dhungedhara, B AANAsthali | 9860951737",,45000000,1561.51,13,7,5,https://www.gharghaderi.com/house/2293-Sale-Semi-Bungalow-at-Dhungedhara-B AANAsthali/,North,3-,,Kathmandu,Kathmandu,B AANAsthali,2076,Kathmandu
Samakhusi najikai aakarshak ghar bikri ma | 9846199484,,45000000,1711.25,10,7,4,https://www.gharghaderi.com/house/2565-Samakhusi-najikai-aakarshak-ghar-bikri-ma/,East,3-,,Kathmandu,Tokha,Samakhusi Chowk,2076,Tokha
Semi bungalow on sale at Dhumbarahi | 9840872228,,45000000,2395.75,12,8,5,https://www.gharghaderi.com/house/1203-Semi-bungalow-on-sale-at-Dhumbarahi/,East,3+,,Kathmandu,Kathmandu,Dhumbarahi,2069,Kathmandu
Syuchatar Kathmandu nepal | 0487331423,,45000000,3764.75,20,7,4,https://www.gharghaderi.com/house/1732-Syuchatar-Kathmandu-nepal/,East,3-,,Kathmandu,Nagarjun,Syuchatar,2068,Nagarjun
Voguish House at Sukedhara,"Sukedhara, 3832",45000000,2395.75,,4,3,https://nepalhomesearch.com/property/voguish-house-at-sukedhara/,East,3-,,kathmandu,,,,
Brand New House On Sale | 9823021777,,44000000,1711.25,13,1,1,https://www.gharghaderi.com/house/2098-Brand-New-House-On-Sale/,South east,3-,,Lalitpur,Lalitpur,Bhaisepati,2076,Lalitpur
Furnished ready to move in house for sale at Bhaisepati Lalitpur,"Bhaisepati, Sainbu, 13775",44000000,1347.6,20,4,4,https://nepalhomesearch.com/property/furnished-ready-to-move-in-house-for-sale-at-bhaisepati-lalitpur/,North,3-,2078,lalitpur,,,,
Beautiful house for sale at Nakkhu Lalitpur,"Nakhu, 44700",43000000,1711.25,18,5,3,https://nepalhomesearch.com/property/house-for-sale-at-nakkhu-lalitpur/,South,3-,,lalitpur,,,,
Bungalow on sale at Hepali | 9840872228,,43000000,1711.25,16,4,4,https://www.gharghaderi.com/house/1087-Bungalow-on-sale-at-Hepali/,South east,3-,,Kathmandu,Budhanilkantha,Hepali,2071,Budhanilkantha
House for sale at Green Hill City,Green Hill City Imadol,43000000,1711.25,,5,4,https://nepalhomesearch.com/property/ready-to-move-house-for-sale-at-green-hill-city-imadol/,,3-,2077,kathmandu,,,,
House for sale in Thankot 7 Chandragiri Kathmandu | 9819049777,,42900000,4107,22,8,5,https://www.gharghaderi.com/house/914-House-for-sale-in-Thankot-7-Chandragiri-Kathmandu/,East,3+,,Kathmandu,Chandragiri,Thankot,2076,Chandragiri
