district,Municipality,landsize,Road,price,bedroom,bathroom,builtyear,parking,direction,floor
Lalitpur,Mahalaxmi-5,1197.875,12,26000000,7,3,2079,3+,East,2.5
Lalitpur,Mahalaxmi,1112.31,12,25000000,2,3,2076,3-,East,2.5
Lalitpur,Mahalaxmi,1197.875,12,23000000,6,4,2076,3-,South East,2.5
Kathmandu,Kathmandu,1369,12,49500000,1,3,2067,3-,North,2
Kathmandu,Chandragiri,1711.25,12,17500000,4,2,2075,3-,East,2
Kathmandu,Kathmandu,4107,12,96000000,3,3,2067,3+,South,2
Kathmandu,Budhanilkantha,1818.2,12,37500000,5,2,2074,3-,East,2
Lalitpur,Godawari,1625.68,12,13000000,3,2,2068,3+,West,2
Kathmandu,Kathmandu,2566.875,12,18000000,2,1,2079,3+,East,1.5
Lalitpur,Mahalaxmi,855.62,12,11500000,3,1,2076,3-,East,1.5
Bhaktapur,Suryabinayak,1026.75,12,12000000,2,1,2076,3-,East,1
Lalitpur,Mahalaxmi,1026.75,12,12200000,2,1,2076,3-,South,1
Lalitpur,Mahalaxmi,1005.35,12,12000000,2,2,2078,3-,South,1
Lalitpur,Lalitpur,605,12,8000000,2,1,2079,3-,South East,1
Kathmandu,Budhanilkantha,1369,13,3150000000,3,5,2071,3-,East,7
Kathmandu,Nagarjun,1369,13,26500000,1,1,2074,3-,East,7
Bhaktapur,Bhaktapur,2053.5,13,45500000,13,7,2079,3+,North East,4.5
Kathmandu,Kathmandu,2181.84375,13,52500000,20,21,2079,3+,North East,4.5
Kathmandu,New Buspark,1369,13,45000000,20,17,2075,3+,North East,4.5
Kathmandu,Kathmandu,1369,13,38000000,12,5,2073,3-,North East,4.5
Lalitpur,Lalitpur,3422.5,13,70000000,13,9,2072,3+,South,4.5
Bhaktapur,Suryabinayak,1582.9,13,28000000,8,5,2075,3-,East,4
Kathmandu,Kathmandu,3764.75,13,16000000,1,1,2076,3-,North,4
Kathmandu,Budhanilkantha,350.796,13,23000000,1,5,2076,3-,South,4
Bhaktapur,Madhyapur Thimi,1026.75,13,21500000,6,5,2073,3-,East,3.5
Bhaktapur,Suryabinayak,3422.5,13,75000000,6,5,2076,3-,East,3.5
Bhaktapur,Suryabinayak,1796.81,13,26500000,8,4,2076,3-,East,3.5
Kathmandu,Kathmandu,1369,13,27000000,4,4,2072,3-,East,3.5
Kathmandu,Tarkeshwor,2395.75,13,55000000,12,7,2075,3+,East,3.5
Kathmandu,Kathmandu,1711.25,13,47500000,8,5,2075,3-,East,3.5
Kathmandu,Chandragiri,1454.5625,13,29000000,7,4,2079,3+,South East,3.5
Kathmandu,Kathmandu,1026.75,13,37000000,6,3,2060,3+,East,3.5
Kathmandu,Tokha,1369,13,25000000,6,4,2070,3-,South East,3.5
Kathmandu,Budhanilkantha,1197.875,13,24000000,7,4,2076,3-,West,3.5
Lalitpur,Lalitpur,1796.81,13,35000000,12,7,2075,3-,East,3.5
Lalitpur,Lalitpur,1026.75,13,22500000,7,1,2068,3-,West,3.5
Lalitpur,Lalitpur,1403.225,13,28700000,6,5,2076,3+,South,3.5
Lalitpur,Lalitpur Metropolitan,1197.875,13,39000000,5,6,2075,3+,East,3.5
Bhaktapur,Madhyapur Thimi,1197.87,13,27499999,7,3,2074,3-,North East,3
Kathmandu,Gokarneshwor,1200,13,30000000,8,3,2076,3-,East,3
Kathmandu,Tokha,1129.425,13,23500000,7,5,2076,3-,East,3
Kathmandu,Kathmandu,3422.5,13,80000000,6,5,2067,3+,West,3
Kathmandu,Budhanikantha,2053.5,13,41000000,5,4,2079,3-,South West,3
Kathmandu,Gokarneshwor,1369,13,27500000,3,5,2074,3-,South,3
Kathmandu,Kirtipur,1000,13,16500000,8,3,2073,3-,South,3
Kathmandu,Kirtipur,1026.75,13,18000000,8,3,2073,3-,South East,3
Kathmandu,Nagarjun,855.625,13,15500000,5,3,2067,3-,South,3
Kathmandu,Kathmandu,1026.75,13,33000000,5,4,2079,3+,West,3
Kathmandu,Kageshwari-Manohara-07,1283.4375,13,21500000,6,3,2079,3+,East,3
Kathmandu,Kathmandu,1540.125,13,33000000,6,3,2079,3+,East,3
Lalitpur,Mahalaxmi-4,1155.09375,13,27500000,6,4,2079,3+,North West,3
Lalitpur,Mahalaxmi,1026.75,13,26500000,5,3,2079,3+,West,3
Lalitpur,Mahalaxmi,983.96,13,10500000,3,2,2074,3-,West,3
Lalitpur,Lalitpur,3764.75,13,53500000,6,5,2076,3+,West,3
Lalitpur,Mahalaxmi,1048.14,13,24500000,4,5,2076,3-,East,3
Lalitpur,Mahalaxmi,1026.75,13,28100000,5,4,2076,3-,North,3
Lalitpur,Mahalaxmi,1197.875,13,34000000,6,4,2076,3-,East,3
Lalitpur,Lalitpur,1197.875,13,26500000,5,4,2076,3+,North,3
Lalitpur,Mahalaxmi,1882.375,13,35000000,5,4,2076,3-,West,3
Lalitpur,Lalitpur,1060,13,22500000,4,4,2076,3-,West,3
Lalitpur,Mahalaxmi,1882.375,13,35000000,5,4,2076,3-,South East,3
Lalitpur,Mahalaxmi,1060.975,13,20800000,5,5,2076,3-,North,3
Lalitpur,Mahalaxmi,1390.39,13,23500000,6,3,2074,3-,West,3
Lalitpur,Mahalaxmi-4,1026.75,13,26000000,6,3,2079,3+,East,3
Lalitpur,Mahalaxmi-5,941.1875,13,19900000,5,4,2079,3+,East,3
Bhaktapur,Madyapur Thimi-08,1155.09375,13,18500000,3,3,2075,3+,East,2.5
Bhaktapur,Bhaktapur,1369,13,28000000,6,3,2079,3+,North West,2.5
Bhaktapur,Suryabinayak,3422.5,13,55100000,5,4,2076,3-,East,2.5
Bhaktapur,Bhaktapur,1369,13,25000000,6,3,2075,3-,North West,2.5
Bhaktapur,Madhyapur Thimi,1625.68,13,38000000,6,4,2076,3-,West,2.5
Bhaktapur,Bhaktapur,1155.09375,13,27500000,4,4,2079,3+,West,2.5
Kathmandu,Kageshwori Manohara,1454.5625,13,25500000,6,4,2079,3+,West,2.5
Kathmandu,Nagarjun- 8,1197.875,13,19000000,2,4,2075,3+,South,2.5
Kathmandu,Tokha,1711.25,13,27500000,7,4,2075,3-,East,2.5
Kathmandu,Budhanilkantha,1711.25,13,31000000,4,5,2075,3-,East,2.5
Kathmandu,Budhanilkantha,1882.37,13,31800000,5,5,2075,3-,South East,2.5
Kathmandu,Tokha,1711.25,13,32500000,5,5,2075,3-,East,2.5
Kathmandu,Budhanilkantha,1711.25,13,29800000,5,5,2075,3-,West,2.5
Kathmandu,Tokha,1026.75,13,29500000,5,3,2073,3-,West,2.5
Kathmandu,Chandragiri,1369,13,26000000,5,4,2076,3-,North East,2.5
Kathmandu,Chandragiri,1369,13,26000000,3,3,2075,3-,East,2.5
Kathmandu,Budhanilkantha,1197.87,13,22500000,5,4,2075,3-,East,2.5
Kathmandu,Budhanilkantha,1390.39,13,23800000,5,5,2075,3-,East,2.5
Kathmandu,Mahalaxmi,1026.75,13,18000000,6,3,2076,3-,North East,2.5
Kathmandu,Tokha,1369,13,29500000,5,4,2075,3-,East,2.5
Kathmandu,Budhanilkantha,2053.5,13,32000000,5,4,2075,3-,South East,2.5
Kathmandu,Budhanilkantha,2395.75,13,36500000,3,3,2075,3-,East,2.5
Kathmandu,Budhanilkantha,1882.37,13,33400000,5,5,2074,3-,South East,2.5
Kathmandu,Budhanilkantha,1369,13,35000000,6,4,2075,3-,East,2.5
Kathmandu,Tokha,1369,13,27500000,5,5,2075,3-,East,2.5
Kathmandu,Kathmandu,1711.25,13,28000000,6,4,2075,3-,East,2.5
Kathmandu,Nagarjun,1454.56,13,25300000,5,5,2075,3-,East,2.5
Kathmandu,Budhanilkantha,2738,13,50500000,5,5,2068,3-,East,2.5
Kathmandu,Budhanilkantha,1540.125,13,26000000,5,5,2074,3-,South,2.5
Kathmandu,Kathmandu,1069.53125,13,24000000,6,3,2075,3+,East,2.5
Kathmandu,Kathmandu,1197.875,13,30000000,2,2,2079,3+,East,2.5
Kathmandu,Kathmandu,1967.9375,13,49500000,5,5,2079,3+,South,2.5
Kathmandu,Kathmandu,1026.75,13,28000000,4,4,2079,3+,South,2.5
Kathmandu,Budhanilkantha-4,3764.75,13,85000000,6,4,2079,3+,South East,2.5
Kathmandu,Kathmandu,1069.53125,13,23500000,5,3,2075,3+,North East,2.5
Kathmandu,Kapan,1711.25,13,30000000,5,4,2079,3+,South West,2.5
Kathmandu,Kathmandu,1155.09,13,27000000,6,3,2076,3-,South East,2.5
Kathmandu,Kageshwori Manohara-07,1048.140625,13,24000000,6,3,2079,3+,South West,2.5
Kathmandu,Chandragiri,1026.75,13,14500000,2,3,2079,3+,South East,2.5
Kathmandu,Budhanilkantha,1437.45,13,26500000,5,5,2076,3+,East,2.5
Kathmandu,Kathmandu,1369,13,29500000,5,4,2076,3-,East,2.5
Kathmandu,Budhanilkantha,1197.875,13,16500000,5,4,2074,3-,South West,2.5
Kathmandu,Budhanilkantha,1197.87,13,22000000,7,5,2076,3-,East,2.5
Kathmandu,Budhanilkantha,1369,13,27000000,5,5,2076,3-,East,2.5
Kathmandu,Budhanilkantha,6502.75,13,100000000,6,5,2069,3+,East,2.5
Kathmandu,Kathmandu,1369,13,32000000,6,5,2075,3-,East,2.5
Kathmandu,Nagarjun,6845,13,170000000,5,7,2068,3+,East,2.5
Kathmandu,Kageshwori Manahara,1026.75,13,23000000,5,3,2079,3-,South East,2.5
Kathmandu,Budhanikantha,3080.25,13,60000000,4,5,2077,3+,South West,2.5
Kathmandu,Budhanilkantha,1369,13,22000000,6,4,2071,3-,East,2.5
Kathmandu,Budhanilkantha,2395.75,13,34000000,6,4,2067,3-,South West,2.5
Kathmandu,Budhanilkantha,2053.5,13,42000000,5,5,2076,3+,East,2.5
Kathmandu,Tokha,1711.25,13,32000000,6,5,2076,3-,East,2.5
Kathmandu,Budhanilkantha,1369,13,28000000,7,4,2076,3-,East,2.5
Kathmandu,Budhanilkantha,1369,13,27000000,5,5,2076,3-,East,2.5
Kathmandu,Budhanilkantha,1745.475,13,41500000,6,5,2076,3-,West,2.5
Kathmandu,Kathmandu,1745.475,13,55000000,6,5,2076,3-,North East,2.5
Kathmandu,Budhanikantha,2738,13,65000000,5,3,2060,3-,South,2.5
Kathmandu,Chandragiri,1369,13,27500000,5,3,2076,3-,South East,2.5
Kathmandu,Kathmandu,1711.2,13,110000000,6,5,2071,3+,East,2.5
Kathmandu,Kathmandu,3800,13,130000000,4,5,2067,3+,South,2.5
Kathmandu,Kirtipur,1197.87,13,18000000,6,3,2076,3-,South,2.5
Kathmandu,Nagarjun,1369,13,31000000,5,4,2079,3-,South East,2.5
Kathmandu,Budhanikantha,1711.25,13,35000000,5,5,2077,3-,West,2.5
Kathmandu,Kathmandu,2395.75,13,60000000,4,5,2067,3-,East,2.5
Kathmandu,Kathmandu,1540.125,13,26000000,4,3,2070,3-,East,2.5
Kathmandu,Chandragiri,1369,13,27500000,6,5,2076,3-,East,2.5
Kathmandu,Tokha,1048.14,13,26000000,3,4,2075,3-,West,2.5
Kathmandu,Budhanilkantha,1711.25,13,36000000,6,5,2076,3-,North East,2.5
Kathmandu,Lalitpur,3080.25,13,77000000,6,4,2072,3+,East,2.5
Kathmandu,Budhanilkantha,2566.875,13,55000000,5,5,2076,3+,North East,2.5
Kathmandu,Budhanilkantha,1882.375,13,37500000,5,3,2076,3-,South,2.5
Kathmandu,Kathmandu,1882.375,13,35000000,2,1,2071,3-,East,2.5
Kathmandu,Kathmandu,1711.25,13,32000000,1,3,2072,3-,East,2.5
Kathmandu,Gokarneshwor,1026.75,13,19500000,6,3,2068,3-,West,2.5
Kathmandu,Kathmandu,1540.125,13,27000000,5,4,2073,3-,North,2.5
Kathmandu,Budhanilkantha,1711.25,13,34500000,5,4,2076,3-,South,2.5
Kathmandu,Kathmandu,1026.75,13,34500000,4,4,2076,3-,East,2.5
Kathmandu,Kageshwori Manahara,1197.87,13,27000000,6,3,2076,3-,North,2.5
Lalitpur,Mahalaxmi,1026.75,13,23500000,4,3,2076,3-,East,2.5
Lalitpur,Mahalaxmi,1026.75,13,24100000,7,3,2079,3-,North West,2.5
Lalitpur,Mahalaxmi,1369,13,25000000,4,4,2079,3+,North East,2.5
Lalitpur,Mahalaxmi,1112.31,13,25000000,7,4,2076,3-,North,2.5
Lalitpur,Mahalaxmi,1133.7,13,25000000,4,4,2076,3-,East,2.5
Lalitpur,Mahalaxmi,1026.75,13,23000000,4,4,2076,3-,East,2.5
Lalitpur,Mahalaxmi,1197.87,13,26000000,5,4,2076,3-,North East,2.5
Lalitpur,Mahalaxmi,1112.3125,13,25000000,6,3,2079,3+,South West,2.5
Lalitpur,Mahalaxmi,1197.87,13,27500000,5,4,2076,3-,East,2.5
Lalitpur,Mahalaxmi,1026.75,13,23000000,4,4,2076,3-,West,2.5
Lalitpur,Mahalaxmi,1026.75,13,22500000,4,4,2079,3+,West,2.5
Lalitpur,Mahalaxmi,1026.75,13,23500000,4,4,2076,3-,South,2.5
Lalitpur,Lalitpur,1219.26,13,36500000,3,4,2073,3-,East,2.5
Lalitpur,Lalitpur,1112.3125,13,23500000,5,4,2079,3+,South East,2.5
Lalitpur,Mahalaxmi,1197.875,13,25000000,3,3,2068,3-,South West,2.5
Lalitpur,Mahalaxmi-5,1112.3125,13,25000000,6,5,2079,3+,South,2.5
Lalitpur,Lalitpur,1369,13,37500000,4,4,2069,3-,South East,2.5
Lalitpur,Mahalaxmi,1026.75,13,18500000,4,2,2079,3+,South,2.5
Lalitpur,Mahalaxmi,1197.87,13,27000000,6,4,2076,3-,North East,2.5
Lalitpur,Mahalaxmi,1026.75,13,23500000,5,4,2076,3-,East,2.5
Lalitpur,Lalitpur,1026.75,13,23500000,4,4,2076,3-,East,2.5
Lalitpur,Lalitpur,1454.5625,13,36000000,4,5,2076,3+,South West,2.5
Lalitpur,Lalitpur,855.625,13,21500000,5,3,2079,3+,West,2.5
Lalitpur,Lalitpur,1369,13,37500000,6,5,2078,3-,West,2.5
Lalitpur,Mahalaxmi,1197.875,13,18500000,5,3,2076,3-,East,2.5
Lalitpur,Mahalaxmi,1369,13,21000000,7,3,2076,3-,West,2.5
Lalitpur,Lalitpur,900,13,19500000,5,5,2076,3-,East,2.5
Lalitpur,Lalitpur,1197.875,13,16000000,4,3,2073,3-,East,2.5
Lalitpur,Mahalaxmi,1369,13,32500000,5,4,2073,3-,North,2.5
Lalitpur,Mahalaxmi,1026.75,13,18000000,4,3,2076,3-,North West,2.5
Lalitpur,Mahalaxmi,1026.75,13,19500000,4,4,2076,3-,North,2.5
Lalitpur,Mahalaxmi,1026.75,13,20000000,4,4,2076,3-,North,2.5
Lalitpur,Mahalaxmi,1026.75,13,20000000,4,3,2076,3-,East,2.5
Lalitpur,Mahalaxmi,1000,13,19000000,5,3,2076,3-,East,2.5
Lalitpur,Mahalaxmi,1026.75,13,24000000,4,3,2076,3-,East,2.5
Lalitpur,Mahalaxmi,1069.53125,13,17200000,6,3,2079,3+,East,2.5
Lalitpur,Mahalaxmi-4,1026.75,13,25000000,4,4,2079,3+,East,2.5
Lalitpur,Mahalaxmi,1026.75,13,22000000,4,3,2076,3-,East,2.5
Lalitpur,Lalitpur,1026.75,13,20000000,4,3,2079,3+,East,2.5
Lalitpur,Lalitpur,3422.5,13,80000000,4,3,2062,3+,North East,2.5
Lalitpur,Mahalaxmi,1026.75,13,18500000,4,3,2076,3-,South,2.5
Lalitpur,Lalitpur,1711.25,13,44000000,1,1,2076,3-,South East,2.5
Lalitpur,Mahalaxmi,1369,13,28000000,6,4,2079,3-,South,2.5
Lalitpur,Mahalaxmi,1155.09,13,22500000,4,4,2076,3-,South,2.5
Lalitpur,Mahalaxmi,1026.75,13,19000000,4,3,2076,3-,South,2.5
Lalitpur,Lalitpur,1540.12,13,28500000,6,4,2075,3-,East,2.5
Lalitpur,Mahalaxmi,1048.14,13,24000000,4,3,2076,3-,East,2.5
Lalitpur,Godawari,1711.25,13,35000000,5,3,2070,3-,South,2.5
Lalitpur,Mahalaxmi,1026.75,13,25000000,4,3,2076,3-,South East,2.5
Lalitpur,Lalitpur,4107,13,102500000,5,4,2060,3+,South,2.5
Lalitpur,Godawari,1369,13,32500000,5,5,2080,3-,North,2.5
Lalitpur,Lalitpur,1197.87,13,23500000,5,3,2076,3-,South,2.5
Lalitpur,Lalitpur,1775.42,13,34000000,5,3,2076,3+,East,2.5
Lalitpur,Lalitpur,855.625,13,20600000,6,3,2079,3+,West,2.5
Kathmandu,Kathmandu,1197.875,13,20000000,5,2,2075,3+,East,2
Kathmandu,Budhanilkantha,1060.975,13,16000000,2,1,2076,3-,North,2
Bhaktapur,Suryabinayak,1112.31,13,12500000,2,1,2076,3-,East,1.5
Lalitpur,Mahalaxmi,500,13,16000000,2,2,2075,3-,South West,1.5
Lalitpur,Lalitpur,1026.75,13,16500000,2,1,2076,3-,East,1.5
Bhaktapur,Suryabinayek-1,1369,13,15000000,2,1,2079,3+,West,1
Bhaktapur,Suryabinayak,1369,13,15000000,2,1,2078,3-,South East,1
Kathmandu,Lalitpur,1112.3125,13,17200000,2,1,2079,3+,West,1
Kathmandu,Chandragiri,1155.09,13,9500000,2,1,2074,3-,East,1
Kathmandu,Kathmandu,1026.75,13,12500000,2,1,2073,3-,South,1
Kathmandu,Chandragiri,1219.26,13,9500000,2,1,2074,3-,East,1
Kathmandu,Kathmandu,1369,13,29000000,1,1,2076,3+,South,1
Kathmandu,Kathmandu,1197.875,13,32500000,6,1,2076,3+,East,1
Kathmandu,Budhanilkantha,1197.87,13,27500000,3,3,2076,3-,South East,1
Kathmandu,Kathmandu,1026.75,13,13000000,2,1,2076,3-,East,1
Kathmandu,Budhanilkantha,1197.87,13,23000000,4,3,2076,3-,East,1
Kathmandu,Budhanilkantha,1200,13,13900000,2,1,2068,3-,North East,1
Kathmandu,Chandragiri,1026.75,13,8700000,2,1,2078,3-,North,1
Lalitpur,Mahalaxmi-5,1026.75,13,15200000,2,1,2079,3+,North West,1
Lalitpur,Mahalaxmi-6,1091.7775,13,16000000,2,1,2079,3+,North,1
Lalitpur,Mahalaxmi-5,1112.3125,13,15500000,2,1,2079,3+,North East,1
Lalitpur,Mahalaxmi,1026.75,13,11200000,2,1,2075,3-,East,1
Lalitpur,Mahalaxmi,983.96,13,13000000,2,1,2076,3-,South,1
Lalitpur,Mahalaxmi,1026.75,13,13700000,2,1,2076,3-,East,1
Lalitpur,Mahalaxmi,1026.75,13,14500000,2,2,2078,3-,East,1
Lalitpur,Mahalaxmi,1300,13,23000000,2,2,2071,3-,East,1
Lalitpur,Mahalaxmi,1026.75,13,12000000,2,2,2075,3-,East,1
Lalitpur,Mahalaxmi,877.01,13,10900000,2,1,2076,3-,North,1
Lalitpur,Mahalaxmi,1200,13,15500000,2,1,2076,3-,South,1
Lalitpur,Lalitpur,1048.14,13,16000000,2,2,2076,3-,East,1
Kathmandu,Tarkeshwar,1283.4375,14,25500000,7,4,2079,3+,East,3.5
Kathmandu,Chandragiri-10,1197.875,14,23000000,6,4,2070,3+,North East,3.5
Lalitpur,Bhainsepati,3807.53125,14,62500000,8,6,2060,3+,South,3.5
Bhaktapur,Changunarayan,1026.75,14,16000000,2,3,2075,3-,East,3
Kathmandu,Kathmandu Metropolitan city -6,1026.75,14,23000000,5,4,2079,3+,West,3
Kathmandu,Kathmandu,1882.375,14,53000000,5,3,2079,3+,North,3
Bhaktapur,Bhaktapur,3422.5,14,59500000,5,6,2079,3+,East,2.5
Bhaktapur,Madhyapur Thimi,3422.5,14,59500000,5,6,2066,3+,East,2.5
Kathmandu,Budhanilkantha,2053.5,14,50000000,6,4,2076,3-,East,2.5
Kathmandu,Budhanilkantha,1475.95,14,28500000,5,4,2075,3-,East,2.5
Kathmandu,Budhanilkantha,1882.37,14,34000000,5,5,2075,3-,East,2.5
Kathmandu,Budhanilkantha,4449.25,14,72000000,5,4,2074,3+,South East,2.5
Kathmandu,Budhanilkantha,1882.37,14,32500000,6,5,2075,3-,East,2.5
Kathmandu,Kathmandu,2844.95,14,65000000,8,5,2075,3-,East,2.5
Kathmandu,Budhanilkantha,1711.25,14,16500000,9,3,2075,3+,South,2.5
Kathmandu,BUdhanilkantha-1,2395.75,14,70000000,5,6,2079,3+,South East,2.5
Kathmandu,Tokha,1540.12,14,23500000,5,4,2076,3-,South,2.5
Kathmandu,Budhanilkantha,1711.25,14,35000000,3,3,2076,3-,East,2.5
Kathmandu,Chandragiri,5476,14,40000000,5,4,2067,3-,South,2.5
Kathmandu,Nagarjun,1369,14,27000000,4,3,2079,3-,East,2.5
Kathmandu,Kageshwori Manahara,1369,14,32500000,4,4,2077,3-,North West,2.5
Kathmandu,Budhanilkantha,2139.0625,14,32900000,8,5,2075,3+,North East,2.5
Lalitpur,Godawari,1711.25,14,30000000,5,3,2075,3-,South West,2.5
Lalitpur,Kusunti,1882.375,14,26000000,6,3,2075,3+,North East,2.5
Lalitpur,Mahalaxmi,1283.43,14,19000000,4,3,2073,3+,East,2.5
Kathmandu,Kathmandu,1745.475,14,25500000,5,3,2076,3+,East,1
Lalitpur,Godawari,3101.64,14,26800000,3,1,2067,3-,East,1
Kathmandu,Gausala,5133.75,15,220000000,28,11,2070,3+,South,6.5
Kathmandu,Kathmandu,1369,15,60000000,8,5,2076,3+,North West,5
Kathmandu,Kathmandu,1369,15,55500000,8,5,2075,3-,East,4.5
Kathmandu,Kathmandu,1604.29,15,78000000,8,5,2076,3-,East,4
