district,Municipality,landsize,Road,price,bedroom,bathroom,builtyear,parking,direction,floor
Bhaktapur,Suryabinayak,2053.5,15,48000000,7,5,2074,3-,West,3.5
Kathmandu,Budhanilkantha,4449.25,15,69999999,5,5,2070,3+,East,3
Kathmandu,Budhanikantha,7871.75,15,160000000,6,6,2078,3+,North,3
Kathmandu,Budhanilkantha,1069.53,15,22500000,6,5,2075,3-,South East,3
Kathmandu,Kathmandu,2053.5,15,56000000,4,4,2073,3-,South,2.5
Kathmandu,Budhanilkantha,2738,15,42500000,4,5,2076,3+,North East,2.5
Kathmandu,Tokha,10267.5,15,120000000,5,5,2068,3+,South West,2.5
Lalitpur,Lalitpur,1796.8125,15,50000000,5,6,2079,3+,North East,2.5
Lalitpur,Lalitpur,1711.25,15,35000000,4,4,2068,3-,South East,2.5
Kathmandu,Kathmandu,6845,15,120000000,4,4,2060,3+,South,2
Kathmandu,Kathmandu,1668.46,15,26000000,6,4,2076,3-,East,2
Kathmandu,Kathmandu,1711.25,16,35000000,8,5,2071,3-,East,5
Kathmandu,Kathmandu,2909.12,16,85000000,7,5,2076,3-,West,4.5
Kathmandu,Kathmandu,1711.25,16,78000000,8,5,2076,3-,North East,4
Kathmandu,Kathmandu,2481.31,16,105000000,8,5,2076,3+,South,4
Kathmandu,Tokha,2502.7,16,38000000,7,5,2069,3-,South,3.5
Kathmandu,Kathmandu,3148.7,16,65000000,6,3,2076,3-,South East,3.5
Kathmandu,Budhanilkantha,2566.875,16,63000000,6,5,2076,3+,East,3.5
Lalitpur,Mahalaxmi,2053.5,16,55000000,7,5,2075,3+,North East,3.5
Kathmandu,Lalitpur,7529.5,16,150000000,6,5,2067,3+,North,3
Kathmandu,Budhanilkantha,7187.25,16,100000000,5,5,2067,3+,South,3
Kathmandu,Budhanilkantha,7187.25,16,100000000,5,5,2076,3+,South,3
Kathmandu,Kageshwori Manahara,1454.56,16,23000000,6,5,2075,3-,East,3
Kathmandu,Budhanilkantha,1197.875,16,23000000,4,3,2076,3-,East,3
Kathmandu,Budhanilkantha,7529.5,16,125000000,6,5,2076,3+,North East,3
Lalitpur,Lalitpur,3800,16,41500000,6,6,2074,3-,West,3
Bhaktapur,Suryabinayak,1133,16,25000000,4,4,2074,3-,West,2.5
Bhaktapur,Suryabinayak,3422.5,16,63000000,5,5,2068,3+,South,2.5
Kathmandu,Chandragiri,1796.81,16,22500000,4,3,2073,3-,East,2.5
Kathmandu,Kathmandu,855.62,16,17000000,4,2,2076,3-,West,2.5
Kathmandu,Nagarjun,1112.3125,16,17500000,5,4,2073,3-,North,2.5
Kathmandu,Chandragiri,1197.87,16,16500000,4,3,2075,3-,East,2.5
Kathmandu,Kathmandu,2652.4375,16,45000000,4,3,2030,3+,East,2.5
Kathmandu,Budhanilkantha,2053.5,16,36000000,5,5,2072,3-,East,2.5
Kathmandu,Kathmandu,2738,16,45000000,6,5,2069,3-,West,2.5
Kathmandu,Budhanilkantha,1711.25,16,43000000,4,4,2071,3-,South East,2.5
Kathmandu,Tokha,103.34,16,25000000,4,3,2076,3-,East,2.5
Kathmandu,Budhanikantha,342.25,16,120000000,4,4,2059,3+,South,2.5
Kathmandu,Budhanilkantha,1026.75,16,27500000,3,3,2066,3-,South West,2.5
Kathmandu,Kathmandu,2738,16,100000000,5,3,2076,3-,South,2.5
Kathmandu,Budhanilkantha,1369,16,32500000,5,4,2073,3-,East,2.5
Kathmandu,Budhanilkantha,6160.5,16,100000000,6,5,2076,3+,South East,2.5
Kathmandu,Budhanilkantha,6160.5,16,100000000,5,5,2076,3-,East,2.5
Kathmandu,Kathmandu,1026.75,16,22350000,3,3,2076,3-,North,2.5
Lalitpur,Lalitpur,1283.43,16,23000000,4,3,2075,3-,East,2.5
Lalitpur,Mahalaxmi-4,1026.75,16,24000000,5,4,2079,3+,North,2.5
Lalitpur,Mahalaxmi- 02,1197.875,16,22500000,6,3,2079,3+,West,2.5
Lalitpur,Mahalaxmi-4,1047.285,16,24000000,4,4,2079,3+,West,2.5
Lalitpur,Lalitpur,3422.5,16,50000000,5,3,2068,3-,East,2.5
Lalitpur,Lalitpur,1437.45,16,39000000,4,4,2076,3-,East,2.5
Lalitpur,Mahalaxmi,1200,16,19500000,5,3,2076,3+,West,2.5
Lalitpur,Lalitpur,1060.975,16,38500000,4,4,2076,3-,East,2.5
Lalitpur,Mahalaxmi,1197.875,16,24500000,6,5,2079,3+,East,2.5
Lalitpur,Lalitpur,6845,16,110000000,4,2,2004,3+,South East,2.5
Lalitpur,Mahalaxmi-5,1026.75,16,25000000,6,5,2079,3+,East,2.5
Lalitpur,Lalitpur,1711.25,16,37000000,4,4,2076,3-,East,2.5
Lalitpur,Mahalaxmi,1112.31,16,22000000,4,4,2076,3-,North East,2.5
Kathmandu,Kathmandu,1369,16,32000000,6,4,2076,3-,East,2
Kathmandu,Kathmandu,4107,16,120000000,3,2,2055,3+,North,1.5
Kathmandu,Budhanilkantha Municipality -8,1540.125,16,17500000,2,1,2079,3+,South,1
Kathmandu,Chandragiri,855.62,16,17000000,6,3,2069,3-,East,1
Kathmandu,Kathmandu,1796.8,16,18000000,2,4,2076,3-,North East,1
Kathmandu,Budhanilkantha,2464.2,16,68000000,6,5,2076,3-,South East,1
Kathmandu,Kathmandu,1369,16,33500000,4,4,2074,3-,East,1
Kathmandu,Tarkeshwor,1197.875,16,150000000,2,1,2071,3-,South East,1
Kathmandu,Kathmandu,3764.75,18,85000000,5,5,2070,3-,East,3.5
Kathmandu,Tokha,1711.25,18,36100000,7,3,2070,3+,South,3.5
Lalitpur,Balkumari,855.625,18,15000000,5,3,2070,3-,North East,3.5
Kathmandu,Tokha,2909.12,18,65000000,5,5,2074,3-,West,3
Bhaktapur,Suryabinayak,1711.25,18,30000000,5,5,2070,3+,West,2.5
Kathmandu,Budhanikantha,3080.25,18,30000000,5,5,2077,3+,North,2.5
Kathmandu,Budhanilkantha,4107,18,100000000,4,3,2063,3+,South,2.5
Lalitpur,Lalitpur,1369,18,31000000,4,5,2076,3-,South East,2.5
Lalitpur,Patan,1394,20,17500000,3,2,2070,3+,South East,12
Bhaktapur,Madhyapur Thimi,3762,20,80000000,8,5,2073,3+,North West,5.5
Kathmandu,Balaju,3080.25,20,47500000,11,10,2070,3+,North East,5.5
Kathmandu,Kathmandu,2000,20,92500000,12,5,2076,3+,East,5.5
Lalitpur,Lalitpur,1711.25,20,140000000,5,10,2070,3+,East,5.5
Kathmandu,Kathmandu,5476,20,160000000,5,3,2076,3-,West,5
Kathmandu,Kathmandu,941.18,20,80000000,1,4,2075,3-,South West,5
Kathmandu,Kathmandu,855.625,20,27000000,3,1,2067,3-,West,4.5
Kathmandu,Kathmandu-06,3101.640625,20,67500000,11,4,2079,3+,North East,4
Kathmandu,Kathmandu,1540.125,20,45000000,8,5,2068,3-,East,4
Lalitpur,Lalitpur,2053.5,20,65000000,5,4,2074,3-,East,4
Kathmandu,Tokha,4791.5,20,135000000,5,6,2079,3+,South East,3.5
Kathmandu,Kathmandu,3935.875,20,73000000,21,4,2030,3+,North West,3.5
Kathmandu,Chandragiri-11,1369,20,29000000,8,5,2070,3+,North East,3.5
Kathmandu,Kathmandu,1450.07,20,67500000,4,1,2076,3-,North,3.5
Kathmandu,Kathmandu,6502.75,20,200000000,8,5,2075,3+,West,3.5
Kathmandu,Kathmandu,4107,20,120000000,8,5,2067,3+,South,3.5
Kathmandu,Budhanilkantha,2087.725,20,37000000,7,4,2071,3-,East,3.5
Lalitpur,Lalitpur,1500,20,57500000,5,6,2073,3-,East,3.5
Bhaktapur,Madhyapur Thimi,1060.975,20,15000000,5,3,2076,3-,North,3
Bhaktapur,Madhyapur Thimi,1369,20,23000000,5,3,2075,3-,North East,3
Kathmandu,Kathmandu,8214,20,140000000,8,3,2076,3+,North,3
Kathmandu,Budhanilkantha,2738,20,45000000,5,5,2076,3-,East,3
Kathmandu,Budhanilkantha,2738,20,68000000,6,5,2075,3-,South West,3
Kathmandu,Kathmandu,1437.45,20,32000000,8,5,2067,3+,East,3
Kathmandu,Kathmandu,884.04,20,35000000,3,4,2074,3-,East,3
Kathmandu,Tokha,1540.125,20,35000000,8,5,2076,3-,East,3
Kathmandu,Nagarjun,3764.75,20,45000000,7,4,2068,3-,East,3
Lalitpur,Mahalaxmi,1200,20,25000000,5,3,2076,3-,East,3
Lalitpur,Mahalaxmi,700,20,25000000,6,3,2076,3-,North East,3
Lalitpur,Lalitpur,1026.75,20,16000000,1,1,2070,3-,East,3
Lalitpur,Godawari,1369,20,28500000,4,5,2074,3-,South,3
Lalitpur,Lalitpur,1540.12,20,35000000,5,4,2075,3-,South East,3
Lalitpur,Mahalaxmi,1369,20,22000000,5,3,2076,3-,North,3
Bhaktapur,Bhaktapur,4278.125,20,65000000,4,5,2060,3+,North,2.5
Bhaktapur,Madhyapur Thimi,1197.875,20,24500000,5,3,2076,3-,North,2.5
Kathmandu,Bhaktapur,2004.75,20,21000000,5,4,2076,3-,East,2.5
Kathmandu,Guheshwori Planning,1283.4375,20,28000000,8,4,2079,3+,West,2.5
Kathmandu,Kathmandu,1754.03125,20,35000000,5,4,2070,3+,West,2.5
Kathmandu,Kathmandu,1711.25,20,26700000,6,1,2076,3-,West,2.5
Kathmandu,Budhanilkantha,1625.68,20,38500000,6,5,2068,3-,East,2.5
Kathmandu,Budhanilkantha,5476,20,269999999,6,4,2074,3+,South,2.5
Kathmandu,Budhanilkantha,1369,20,36500000,5,3,2076,3-,East,2.5
Kathmandu,Nagarjun,1796.81,20,29000000,7,4,2075,3-,West,2.5
Kathmandu,Kathmandu,1369,20,45000000,6,4,2079,3+,North,2.5
Kathmandu,Swayambhu,1403.225,20,24500000,4,4,2079,3-,North,2.5
Kathmandu,Kageshwori Manahara-6,1711.25,20,30000000,6,3,2075,3+,North,2.5
Kathmandu,Budhanilkantha,1882.375,20,31000000,5,6,2079,3+,North,2.5
Kathmandu,Kageshwori Manohara -7,1369,20,23500000,6,4,2079,3+,South East,2.5
Kathmandu,Kathmandu,3080.25,20,52500000,5,5,2075,3+,South West,2.5
Kathmandu,Budhanilkantha,2652.43,20,59000000,4,5,2075,3+,South East,2.5
Kathmandu,Budhanilkantha,1882.375,20,32000000,4,5,2076,3+,North,2.5
Kathmandu,Kathmandu,2395.75,20,55000000,6,5,2076,3+,East,2.5
Kathmandu,Budhanilkantha,1500,20,45000000,5,5,2076,3-,East,2.5
Kathmandu,Kathmandu,1711.25,20,52500000,4,5,2077,3-,North,2.5
Kathmandu,Kathmandu,4449.25,20,190000000,4,5,2079,3-,South East,2.5
Kathmandu,Budhanilkantha,1026.75,20,16000000,6,3,2070,3-,East,2.5
Kathmandu,Tokha,1500,20,26000000,5,4,2076,3-,East,2.5
Kathmandu,Budhanilkantha,2566.875,20,34500000,4,4,2076,3-,East,2.5
Kathmandu,Chandragiri,2053.5,20,32000000,5,4,2074,3-,East,2.5
Kathmandu,Budhanilkantha,2053.5,20,47500000,5,5,2076,3+,East,2.5
Kathmandu,Budhanilkantha,3080.25,20,55000000,4,5,2075,3+,South East,2.5
Kathmandu,Budhanilkantha,2395.75,20,57500000,4,5,2075,3-,South,2.5
Kathmandu,Budhanilkantha,1540.125,20,50000000,4,5,2071,3-,West,2.5
Kathmandu,Budhanilkantha,2224.625,20,58000000,5,5,2076,3-,South East,2.5
Kathmandu,Budhanilkantha,2738,20,70000000,5,5,2078,3-,West,2.5
Kathmandu,Tokha,1711.25,20,38000000,6,5,2078,3-,North,2.5
Kathmandu,Budhanikantha,6160.5,20,150000000,6,5,2078,3+,South East,2.5
Kathmandu,Budhanikantha,5133.75,20,145000000,4,5,2078,3+,North East,2.5
Kathmandu,Tokha,1625.6875,20,32000000,5,4,2076,3-,East,2.5
Kathmandu,Budhanilkantha,1026.75,20,21000000,6,3,2076,3-,East,2.5
Kathmandu,Kathmandu,5818.25,20,160000000,6,4,2067,3+,East,2.5
Kathmandu,Kathmandu,2464.2,20,63500000,8,4,2076,3-,North East,2.5
Kathmandu,Budhanilkantha,2395.75,20,45000000,5,5,2076,3+,East,2.5
Kathmandu,Kathmandu,1197.875,20,24000000,6,3,2076,3-,East,2.5
Kathmandu,Budhanilkantha,1026.75,20,18500000,3,3,2075,3-,West,2.5
Lalitpur,Lalitpur,1155.09375,20,24000000,3,5,2060,3+,North West,2.5
Lalitpur,Lalitpur,1411.78125,20,27000000,3,3,2079,3+,North,2.5
Lalitpur,Lalitpur,1200,20,50000000,4,3,2076,3-,North,2.5
Lalitpur,Mahalaxmi,2395.75,20,36000000,5,2,2066,3-,North East,2.5
Lalitpur,Mahalaxmi,1112.3125,20,23500000,7,3,2079,3+,West,2.5
Lalitpur,Lalitpur,1048.140625,20,27500000,4,4,2079,3+,South,2.5
Lalitpur,Mahalaxmi,1283.43,20,32000000,5,4,2076,3-,West,2.5
Lalitpur,Mahalaxmi,1262.04,20,42500000,4,4,2076,3-,South East,2.5
Lalitpur,Mahalaxmi,1625.68,20,310000000,4,4,2076,3-,South,2.5
Lalitpur,Lalitpur,1369,20,29500000,4,4,2076,3-,East,2.5
Lalitpur,Lalitpur,1026.75,20,19800000,4,3,2075,3-,South,2.5
Lalitpur,Godawari,2053.5,20,50000000,4,3,2067,3-,South West,2.5
Lalitpur,Lalitpur,1347.6,20,44000000,4,4,2078,3-,North,2.5
Lalitpur,Lalitpur,2395.75,20,47500000,5,4,2077,3-,North East,2.5
Lalitpur,Mahalaxmi,941.1875,20,19500000,4,3,2076,3-,East,2.5
Lalitpur,Mahalaxmi,1026.75,20,28500000,6,3,2079,3+,East,2.5
Lalitpur,lalitpur,1369,20,29000000,4,4,2079,3+,East,2.5
Lalitpur,Godawari,2053.5,20,50000000,4,3,2078,3-,South,2.5
Lalitpur,Godawari,2053.5,20,46500000,4,4,2068,3-,South East,2.5
Lalitpur,Mahalaxmi,1026.75,20,28000000,5,4,2078,3-,West,2.5
Lalitpur,Lalitpur-26,1796.8125,20,29900000,6,3,2079,3+,East,2.5
Lalitpur,Lalitpur,1625.6875,20,41500000,4,4,2079,3+,East,2.5
Kathmandu,Budhanilkantha,2738,20,45000000,6,4,2076,3-,East,2
Kathmandu,Gokarneshwor,1711.25,20,22500000,4,3,2075,3-,East,2
Lalitpur,Lalitpur,3080.25,20,75000000,5,2,2076,3-,South,2
Lalitpur,Lalitpur,1369,20,31000000,4,3,2078,3-,West,2
Lalitpur,Godawari,1026.75,20,18000000,4,3,2075,3-,East,2
Lalitpur,Mahalaxmi-9,1262.046875,20,23500000,6,6,2079,3+,South,2
Bhaktapur,Changunarayan,2053.5,20,15500000,4,2,2076,3-,East,1.5
Bhaktapur,Suryabinayak,317.9,20,15000000,1,1,2076,3-,West,1
Kathmandu,Tokha,1625.6875,20,39500000,4,3,2070,3-,North,1
Kathmandu,Budhanilkantha,1369,20,24000000,1,1,2076,3-,East,1
Lalitpur,Mahalaxmi,1750,20,29000000,5,4,2076,3+,South,1
Lalitpur,Mahalaxmi,1026.75,20,10500000,1,1,2076,3-,North East,1
Lalitpur,Godawari,12321,20,67500000,3,3,2055,3+,South,1
Lalitpur,Lalitpur,620.32,22,35000000,4,5,2076,3-,East,5
Bhaktapur,Madhyapur Thimi,800,22,24000000,4,4,2076,3-,North,4
Kathmandu,Gokarneshwor-2,1283.4375,22,26000000,6,3,2075,3+,South East,3
Lalitpur,Lalitpur,1369,22,28500000,8,5,2076,3-,South,3
Kathmandu,Tokha,3422.5,22,100000000,5,5,2076,3+,East,2.5
Kathmandu,Chandragiri,4107,22,42900000,8,5,2076,3+,East,2.5
Kathmandu,Kathmandu,1454.5625,24,42500000,8,4,2070,3+,North East,4.5
Lalitpur,Hattiban,1711.25,24,58000000,5,5,2075,3+,South,3.5
Kathmandu,Kathmandu,2762.29975,24,50000000,7,3,2060,3+,North West,3
Kathmandu,Kathmandu,1390.39,24,49500000,6,4,2078,3-,North East,2.5
Kathmandu,Kathmandu,2053.5,25,90000000,8,5,2076,3-,South West,6
Kathmandu,Kathmandu,1283.4375,25,21000000,9,5,2070,3+,East,4
Kathmandu,Budhanilkantha,1112.31,25,28000000,8,3,2076,3-,South,4
Kathmandu,Gokarneshwor,1369,25,37000000,6,6,2070,3+,North East,3.5
Kathmandu,Budhanilkantha,2053.5,25,42500000,5,4,2076,3-,East,2.5
Kathmandu,Budhanilkantha,10952,25,105000000,5,5,2076,3+,North West,2.5
Kathmandu,Kathmandu,1711.25,26,60000000,20,10,2070,3+,South East,5.5
Bhaktapur,Bhaktapur,1882.375,26,32500000,10,4,2070,3+,North East,4
Bhaktapur,Suryabinayak,1197.87,26,19500000,4,3,2073,3-,East,3.5
Bhaktapur,Suryabinayak-2,2566.875,26,55000000,3,3,2079,3+,South,3.5
Kathmandu,Kathmandu,3422.5,26,72500000,6,6,2079,3-,South,2.5
Lalitpur,Lalitpur Municipality,1197.875,26,29000000,3,3,2079,3+,South East,2.5
Lalitpur,Godawari,1369,26,25000000,3,4,2076,3-,East,2.5
Lalitpur,Mahalaxmi,1369,27,23000000,4,4,2078,3-,North,3.5
Kathmandu,Budhanilkantha,1882.37,28,40000000,8,6,2072,3-,South East,4
Kathmandu,Kathmandu,855.625,28,27000000,1,1,2076,3-,East,1
Kathmandu,Kathmandu,1197.875,30,23500000,10,4,2075,3+,East,4
Kathmandu,Kathmandu,1796.81,30,31500000,7,4,2075,3-,East,3.5
Bhaktapur,Suryabinayak,1754.03,30,42500000,5,4,2075,3-,South,2.5
Lalitpur,Lalitpur,3251.37,30,46000000,5,3,2076,3-,East,2.5
Lalitpur,Patan,1026.75,30,22500000,4,3,2075,3-,East,2.5
Kathmandu,Kathmandu,1540.08,32,160000000,4,3,2076,3-,South,2.5
Kathmandu,Gokarneshwor,3080,32,32000000,1,2,2070,3-,South East,2.5
Bhaktapur,Madhyapur-07,5133.75,36,70000000,7,4,2060,3+,East,2.5
Lalitpur,Lalitpur,1026.75,40,11000000,3,2,2075,3-,South East,2
Kathmandu,Gokarneshwor,1818.2,44,25000000,8,3,2076,3-,East,2.5
