Price,Address,Floor,Bathroom,Bedroom,Land,Road,Land Mark
24500000,"Tiny Seeds Kindergarten, Paleswo Marg, Chamati, Kathmandu",3,3,,1026.75,13,
24000000,"Tinthana, PaneruGaun, Chandragiri Municipality, Kathmandu, Bagmati Pradesh, 44618, Nepal",25,3,3,1369,13,
9000000,"Tinthana, Chandragiri Municipality, Kathmandu, Bagmati Pradesh, 44618, Nepal",2,2,4,855.625,20,
20000000,"Tinthana (Chandragiri), Kathmandu",25,4,5,1090.92,13,Rising Academy
19000000,"Tinchuli, Kathmandu, Kathmandu Metropolitan City, Kathmandu",3,0,0,684.5,5,
29500000,Tinchuli,3,3,5,1369,12,
45000000,"Tilintar, सामाखुशी",3,3,5,1369,13,
90000000,"Tilganga, Kathmandu",35,Non,Non,4107,13,"Tilganga, Kathmandu"
10000000,"Tikhidewal, Nakhudol, Patan, Lalitpur, Bagmati Pradesh, 44702, Nepal",900,7,4,3422.5,20,
29000000,"Tikhidewal, Nakhudol, Lalitpur, Bagmati Pradesh, -, Nepal",35,4,4,1369,13,
30000000,"Tikhidewal, Nakhudol, Lalitpur",25,6,7,1369,20,magar samaaj
22500000,"Tikathali, Changathali, Mahalaxmi, ललितपुर, Bagmati Pradesh, नेपाल",0,3,4,1026.75,13,
22500000,"Tikathali, महालक्ष्मी, Mahalaxmi, ललितपुर, Bagmati Pradesh, नेपाल",3,4,6,1026.75,20,Tikathali panitanki
29000000,"Tikathali, महालक्ष्मी, Mahalaxmi, ललितपुर, Bagmati Pradesh, नेपाल",3,4,5,1369,20,Tikathali Bhatbhatni sanogaun
16000000,"Tikathali, महालक्ष्मी, Mahalaxmi, ललितपुर, Bagmati Pradesh, नेपाल",1,1,2,1026.75,13,Sano gaun Bhatbhatni
22500000,"Tikathali, महालक्ष्मी, Mahalaxmi, ललितपुर, Bagmati Pradesh, नेपाल",3,3,4,1026.75,13,tikathali near lubu
14500000,"Tikathali,",3,3,4,1026.75,13,Changathali Planning Nest Colony.
25000000,"Tikathali,",3,4,6,1369,13,Khadka Gaun Tikathali
19000000,"Tikathali (Mahalaxmi), Lalitpur",25,3,4,1005.35,13,tikathali
16500000,"Tikathali (Mahalaxmi), Lalitpur",1,1,2,1026.75,13,
19900000,"Tikathali (Mahalaxmi), Lalitpur",25,1,1,1026.75,13,
24000000,"Tikathali (Mahalaxmi), Lalitpur",25,4,5,1026.75,13,
23500000,"Tikathali (Mahalaxmi), Lalitpur",25,4,5,1026.75,13,
21800000,"Tikathali (Mahalaxmi), Lalitpur",275,4,7,1026.75,13,Tikathali gabish
29000000,"Tikathali (Mahalaxmi), Lalitpur",35,4,4,1026.75,13,Nearby Bhatbhateni
17000000,"Tikathali (Mahalaxmi), Lalitpur",1,1,1,1026.75,13,
25000000,"Tikathali (Mahalaxmi), Lalitpur",25,0,0,1060.975,13,
23000000,"Tikathali (Mahalaxmi), Lalitpur",25,2,6,1095.2,13,
22000000,"Tikathali (Mahalaxmi), Lalitpur",3,4,5,1095.2,13,
26000000,"Tikathali (Mahalaxmi), Lalitpur",3,1,1,1112.31,13,
26000000,"Tikathali (Mahalaxmi), Lalitpur",3,1,1,1112.31,13,
23000000,"Tikathali (Mahalaxmi), Lalitpur",3,4,4,1129.425,13,
24000000,"Tikathali (Mahalaxmi), Lalitpur",25,6,6,1129.425,13,
25500000,"Tikathali (Mahalaxmi), Lalitpur",275,3,7,1219.26,13,Tikathali gabish -5
18500000,"Tikathali (Mahalaxmi), Lalitpur",25,O,O,1219.26,13,Pawan prakrti school
24000000,"Tikathali (Mahalaxmi), Lalitpur",25,4,6,1283.4375,13,
23000000,"Tikathali (Mahalaxmi), Lalitpur",13,2,4,1369,13,
23000000,"Tikathali (Mahalaxmi), Lalitpur",25,2,6,1369,13,
35000000,"Tikathali (Mahalaxmi), Lalitpur",3,4,5,1369,13,Pawan prakrti school
25500000,"Tikathali (Mahalaxmi), Lalitpur",3,1,1,1369,13,
37500000,"Tikathali (Mahalaxmi), Lalitpur",4 Floor & Stair Cover,7,8,2320.875,13,
16500000,"Tikathali (Mahalaxmi), Lalitpur",1,0,0,13690,13,
15000000,"Tikapur, Kailali",25,3,6,3645,20,
9500000,"Thulo Bharyang, Nagarjun, Nagarjun Municipality, Kathmandu, Bagmati Pradesh, 44620, Nepal",25 floors,2*,2*,855.625,8,Near (White Gumba) Druk Amitabha Monastery
34500000,"Thulo Bharyang, Nagarjun, Kathmandu, Bagmati Pradesh, 44620, Nepal",25,2,2,1540.12,12,"sitapaila mandir , sitapaila"
17500000,"Thulo Bharyang, Kathmandu",4,4,4,513.375,13,
26500000,"Thulo Bharyang, Kathmandu",25,1,1,1026.75,13,
39500000,"Thulo Bharyang, Kathmandu",35,4,8,1369,13,Driving centre at backside
37000000,Thulo Bharyang,3,5,4,1369,20,
42500000,Thulo Bharyang,2,3,4,1711.25,20,swoyambhu - sano bharyang Ring road - rumbachok - The comfort housing
34000000,Thulo Bharyang,3,3,10,1711.25,20,Sitapaila saranpur 50 meter from Thapa chowk.
12500000,Thulo Bharyang,1,1,3,3422.5,13,
200000000,"Thirbam Sadak, Kiran Chok, बालुवटार",3,4,3,10023.75,20,
32000000,"Thecho Chapagaun Road, Wakhat, Thecho",3,3,4,1369,13,
33000000,"Thecho Chapagaun Road, Wakhat, Thecho",3,3,4,1369,13,
37500000,"Thecho Chapagaun Road, Wakhat, Thecho",3,3,3,1711.25,13,Nepal telecom
52500000,Thecho,2,4,4,2053.5,20,"Nepal Telecom, Thecho"
155000000,"The Everest Hotel Kathmandu, Radha Mohan Marga, Srijana Tole, नयाँ बानेश्वर, Kathmandu",5,2,3,1369,20,A
28000000,"Thasikhel Marg, Tikhidol, Kusunti, Patan, Lalitpur Metropolitan City, Lalitpur, Bagmati Pradesh, 40000, Nepal",35,3,4,855.625,13,
