price,Location,Floor,Bathroom,Bedroom,Land,Road Size,Land Mark,url,182.25
22000000,"budanilkantha, Budhanilkantha, Kathmandu",35,4,11,0-3-2-0,20,0,https://hamrobazaar.com/for-sale-house/3-storied-house-in-lalitpur/bdcb00896c67402387e0a46388a2d8c7,
13500000,"Bhaktapur Municipality भक्तपुर नगरपालिका, Nagarkot Road, Bhaktapur, Nepal",2,2,3,0-3-2-0,,,https://hamrobazaar.com/for-sale-house/apartment-style-house-at-nayabazar-ktm-in-kathmandu/b1f0d90be6274b0f8bdc9abf20c04e7f,
51000000,"Ramkot (Nagarjun) ,",35,3,3,0-3-1-3,13,,https://hamrobazaar.com/for-sale-house/beautiful-flat-system-house-at-tinchuli-in-kathmandu/18cca7d9cda7461e89245a43aa845f6c,
24000000,"Buddha Nagar (New Baneshwar), Kathmandu",25,2,5,0-3-1-3,12,Near alfabeta complex,https://hamrobazaar.com/for-sale-house/house-on-sale-nakhu-in-lalitpur/87a5fac4acd64b7580d408bb6a591846,
23500000,"Imadol (Mahalaxmi), Lalitpur",25,3,3,0-3-1-2,13,Near By New Millennium School,https://hamrobazaar.com/for-sale-house/house-on-sale-in-banepa-kavre-in-nepal/0f64cba629484c0dbc0052e7019337b6,
27500000,"Sitapakha, Imadol, Mahalaxmi, Lalitpur, Bagmati Pradesh, 44705, Nepal",25,4,5,0-3-1-2,13,,https://hamrobazaar.com/for-sale-house/house-on-sale-kharibot-chowk-gaurighat-in-kathmandu/b52aaf3e7803424ab524bdb30b345c95,
27500000,"All Core Lalitpur, Lalitpur",35 floor,3,6,0-3-1-1,12,Nagdaha tourism Gate,https://hamrobazaar.com/for-sale-house/karyabinayak-home-phase-2-in-lalitpur/ef8bf499034c4285a9366159d943da14,
24500000,"Harisiddhi, Lalitpur",1,3,5,0-3-1-1,12,,https://hamrobazaar.com/for-sale-house/house-on-sale-at-jorpati-mulpani-shiva-chok-in-kathmandu/d9175b7abddf480a840f0835bbece970,
23000000,"imadol,kathmandu, Lalitpur, Nepal",25,3,5,0-3-1-0,13,,https://hamrobazaar.com/for-sale-house/house-on-sale-at-bhangal-in-kathmandu/64d1209c8f4e4003a4ec99c89f1fbf36,
24000000,"techo, Thecho (Bajrabarahi), Lalitpur",25,3,3,0-3-1-0,12,,https://hamrobazaar.com/for-sale-house/house-on-sale-in-lalitpur/ef3d4db837e24d25b3d9de547ec28163,
16000000,"Aakashedhara, Budhanilkantha Municipality, Kathmandu, Bagmati Pradesh, 44622, Nepal",2,2,6,0-3-1-0,13,,https://hamrobazaar.com/for-sale-house/bungalow-house-flat-system-at-bhatbhateni-in-kathmandu/6a01e12817c44c2ab3735364ee4afe12,
22000000,"Hattigaunda Bhangal Chapali Chunikhel Hepali Height Italitar Khadka Bhadrakali Narayanthan Mahankhal Pasikot Golfutar Budanilkantha, Budhanilkantha Area, Kathmandu",25,3,6,0-3-1-0,13,,https://hamrobazaar.com/for-sale-house/modern-bungalow-style-house-for-sell-in-kathmandu/79fc1f8d3ba842b4958bfbed1067cca9,
21500000,"Lalitpur City, Lalitpur",25,4,5,0-3-1-0,13,Lalitpur Imadole,https://hamrobazaar.com/for-sale-house/house-on-sale-magargaun-in-lalitpur/9226c3ee4d944ba19a09b22811e4deda,
28000000,"Baluwakhani (Kapan), Kathmandu",25,,,0-3-1-0,13,,https://hamrobazaar.com/for-sale-house/35-talle-modern-house-for-sale-in-hattiban-in-nepal/38ad9b1bc5f9437c9114b5a11b41c32d,
23000000,"Khumaltar Dhapakhel Hattiban, Harisiddhi Area, Lalitpur",25,3,7,0-3-1-0,20,,https://hamrobazaar.com/for-sale-house/apartment-building-in-kathmandu/146f1659e48c4b239954c973afdf8c8d,
29000000,"Sangla Phutung Paiyatar Nepaltar Manamaiju Kavresthali Jitpurphedi Jarankhu Goldhunga Futung Dharmasthali, Tarkeshwar Area, Kathmandu",25,4,4,0-3-1-0,20,,https://hamrobazaar.com/for-sale-house/nayabazar-khusibu-ghar-sale-55-aana-in-kathmandu/0bff912600bd4a6183dd7d11e44cd74e,
13500000,"All Core Kathmandu, Kathmandu",55,3,9,0-3-0-3,8,,https://hamrobazaar.com/for-sale-house/dhumbarahi-8-bhk-residential-house-on-sale-in-bara/f4224f4c00cd49d9bf9494dcf61593d1,
23500000,"Imadol (Mahalaxmi), Lalitpur",25,3,4,0-3-0-3,12,Imadole to Ochhu Height Road,https://hamrobazaar.com/for-sale-house/pre-booking-available-at-cg-hills-premium-in-lalitpur/25009855883842ec9475ca83f9833565,
26000000,"Lalitpur City, Lalitpur",25,3,5,0-3-0-3,13,Harisiddhi,https://hamrobazaar.com/for-sale-house/nayabazar-house-sale-in-kathmandu/8b0b1403e22b456abe358592b821c7f0,
23500000,"Imadol (Mahalaxmi), Lalitpur",25,5,4,0-3-0-2,13,,https://hamrobazaar.com/for-sale-house/maitidevi-100-sqaure-153-aana-on-sale-with-house-in-kathmandu/167aea550cb74444b3dc3266b5bebf98,
25000000,"Dhapasi (Tokha), Kathmandu",25,3,5,0-3-0-2,12,,https://hamrobazaar.com/for-sale-house/35-in-lalitpur/d854bc213961444f9b5da79ac03b8600,
25000000,"Imadol (Mahalaxmi), Lalitpur",25,3,4,0-3-0-1,13,,https://hamrobazaar.com/for-sale-house/house-on-sale-bangal-in-kathmandu/838be8121bbc4f379e5036c157fc469c,
18000000,"Jambo Dada, Way To pashupati, Nayabasti, Gokarneshwar, Kathmandu, Bagmati Pradesh, 20187, Nepal",2 and half,3,11,0-2-3-3,12,,https://hamrobazaar.com/for-sale-house/in-nepal/c4f9ddd16969428884180065dff63f1c,
22500000,"Imadol (Mahalaxmi), Lalitpur",25,4,5,0-2-3-2,13,,https://hamrobazaar.com/for-sale-house/house-on-sale-at-bhaisepati-in-lalitpur/b183d80ec1934537bda46004f8be49f9,
24800000,"Balkhu, Kathmandu",25,3,3,0-2-3-1.6,13,,https://hamrobazaar.com/for-sale-house/new-house-on-sale-near-bhadrakali-petrol-pump-in-lalitpur/3a7d99db02e5419982254ec57a73f543,
29000000,"Pepsicola (Kadaghari), Kathmandu",25,2,,0-2-3-1,20,Near Sinamangal Temple,https://hamrobazaar.com/for-sale-house/house-on-sale-magargaun-bhaisepati-in-lalitpur/4b3cb069d8c648f688f3171746f17f4c,
135000000,"Machhegaun (Chandragiri) , machegaun",35,11,10,0-23-0-2,13,,https://hamrobazaar.com/for-sale-house/house-for-sale-in-bhaktapur/5fc681ffba8142c0880de1712b8996a4,
13500000,"Lamatar (Mahalaxmi), Lalitpur",1,1,2,0-2-3-0,13,Lubu Bus Park,https://hamrobazaar.com/for-sale-house/beautiful-flat-system-house-at-swayambhu-in-kathmandu/9299fd6f878b4a0d8c5eda996c67d52f,
