Price,Address,Floor,Bathroom,Bedroom,Land,Road,Land Mark
18500000.0,"Saraswati Nagar, Sukedhara",1,1,4,1219.26,8.0,
33000000.0,"Tallo Tusal Galli, किरण चोक, बालुवाटार",1,2,2,1369,20.0,
37500000.0,"dumbarahi, Dhumbarahi, Kathmandu",1,1,2,1711.25,13.0,0.5.0
16000000.0,"dumbarahi, Dhumbarahi, Kathmandu",1,1,1,1369,5.0,
17000000.0,"Aakashedhara, Mandikhatar",1,1,1,1026.75,13.0,kapan handballground
42000000.0,"Makalbari Marg (Ka), Makalbari, Gokarneshwor, Namgyal, Gokarneshwar Municipality, Kathmandu",1,1,2,2738,13.0,
26000000.0,"Dipnagar Marg, सेती ओपी, कोट देवी",1,2,3,1369,12.0,
6500000.0,"dumbarahi, Dhumbarahi, Kathmandu",1,3,4,4278.125,12.0,
12600000.0,"Makalbari Marg (Ka), Makalbari, Gokarneshwor",1,1,2,0,13.0,makalbari
58000000.0,"Dhumbarahi Area, Kathmandu",1,2,2,2738,12.0,"Toyota service center, S.R. Banquet"
35000000.0,"Satdobato, Lalitpur",1,1,1,1090.92,13.0,
12000000.0,Makwanpur (Hetauda) > Sanopokhara Chowk,1,1.0,3.0,,20.0,"Sanopokhara, Hetauda. Very Close to the main market area with very big road."
17000000.0,Dharampur,1,2,2,1369,13.0,
13500000.0,"Thali (Kageshwor), Kathmandu",1,1.0,2.0,1129.425,13.0,
16000000.0,"New Cosmetic and Gift Shop, बालुवापाटी चोक, जाल्पा चोक, बानियाँटार, टोखा नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",1,1,5,1026.75,13.0,
35000000.0,"Ekantakuna, Lalitpur",1,1,1,1711.25,13.0,
55000000.0,"Sanchal (Sanepa), Lalitpur",1,1.0,1.0,1882.37,13.0,
18000000.0,"Nayagaun, Kaski (Pokhara)",1,1,3,1540.125,8.0,
18000000.0,"Chunikhel (Budhanilkantha), Kathmandu",1,1,2,1026.75,13.0,
11500000.0,"Bangesal, Sarumarani, Pyuthan, Lumbini Province, Nepal",1,4,3,14580,20.0,
31000000.0,"Buddha Chok,",1,0,0,2738,20.0,
16000000.0,"budanilkantha, Pasikot (Budhanilkantha), Kathmandu",1,,,1095.2,8.0,
25000000.0,"budanilkantha, Hattigaunda (Budhanilkantha), Kathmandu",1,,,1711.25,13.0,
16000000.0,"Changathali (Mahalaxmi), Lalitpur",1,5.0,4.0,1369,13.0,
40000000.0,"suchatar, Syuchatar (Kalanki), Kathmandu",1,1,1,1754.03,13.0,
16500000.0,"Bhangal (Budhanilkantha) , bangal",1,1.0,2.0,1369,13.0,parking avaiable
16500000.0,"तारकेश्वर, तारकेश्वर नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",1,1.0,6.0,1369,12.0,
13500000.0,"budanilkantha, Budhanilkantha, Kathmandu",1,1,2,1711.25,13.0,
26000000.0,"Koteshwor, Kathmandu",1,1.0,4.0,1369,12.0,
13500000.0,"budanilkantha, Budhanilkantha, Kathmandu",1,2,2,1711.25,13.0,
6000000.0,"Pokhara, कास्की, Gandaki Pradesh, नेपाल",1,2.0,3.0,1369,12.0,
9500000.0,"Bistachap (Godawari), Lalitpur",1,1,1,855.625,13.0,
9500000.0,"Bisankhunarayan, Godawari, ललितपुर, Bagmati Pradesh, नेपाल",1,1,2,1026.75,20.0,
6200000.0,"Birtamod — Bhadrapur, बिर्ताबजार",1,1,2,3080.25,13.0,
13490000.0,"कागेश्वरी मनोहरा नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",1,2.0,3.0,1369,5.0,"Paanitanky, orchid pupil school najik"
7800000.0,"Birgunj, Birgunj Metropolitan City, Birgunj, पर्सा, मधेश प्रदेश, नेपाल",1,1,2,1711.25,13.0,
32500000.0,"Metro Hospital, Maharajganj Road, Narayan Gopal Chowk, Basundhara, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Pradesh, 44606, Nepal",1,1.0,2.0,1369,12.0,
15000000.0,"Bank Road, देवकोटा चोक,",1,1,2,5818.25,13.0,
6500000.0,Banke (Nepalgunj) > Adarsh Nagar,1,2,4,3764.75,8.0,"10 meters inside from the main highway, Adarshnagar, Nepalgunj, Banke."
15500000.0,"Binay ko Jagga, थानकोट, Chandragiri, चन्द्रागिरी नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",1,2,6,1369,12.0,Near Dahachowk Petrol Pump and Dahachowk Banquet
110000000.0,"Sitapaila (Nagarjun), Kathmandu",1,1,1,10952,20.0,
3600000.0,Bhaktapur > Sanga (Suryabinayak),1,1,1,1026.75,20.0,Sanga bhaisepati height
40000000.0,Bhaktapur > Changunarayan,1,1,2,4107,20.0,"Changunarayan-05, Bhaktapur Pakunepati"
10000000.0,"Bhadrapur, Jhapa",1,3,4,5756.645,20.0,Bhadrapur Airport
32500000.0,"naya baneshwar, New Baneshwor, Kathmandu",1,1,1,1112.31,8.0,
1850000.0,"daanchi, Danchi (Kageshwor), Kathmandu",1,1,2,1839.59,13.0,
18000000.0,"bangal, Bhangal (Budhanilkantha), Kathmandu",1,,,1369,13.0,
97000000000000.0,"Kharipati (Changunarayan), Bhaktapur",1,1.0,2.0,1197.875,13.0,
2800000000000000.0,"mathatirtha, Matatirtha (Chandragiri), Kathmandu",1,2,3,1369,13.0,
25000000.0,सानो भर्यांङ,1,2.0,3.0,1026.75,12.0,
1650000000000000.0,"mathatirtha, Matatirtha (Chandragiri), Kathmandu",1,2,3,1026.75,13.0,
2300000000000000.0,"mathatirtha, Matatirtha (Chandragiri), Kathmandu",1,2,2,684.5,13.0,
2400000000000000.0,"mathatirtha, Matatirtha (Chandragiri), Kathmandu",1,2,2,1369,20.0,
16000000.0,"Chunikhel (Budhanilkantha), Kathmandu",1,2,2,1026.75,12.0,
32000000.0,"Chundevi (Maharajgunj), Kathmandu",1,1,2,1369,13.0,
32500000.0,"Neighborhood Cafe and Grill, Banshidhar Marg, Laligurans Chok, Chappal Karkhana, Kathmandu Metropolitan Ward 4, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Pradesh, 44606, Nepal",1,1,2,1369,12.0,
58000000.0,"akashedhara, Akasedhara (Kapan), Kathmandu",1,3.0,4.0,684.5,13.0,0
15500000.0,"Baluwakhani Chok, Golphutar",1,1,2,1026.75,12.0,
37500000.0,"Dhumbarahi Kumaristhan, Sukedhara Area, Kathmandu",1,2.0,3.0,1711.25,13.0,
17500000.0,"Champi (Karyabinayak), Lalitpur",1,1,1,1967.9375,20.0,
36500000.0,"Miteri Marg, मकलबारी, गोकर्णेश्वर",1,1,2,2738,13.0,
22000000.0,"Kumaripati, Lalitpur",1,3.0,4.0,1197.875,13.0,
33000000.0,"Miteri Marg, Makalbari, Gokarneshwor, Namgyal, Gokarneshwar Municipality, Kathmandu, Bagmati Pradesh, 89977, Nepal",1,2,3,2738,13.0,
15000000.0,"Buspark Butwal, Rupandehi (Butwal)",1,1,4,2344.4125,12.0,
17500000.0,"Baluwakhani Chok, Golphutar, Budhanilkantha Municipality, Kathmandu, Bagmati Pradesh, 44622, Nepal",1,2,1,1095.2,13.0,
6500000.0,Morang > Morang (Other Area),1,1,2,3645,13.0,Sundar Dulari (Morang).
15500000.0,"naya basti, Imadol",1,1,2,1026.75,12.0,"near to Pawan Prakriti School, Imadole"
18500000.0,"Budhanilkantha, Budhanilkantha Municipality, Kathmandu",1,1,3,1369,13.0,
13300000.0,"Suryabinayak, Bhaktapur",1,1,4,1026.75,13.0,
16000000.0,"Budhanilkantha, Budhanilkantha Municipality, Kathmandu",1,1,2,1026.75,12.0,Near Karuna Hospital
11000000.0,Nagarjun,1,1,3,2738,12.0,
3000000.0,"Sundar Dulari, Sundarharaicha, Morang",1,1,1,1711.25,13.0,
14500000.0,"bangal, Bhangal (Budhanilkantha), Kathmandu",1,1,2,1026.75,12.0,
17500000.0,"Budhanilkantha, काठमाडौं, Bagmati Pradesh, नेपाल",1,1,2,1369,13.0,"बुढानिलकण्ठ पासिकोट ४ आना , वास्तु अनुसार मिलेको, उत्तर मुखी, प्रस्तावित ७२ फिटे बाटोमा।"
13000000.0,"Thali (Kageshwor), Kathmandu",1,2,2,1026.75,12.0,
2200000000000000.0,"mathatirtha, Matatirtha (Chandragiri), Kathmandu",1,2,2,1369,13.0,
25000000.0,"Sanepa, Lalitpur",1,1.0,1.0,1112.31,12.0,
32000000.0,"Jorpati (Gokarneshwar), Kathmandu",1,2,3,2738,13.0,
1250000.0,"Kathmandu City, Kathmandu",1,1.0,2.0,4000,12.0,
16000000.0,"jhikucha rajkulo chowk, Tikathali, महालक्ष्मी, Mahalaxmi, ललितपुर, Bagmati Pradesh, नेपाल",1,1,2,1026.75,13.0,
15500000.0,"Lamatar (Mahalaxmi), Lalitpur",1,1.0,1.0,1026.75,13.0,
7500000.0,Jhapa > Bhadrapur,1,1,6,6845,20.0,"Chandragadhi, Bhadrapur 10"
20000000.0,"B.R.T Engineering Pvt.Ltd., 3, NH66, Chauraha, Dhangadhi, Dhangadi Sub Metropolitan, Dhanhadhi, Kailali, Sudurpashchim Pradesh, +977, Nepal",1,1.0,3.0,3645,20.0,Nabil bank
15000000.0,"Thali (Kageshwor), Kathmandu",1,1,2,1026.75,13.0,
17000000.0,"Jarankhu,",1,1,2,1369,13.0,
10400000.0,"Bargachhi Chowk, Morang (Biratnagar)",1,2.0,2.0,3593.625,13.0,"Ekaras Masala, Lord Buddha Niketan School"
17000000.0,"Jarankhu (Tarkeshwar), Kathmandu",1,1,2,1369,13.0,
25000000.0,"Tokha Sadak, बालुवापाटी चोक,",1,1,2,1711.25,13.0,"grandi hospital, tokha"
4500000.0,"Pharping, Dakshinkali, दक्षि‍णकाली नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",1,1,5,1026.75,8.0,
16000000.0,"Imadol Tikathali Siddhipur Sanagau Mahalaxmisthan Lubhu Lamatar Changathali, Mahalaxmi Area, Lalitpur",1,1,3,1026.75,13.0,
19500000.0,"Imadol (Mahalaxmi), Lalitpur",1,1,2,1069.53,13.0,
16000000.0,"Tikathali, महालक्ष्मी, Mahalaxmi, ललितपुर, Bagmati Pradesh, नेपाल",1,1,2,1026.75,13.0,Sano gaun Bhatbhatni
26500000.0,"Imadol (Mahalaxmi), Lalitpur",1,1,1,1369,13.0,
16500000.0,"Tikathali (Mahalaxmi), Lalitpur",1,1,2,1026.75,13.0,
15000000.0,"Imadol (Mahalaxmi), Lalitpur",1,1,2,1026.75,12.0,Imadol
90000000.0,"Sanchal (Sanepa), Lalitpur",1,1.0,1.0,3080.25,13.0,
17000000.0,"Tikathali (Mahalaxmi), Lalitpur",1,1,1,1026.75,13.0,
16000000.0,Imadol,1,1,1,1026.75,13.0,
13500000.0,"Lamatar (Mahalaxmi), Lalitpur",1,1,2,941.18,13.0,Lubu Bus Park
16500000.0,"Imadol, Mahalaxmi, Lalitpur, Bagmati Pradesh, 44705, Nepal",1,1,2,1026.75,13.0,Imadol ansari clinic najik
25000000.0,"Sanchal (Sanepa), Lalitpur",1,1,1,855.62,13.0,
90000000.0,"Sanchal (Sanepa), Lalitpur",1,1,1,4791.5,12.0,
