title,location,price,landsize,Road,bedroom,bathroom,url,direction,parking size,built year
Magnificent House for sale in Chundevi Kathmandu,Chundevi Maharajgjunj Kathmandu,140000000,26,,4,4,https://nepalhomesearch.com/property/magnificent-house-for-sale-in-chundevi/,,8,2015
House on 24 anna land for sale at Bhaisepati Lalitpur,Bhaisepati Lalitpur,150000000,24,,3,4,https://nepalhomesearch.com/property/house-on-24-anna-land-for-sale-at-bhaisepati-lalitpur/,,4,2010
Beautiful Old Villa on 23 aana Sale at Sitapaila,"Sitapaila, Kathmandu Metropolitan City, Kathmandu, Bagmati Pradesh, 44620, Nepal",100000000,23,,5,4,https://nepalhomesearch.com/property/beautiful-old-villa-on-23-aana-sale-at-sitapaila/,West,10,
Modern Bungalow for Sale at Budhanilkanta of 23 annas,"Budhanilkantha, Kathmandu, Bagmati Pradesh, 22644, Nepal",160000000,23,15,6,6,https://nepalhomesearch.com/property/modern-bungalow-sale-budhanilkanta/,North,,2021
Bungalow on 22 annas for sale at Kusunti Lalitpur,"Kusunti, Lalitpur 44700, Nepal",100000000,23,,5,5,https://nepalhomesearch.com/property/bungalow-on-22-annas-for-sale-at-kusunti-lalitpur/,,5,2005
Modern House for sale at Pasikot Budhanilkantha,"Pasikot, Budhanilkantha 44600, Nepal",82500000,22,,4,4,https://nepalhomesearch.com/property/modern-house-for-sale-at-pasikot-budhanilkantha/,,5,2019
Luxurious Classic Villa for sale at Thapathali Kathmandu,"Thapathali, Kathmandu, Bagmati Pradesh, PO BOX. 220, Nepal",160000000,21,,4,4,https://nepalhomesearch.com/property/villa-for-sale-at-thapathali/,,5,1995
Spontaneous 5 BHK bungalow at Budhanilkantha,Spontaneous 5 BHK bungalow at Budhanilkantha,105000000,21,,5,6,https://nepalhomesearch.com/property/spontaneous-5-bhk-bungalow-at-budhanilkantha/,,4,
Pasikot Villa in Budhanilknatha,"Pasikot Budhanilkantha, Bagmati Pradesh, 22644, Nepal",100000000,20,20,4,4,https://nepalhomesearch.com/property/pasikot-villa/,North-west,10,2020
Old house for sale on 20 Anna land at Manbhawan Lalitpur,"AVM Chowk, Manbhawan , Lalitpur",110000000,20,,10,5,https://nepalhomesearch.com/property/old-house-for-sale-on-20-anna-land-at-manbhawan-lalitpur/,,10,2000
Sitapaila Luxury Villa Sale,"Sitapaila, Nagarjun 44600, Nepal",170000000,20,13,5,7,https://nepalhomesearch.com/property/sitapaila-luxury-villa-sale/,East,5,2068
Lovely old house for sale at Chabahil Kathmandu,"Chabahil, Kathmandu 44600, Nepal",120000000,20,15,4,4,https://nepalhomesearch.com/property/lovely-old-house-for-sale-at-chabahil/,South,5,2003
Modern bungalow for sale at Budhanilkantha Kathmandu,Budhanilkantha Kathmandu,95000000,20,,5,5,https://nepalhomesearch.com/property/bungalow-for-sale-at-budhanilkantha/,,5,2015
House for sale at Gollfutar Height Kathmandu,Golfutar Kathmandu,100000000,19,,5,4,https://nepalhomesearch.com/property/house-for-sale-at-golfutar-height/,,5,2000
A modern house for sale Mahalaxmisthan Lalitpur,"Kusunti height, Malalaxmi chowk ring road",130000000,19,,4,4,https://nepalhomesearch.com/property/a-modern-house-for-sale-mahalaxmisthan-lalitpur/,,5,2020
Lavish home at Sanepa,"Sanepa, Lalitpur, Bagmati Pradesh",160000000,19,,6,6,https://nepalhomesearch.com/property/lavish-home-for-sale-at-sanepa/,,4,2010
Budhanilkantha Villa,"Siddhartha Colony Road, Budhanilkantha 44600, Nepal",150000000,18,20,6,5,https://nepalhomesearch.com/property/budhanilkantha-villa/,South-east,5,2021
Exclusive Villa for sale at Budhanilkantha Kathmandu,Budhanilkantha Kathmandu,93000000,18,,5,5,https://nepalhomesearch.com/property/for-sale-at-budhanilkantha/,,5,2020
Modern house for sale on 18 anna at Budhanilkantha,Budhanilkantha Kathmandu,92500000,18,,5,5,https://nepalhomesearch.com/property/modern-house-for-sale-on-18-anna-at-budhanilkantha/,,5,2018
"Modern bungalow for sale at Min Bhawan, Baneshwor","Min Bhawan, Baneshwor Kathmandu",165000000,17,,5,6,https://nepalhomesearch.com/property/bungalow-for-sale-at-min-bhawan/,,5,2010
Magnificent Villa on 17 aana for sale at Bhaisepati Lalitpur,"Bhaisepati, Lalitpur, Bagmati Pradesh, 44700, Nepal",100000000,17,,4,3,https://nepalhomesearch.com/property/magnificent-villa-bhaisepati-lalitpur/,,,
A beautiful house for sale near Chandragiri Cable Car,"44619, चन्द्रागिरी 44619, Nepal",40000000,16,14,5,4,https://nepalhomesearch.com/property/house-for-sale-chandragiri-cable-car/,South,,2010
Brand New house for sale at Mandikhatar,"Mandikhatar , Kathmandu",145000000,15,20,4,5,https://nepalhomesearch.com/property/brand-new-house-for-sale-at-mandikhatar/,North-east,4,2078
Decent house for sale at Chapali Budhanilkantha,Decent house for sale at Chapali Budhanilkantha,80000000,15,,3,3,https://nepalhomesearch.com/property/house-for-sale-at-chapali/,,4,2010
House on 14 aana at Dhapasi for sale,"Dhapasi, Kathmandu, near Krishna Mandir",70000000,14,,6,6,https://nepalhomesearch.com/property/house-on-14-aana-at-dhapasi-for-sale/,South,6,
Semi commercial house for sale at Imadol Lalitpur,"Imadol, Mahalaxmi, Nepal",60000000,14,,9,4,https://nepalhomesearch.com/property/semi-commercial-house-in-imadol/,,5,2010
House for sale on 14 annas of land in Ghattekulo Kathmandu,"Ghattekulo, Kathmandu",100000000,14,,10,7,https://nepalhomesearch.com/property/house-for-sale-on-14-annas-of-land-in-ghattekulo-kathmandu/,,4,
Old house for sale in Mahalaxmisthan,"Mahalaxmisthan, Lalitpur",70000000,14,,5,4,https://nepalhomesearch.com/property/old-house-for-sale-in-mahalaxmisthan-lagankhel/,,4,
Luxurious Classic Villa for sale at Kathmandu,"Dhapasi, Kathmandu, Bagmati Pradesh, 44606, Nepal",135000000,14,20,5,6,https://nepalhomesearch.com/property/luxurious-classic-villa/,South-east,3,2022
A neoclassic house for sale at Maharajgunj Kathmandu.,"Thirbam Sadak, Charkhal Dillibazar Kathmandu.",190000000,13,20,4,5,https://nepalhomesearch.com/property/neoclassic-house-for-sale-at-maharajgunj/,South-east,2,2022
A modern house for sale at Pepsicola Kathmandu,"Pepsicola, Kathmandu, Bagmati Pradesh, 44810, Nepal",75000000,13,13,5,6,https://nepalhomesearch.com/property/house-for-sale-at-pepsicola-kathmandu/,North,,
House on sale at Jhamsikhel Lalitpur,"Jhamsikhel Marg, Lalitpur 44600, Nepal",102500000,12,13,5,4,https://nepalhomesearch.com/property/house-on-sale-at-jhamsikhel-lalitpur/,South,5,2060
House for sale on 12 anna at Dhapasi Kathmandu,"Dhapasi Marga, Dhapasi",62500000,12,,7,7,https://nepalhomesearch.com/property/house-for-sale-in-dhapasi-kathmandu/,,5,
Urgent Sale House in Imadol Lalitpur,"Imadol, Mahalaxmi, Lalitpur, Bagmati Pradesh, Nepal",65000000,12,13,7,3,https://nepalhomesearch.com/property/urgent-sale-house-in-imadol-lalitpur/,South,4,
Bansbari House Sale,"Bansbari, Kathmandu 44600, Nepal",100000000,12,18,4,3,https://nepalhomesearch.com/property/bansbari-house-sale/,South,4,2063
Multi-storey house for sale at Baluwatar kathmandu,"Thirbam Sadak, Charkhal Dillibazar",125000000,12,,11,8,https://nepalhomesearch.com/property/multi-storey-house-for-sale-at-baluwatar/,,4,
Villa for sale in Chabahil Kathmandu,"Chabahil, Kathmandu, Bagmati Pradesh, 44660, Nepal",120000000,12,16,3,2,https://nepalhomesearch.com/property/villa-for-sale-in-chabahil-kathmandu/,North,3,2055
Apartment building for sale at Bansbari Kathmandu,"Bansbari, Kathmandu, Bagmati Pradesh, 44607, Nepal",130000000,12,13,,,https://nepalhomesearch.com/property/apartment-building-for-sale-at-bansbari-kathmandu/,,,
