title,district,Municipality,vdc,price,landsize,bedroom,bathroom,builtyear,parking,direction,url,price.1
"2 Storey House for Sale at Makalbari, Jorpati",Kathmandu,Kathmandu,Jorpati,,3.5 aana,5,2,2075,4,East,https://epropertynepal.com/properties/1039-2-storey-house-for-sale-at-makalbari-jorpati,20000000
"House for Sale at Imadol, Lalitpur",Lalitpur,Mahalaxmi,Imadol,,4.125 aana,7,3,2060,4,West,https://epropertynepal.com/properties/1254-house-for-sale-at-imadol-lalitpur,20000000
"2.5 Storey House For Sale at Saibu, Lalitpur",Lalitpur,Lalitpur,Saibu,,2.5 aana,5,3,2079,4,West,https://epropertynepal.com/properties/2772-2-5-storey-house-for-sale-at-saibu-lalitpur,21500000
"House for Sale at Har Har Mahadev, Kathmandu",Kathmandu,Kageshwari-Manohara-07,Kadaghari,,3.75 aana,6,3,2079,4,East,https://epropertynepal.com/properties/1645-house-for-sale-at-har-har-mahadev-kathmandu,21500000
"2.5 Storey House For Sale at Imadol, Lalitpur",Lalitpur,Mahalaxmi,Imadol,,3.0 aana,4,4,2079,4,West,https://epropertynepal.com/properties/2586-2-5-storey-house-for-sale-at-imadol-lalitpur,22500000
"Beautiful 2.5 Storey House for Sale at Chabahil, Kathmandu",Kathmandu,Kathmandu,Chabahil,,3.125 aana,5,3,2075,4,North East,https://epropertynepal.com/properties/902-beautiful-2-5-storey-house-for-sale-at-chabahil-kathmandu,23500000
"3 Storey House for Sale at Gongabu, Kathmandu",Kathmandu,Gongabu,Baniyatar,,3.5 aana,6,5,2075,4,North West,https://epropertynepal.com/properties/996-3-storey-house-for-sale-at-gongabu-kathmandu,23750000
"2.5 Storey House For Sale at Imadol, Lalitpur",Lalitpur,Mahalaxmi-4,Imadol,,3.06 aana,4,4,2079,4,West,https://epropertynepal.com/properties/2698-2-5-storey-house-for-sale-at-imadol-lalitpur,24000000
"2.5 Storey House For Sale at Sita Pakha, Lalitpur",Lalitpur,Mahalaxmi-4,Sita Pakha,,3.0 aana,4,4,2079,4,East,https://epropertynepal.com/properties/2601-2-5-storey-house-for-sale-at-sita-pakha-lalitpur,25000000
"House for Sale at Manamaiju, Kathmandu",Kathmandu,Tarkeshwar,Manamaiju,,3.75 aana,7,4,2079,4,East,https://epropertynepal.com/properties/1709-house-for-sale-at-manamaiju-kathmandu,25500000
"House for Sale at Kusunti, Lalitpur",Lalitpur,Kusunti,Jhulpakha,,5.5 aana,6,3,2075,4,North East,https://epropertynepal.com/properties/1279-house-for-sale-at-kusunti-lalitpur,26000000
