floors,district,Municipality,Address,Land,Price,bedroom,bathroom,Face,Road,url
2.5,Kathmandu,Kathmandu,Sitapaila,1540.125,27000000,5,4,South East,10,https://epropertynepal.com/properties/2981-two-2-5-storey-houses-and-4-25-aana-land-for-sale-at-kharitar-sitapaila
2.5,Lalitpur,Mahalaxmi-4,Sita Pakha,1026.75,25000000,4,4,East,13,https://epropertynepal.com/properties/2601-2-5-storey-house-for-sale-at-sita-pakha-lalitpur
1,Bhaktapur,Suryabinayek-1,Sirutar,1369,15000000,2,1,West,13,https://epropertynepal.com/properties/2853-1-storey-house-for-sale-at-sirutar-bhaktapur
1,Bhaktapur,Anantalingeshwar-1,Sirutar,3148.7,37000000,7,1,South,32,https://epropertynepal.com/properties/1785-commercial-house-for-sale-at-sirutar-bhaktapur
2.5,Lalitpur,Mahalaxmi,Siddhipur,1026.75,22500000,5,4,South West,13,https://epropertynepal.com/properties/2122-house-for-sale-at-siddhipur-height-lalitpur
2.5,Lalitpur,lalitpur,Shital Height,1369,29000000,4,4,East,20,https://epropertynepal.com/properties/2646-2-5-storey-house-for-sale-at-shital-height-lalitpur
3.5,Kathmandu,Kathmandu,Shantinagar,1026.75,44000000,9,4,South West,12,https://epropertynepal.com/properties/1083-3-5-storey-house-for-sale-rent-at-shantinagar-baneshwor
3.5,Kathmandu,Kathmandu,Shantinagar,1540.125,45500000,6,4,East,10,https://epropertynepal.com/properties/2137-house-for-sale-at-shantinagar-kathmandu
3.5,Kathmandu,Chandragiri-10,Satungal,1197.875,23000000,6,4,North East,10,https://epropertynepal.com/properties/2924-3-5-storey-house-for-sale-at-satungal-katmandu
3.5,Kathmandu,Chandragiri-11,Satungal,1369,29000000,8,5,North East,20,https://epropertynepal.com/properties/2893-3-5-storey-house-for-sale-at-satungal-katmandu
2.5,Bhaktapur,Madhyapur-07,Sanothimi,5133.75,70000000,7,4,East,36,https://epropertynepal.com/properties/2133-bungalow-for-sale-at-sanothimi-bhaktapur
3.5,Kathmandu,Kathmandu,Sankhamul,1026.75,37000000,6,3,East,13,https://epropertynepal.com/properties/2815-3-5-storey-house-for-sale-at-sankhamul-kathmandu
1,Lalitpur,Mahalaxmi-6,Sanagaun,1091.7775,16000000,2,1,North,13,https://epropertynepal.com/properties/3026-1-storey-house-for-sale-at-sanagaun-lalitpur
2.5,Kathmandu,Kathmandu,Samakhusi,3422.5,72500000,6,6,South,26,https://epropertynepal.com/properties/3018-2-5-storey-house-for-sale-at-samakhusi-kathmandu
2.5,Lalitpur,Lalitpur,Saibu,855.625,21500000,5,3,West,13,https://epropertynepal.com/properties/2772-2-5-storey-house-for-sale-at-saibu-lalitpur
4.5,Kathmandu,Samakhusi,Ranibari,2652.4375,52500000,7,8,West,10,https://epropertynepal.com/properties/926-4-5-storey-house-for-sale-at-ranibari-kathmandu
2.5,Kathmandu,Nagarjun-01,Raniban,1454.5625,28900000,8,5,South,13,https://epropertynepal.com/properties/1976-house-for-sale-at-raniban-kathmandu
2.5,Kathmandu,Nagarjun- 8,Ramkot,1197.875,19000000,2,4,South,13,https://epropertynepal.com/properties/2706-2-5-storey-house-for-sale-at-ramkot-kathmandu
2.5,Kathmandu,Chandragiri,Purano Naikap,1711.25,30000000,5,4,West,10,https://epropertynepal.com/properties/1054-2-5-storey-semi-furnished-house-for-sale-at-naikap-kathmandu
3.5,Kathmandu,Kathmandu,Pepsicola,1369,32500000,4,3,North,13,https://epropertynepal.com/properties/2419-3-5-storey-house-for-sale-at-pepsicola-kathmandu
2.5,Kathmandu,Kageshwori Manohara,Pepsicola,1454.5625,25500000,6,4,West,13,https://epropertynepal.com/properties/1274-house-for-sale-at-pepsicola-kathmandu
4,Kathmandu,Kathmandu-06,Patitar,3101.640625,67500000,11,4,North East,20,https://epropertynepal.com/properties/1638-house-for-sale-at-nayabasti-kathmandu
5.5,Kathmandu,Kathmandu,New Buspark,1112.3125,36000000,23,15,South,13,https://epropertynepal.com/properties/1015-5-5-storey-furnished-house-for-sale-at-new-buspark-ktm
3,Kathmandu,Gokarneshwor-2,Nayapati,1283.4375,26000000,6,3,South East,13,https://epropertynepal.com/properties/2674-3-storey-house-for-sale-at-nayapati-kathmandu
3.5,Kathmandu,Kathmandu,Nayabasti,1235.5225,31000000,11,3,North,10,https://epropertynepal.com/properties/2606-3-5-storey-house-for-sale-at-nayabasti-jorpapti
3.5,Kathmandu,Chandragiri,Naya Naikap,1454.5625,29000000,7,4,South East,13,https://epropertynepal.com/properties/1074-3-5-storey-house-for-sale-at-naya-naikap-kathmandu
3.5,Kathmandu,Kathmandu,Naya Bazar,2053.5,60000000,8,3,South West,10,https://epropertynepal.com/properties/1648-house-for-sale-at-naya-bazar-kathmandu
2.5,Kathmandu,Kathmandu-16,Naya Bazar,855.625,18000000,7,3,North West,8,https://epropertynepal.com/properties/1783-house-for-sale-at-naya-bazar-kathmandu
3.5,Kathmandu,Gokarneshwor,Narayantar,1711.25,27500000,5,5,East,10,https://epropertynepal.com/properties/1318-house-for-sale-at-narayantar-kathmandu
3.5,Lalitpur,Lalitpur Metropolitan,Nakkhu,1197.875,39000000,5,6,East,13,https://epropertynepal.com/properties/2696-3-5-storey-house-for-sale-at-nakkhu-lalitpur
2.5,Lalitpur,Lalitpur Metropolitan city-4,Nakkhu,1796.8125,41000000,4,4,North East,20,https://epropertynepal.com/properties/2461-2-5-storey-bungalow-for-sale-or-rent-at-nakhu-bagdol-lalitpur
2.5,Kathmandu,Kageshwori Manahara-6,Mulpani,1711.25,30000000,6,3,North,20,https://epropertynepal.com/properties/1683-house-for-sale-at-mulpani-kathmandu
4.5,Kathmandu,New Buspark,Mitranagar,1369,45000000,20,17,North East,13,https://epropertynepal.com/properties/976-4-5-storey-house-for-sale-at-new-buspark-kathmandu
3.5,Kathmandu,Tarkeshwar,Manamaiju,1283.4375,25500000,7,4,East,14,https://epropertynepal.com/properties/1709-house-for-sale-at-manamaiju-kathmandu
2.5,Kathmandu,Tarakeshwor,Manamaiju,1283.4375,27000000,7,3,South West,10,https://epropertynepal.com/properties/1957-house-for-sale-at-manamaiju-kathmandu
3,Kathmandu,Gokarneshwor,Makalbari,1026.75,19500000,7,3,North East,4,https://epropertynepal.com/properties/1885-house-for-sale-at-makalbari-kathmandu
2.5,Kathmandu,Jorpati,Makalbari,1069.53125,18000000,5,3,East,12,https://epropertynepal.com/properties/993-house-for-sale-at-makalbari-jorpati
2.5,Kathmandu,Gokarneshwor-1,Makalbari,1197.875,16000000,3,3,East,10,https://epropertynepal.com/properties/2675-2-5-storey-house-for-sale-at-makalbari-kathmandu
1,Lalitpur,Mahalaxmi-5,Mahalaxmi,1026.75,15200000,2,1,North West,13,https://epropertynepal.com/properties/3004-1-storey-house-for-sale-at-school-chwok-sanagaun-lalitpur-with-55-lakhs-banking-facility
2.5,Bhaktapur,Madyapur Thimi-08,Madyapur Thimi,1155.09375,18500000,3,3,East,13,https://epropertynepal.com/properties/1775-house-for-sale-at-bode-bhaktapur
2,Kathmandu,Chandragiri-09,Machhegaun,1561.515625,24000000,2,3,South East,13,https://epropertynepal.com/properties/1827-full-furnished-house-for-sale-at-machhegaun-kathmandu
