floors,district,Municipality,Address,Land,Price,bedroom,bathroom,Face,Road,url
2.5,Lalitpur,Lalitpur-24,Dhapakhel,1197.875,22500000,5,3,East,13,https://epropertynepal.com/properties/2524-two-2-5-storey-house-for-sale-at-nagdaha-dhapakhel-lalitpur
2.5,Lalitpur,Lalitpur Municipality,Dhapakhel,1925.15625,35000000,7,3,South,13,https://epropertynepal.com/properties/2318-house-for-sale-at-dhapakhel-lalitpur
2.5,Bhaktapur,Bhaktapur,Dhadikot,3422.5,59500000,5,6,East,13,https://epropertynepal.com/properties/2875-2-5-storey-fully-furnished-house-for-sale-at-dhadikot-height-bhaktapur
3.5,Kathmandu,Kathmandu,Dallu,3935.875,73000000,21,4,North West,20,https://epropertynepal.com/properties/1283-house-for-sale-at-dallu-kathmandu
2.5,Bhaktapur,Madhyapur Thimi-3,Chardobato,1540.125,31000000,5,4,West,13,https://epropertynepal.com/properties/2927-2-5-storey-house-for-sale-at-madhyapur-thimi-3-chardobato-bhaktapur
3,Bhaktapur,Changunarayan-02,Changunarayan,855.625,13500000,5,4,North,8,https://epropertynepal.com/properties/1765-house-for-sale-at-duwakot-bhaktapur
4,Kathmandu,Kathmandu,Chandragiri,1283.4375,21000000,9,5,East,25,https://epropertynepal.com/properties/985-house-for-sale-at-near-chandragiri-cable-car-substation
2.5,Kathmandu,Chandragiri- 12,Chandragiri,855.625,13000000,5,3,South East,10,https://epropertynepal.com/properties/1215-house-for-sale-at-balambu-kathmandu
2.5,Kathmandu,Chandragiri,Chandragiri,1026.75,14500000,2,3,South East,13,https://epropertynepal.com/properties/1058-2-5-storey-beautiful-house-for-sale-at-thankot-kathmandu
2.5,Kathmandu,Chandragiri-8,Chandragiri,1454.5625,16500000,4,3,East,13,https://epropertynepal.com/properties/2440-2-5-storey-house-for-sale-at-chandragiri-kathmandu
2.5,Kathmandu,Kathmandu,Chabahil,1069.53125,23500000,5,3,North East,13,https://epropertynepal.com/properties/902-beautiful-2-5-storey-house-for-sale-at-chabahil-kathmandu
3.5,Kathmandu,Budhanilkantha-4,Budhanilkantha,1369,30000000,5,6,North West,20,https://epropertynepal.com/properties/2086-bungalow-for-sale-at-budhanilkantha-kathmandu
3,Kathmandu,Kathmandu,Budhanilkantha,1882.375,53000000,5,3,North,13,https://epropertynepal.com/properties/2734-3-storey-bungalow-for-sale-at-hepali-height-budhanilkantha-kathmandu
2.5,Kathmandu,Kathmandu,Budhanilkantha,1026.75,28000000,4,4,South,13,https://epropertynepal.com/properties/2680-2-5-storey-house-for-sale-at-pasikot-budhanilkantha-kathmandu
2.5,Kathmandu,Kapan,Budhanilkantha,1711.25,30000000,5,4,South West,13,https://epropertynepal.com/properties/1231-house-for-sale-at-kapan-kathmandu
2.5,Kathmandu,Budhanilkantha,Budhanilkantha,1882.375,31000000,5,6,North,20,https://epropertynepal.com/properties/1634-semi-furnished-bungalow-for-sale-at-budhanilkantha-kathmandu
2.5,Kathmandu,Kathmandu,Budhanilkantha,1967.9375,49500000,5,5,South,13,https://epropertynepal.com/properties/2508-beautiful-residential-house-for-sale-in-rudreshwor-chowk-budhanilkantha
2.5,Kathmandu,Budhanilkantha,Budhanilkantha,2310.1875,67500000,5,3,North East,20,https://epropertynepal.com/properties/2047-furnished-royal-bungalow-for-sale-at-budhanilkantha-kathmandu
2.5,Kathmandu,BUdhanilkantha-1,Budhanilkantha,2395.75,70000000,5,6,South East,13,https://epropertynepal.com/properties/2821-2-5-storey-house-for-sale-at-budhanilkantha-kathmandu
2.5,Kathmandu,Budhanilakantha-8,Budhanilakantha,1026.75,21000000,5,2,East,11,https://epropertynepal.com/properties/2730-2-5-storey-house-for-sale-at-bhangal-budhanilkantha-kathmandu
1,Kathmandu,Budhanilkantha Municipality -8,Budhanilakantha,1540.125,17500000,2,1,South,10,https://epropertynepal.com/properties/2776-1-storey-house-for-sale-at-bhangal-budhanilkantha-kathmandu
2.5,Kathmandu,Budanilakantha,Budanilakantha,1163.65,26000000,5,3,South East,13,https://epropertynepal.com/properties/2432-house-for-sale-at-budanilakantha-bhangal-kathmandu
2.5,Kathmandu,Budanilakantha-7,Budanilakantha,1689.859375,34000000,5,5,South West,20,https://epropertynepal.com/properties/2533-2-5-storey-house-for-sale-at-golfutar-kathmandu
2.5,Kathmandu,Kathmandu,Boudha,1754.03125,35000000,5,4,West,20,https://epropertynepal.com/properties/2848-2-5-storey-house-for-sale-at-guhyeshwari-town-planning-boudha-kathmandu
2,Kathmandu,Kathmandu-6,Boudha,3080.25,60000000,8,7,South,13,https://epropertynepal.com/properties/2820-land-with-8-rooms-apartment-for-sale-at-patitar-boudha-kathmandu
2.5,Bhaktapur,Bhaktapur,Bhaktapur,4278.125,65000000,4,5,North,20,https://epropertynepal.com/properties/724-bungalow-for-sale-at-kausaltar-chowk-bhaktapur
2.5,Lalitpur,Lalitpur,Bhainsepati,1026.75,28500000,6,3,North East,23,https://epropertynepal.com/properties/2240-house-for-sale-at-bhainsepati-lalitpur
2.5,Lalitpur,Lalitpur,Bhainsepati,1796.8125,50000000,5,6,North East,15,https://epropertynepal.com/properties/1753-house-for-sale-at-bhainsepati-lalitpur
2.5,Lalitpur,Lalitpur-18,Bhainsepati,3101.640625,50000000,3,4,South,13,https://epropertynepal.com/properties/2181-house-for-sale-at-bhainsepati-lalitpur
4.5,Kathmandu,Kathmandu,Basundhara,1454.5625,42500000,8,4,North East,24,https://epropertynepal.com/properties/2973-4-5-storey-semi-commercial-house-for-sale-at-basundhara-kathmandu
3,Kathmandu,Gongabu,Baniyatar,1197.875,23750000,6,5,North West,13,https://epropertynepal.com/properties/996-3-storey-house-for-sale-at-gongabu-kathmandu
3,Kathmandu,Kathmandu,Baniyatar,1625.6875,35000000,6,5,South East,13,https://epropertynepal.com/properties/2558-3-storey-house-for-sale-at-baniyatar-kathmandu
4,Kathmandu,Kathmandu,Baluwatar,2395.75,41000000,11,4,South East,10,https://epropertynepal.com/properties/2648-house-for-sale-at-baluwatar-kathmandu
2.5,Kathmandu,Kathmandu,Baluwatar,1625.6875,58500000,4,5,East,10,https://epropertynepal.com/properties/3059-2-5-storey-house-for-sale-at-panchakanya-height-baluwatar
3.5,Lalitpur,Balkumari,Balkumari,855.625,15000000,5,3,North East,18,https://epropertynepal.com/properties/1016-3-5-storey-house-for-sale-at-balkumari-lalitpur
3.5,Bhaktapur,Suryabinayak-2,Balkot,2566.875,55000000,3,3,South,26,https://epropertynepal.com/properties/2229-house-for-sale-at-balkot-bhaktapur
2.5,Bhaktapur,Bhaktapur,Balkot,1155.09375,27500000,4,4,West,13,https://epropertynepal.com/properties/2765-2-5-storey-house-for-sale-at-balkot-bhaktpur
2.5,Kathmandu,Kathmandu,Balkhu,2652.4375,45000000,4,3,East,16,https://epropertynepal.com/properties/1004-2-5-storey-house-for-sale-at-balkhu-kathmandu
