price,Location,Living Room,Used For,Floor,Bathroom,Bedroom,Land Mark,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Road Size,url
45000000,"Kalanki, Kathmandu",1,,3,4,4,,8aana,4410,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-hasantar-kalanki-in-kathmandu/8128fd17d8554c15bf8b8904b95ba2c8
1200000,"prabhu bank, 25DR006, Thaiba, Godawari, Lalitpur",2,,2,4,3,,4,4,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/sastoma-ghar-in-lalitpur/ed3659a3711c4f84a5f563ceee696974
55000000,"swayambhu, Swoyambhu, Kathmandu",1,,4,10,17,,7,1984,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/urgent-house-for-sale-at-sano-bharyang-in-kathmandu/99484bf442734c3fb6e35a446a10aae0
15000000,"Kot Devi, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Pradesh, 44795, Nepal",3,,3,3,6,,2.5,2100,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-koteshwor-in-kathmandu/fea5b3ddaabb4addaa45f654152b7994
27500000,"Hattigaunda Bhangal Chapali Chunikhel Hepali Height Italitar Khadka Bhadrakali Narayanthan Mahankhal Pasikot Golfutar Budanilkantha, Budhanilkantha Area, Kathmandu",1,,2.5,3,4,,0-4-2-0,1200,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-chapali-budhanilkantha-in-kathmandu/5c89fe512bb04c09a366ca5943818c20
90000000,"Sanchal (Sanepa), Lalitpur",1,,1,1,1,,0-9-0-0,1500,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-sanchal-lalitpur-in-lalitpur/189c0a96bdbb4a0d944728dfbd0f148a
18000000,"Maliphant Marg, Wakhat, Sunakothi",1,,2,1,4,,4,1200,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/house-sell-in-sunakothi-dholahiti-35-aana-in-nepal/146ed2cf4db247c4a97c77e23ba2ef19
22000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",1,,2.5,3,5,Tempo Chowk,3,1200,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-at-imadol-kamalpokhari-in-lalitpur/97c6bd08f1504a61bd397825c0a089ff
20000000,"Achham (Other Area), Achham",4,,4.5,5,10,,almost 3 aana,915,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-in-nepal/53fb0a01a71246f9a87015dbe349ba16
25000000,Sukedhara,3,,3,3,6,,3,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-in-nepal/3f59118295fd4199a7800fac5e976fef
28000000,Kathmandu > Dhapasi (Tokha),,,,,,,4.5,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/new-house-in-dhapasi-height-in-kathmandu/d6867029c39f4d18b091f0df42c77a89
29000000,Kathmandu > Bansbari,,,2.5,,,Bansbari dharapati,3.5,,9 to 12 feet,https://hamrobazaar.com/for-sale-house/flat-system-house-on-sale-in-bansbari-dharapati-in-kathmandu/0e5e9a3846f64756b22d5fc85c601979
24000000,"Ganga Devi Marg, थापा गाउँ, बुद्ध नगर",0,,2,2,5,,3,0,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-in-nepal/7e123e7b82154a3abcaf388c67be5ba1
27500000,"सीतापाखा, इमाडोल",2,,3,4,5,,220,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/220-in-nepal/4d7c4369d24f447a8736032b0070b893
27500000,"Hattiban, Lalitpur",1,,2.5,3,1,,0-4-0-0,1000,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-velpa-hattiban-in-lalitpur/1a6b72c06d3044918dccd93d67b181e8
39000000,"Badikhel (Godawari), Lalitpur",1,0,2.5,4,5,Godawari,5,2636,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/under-construction-house-sale-in-godawarilalitpur-in-lalitpur/f54aed69851b49169249fc8590e81ef3
35000000,"Dhapasi (Tokha), Kathmandu",1,,2.5,4,5,,5,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-greenland-in-kathmandu/8ef494fda7e54a7f9618dd9f8d3b86ee
22500000,"नया नैकाप,",1,,3,3,5,"burger House, school, hospital",4,684,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/balambhu-house-on-sale-in-nepal/0a0f3302d6974634b540432c29c2572a
17000000,"सीतापाखा, इमाडोल",1,,2,1,2,,3111,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-tikathali-school-chowk-in-nepal/0813c4b1e9f24a3285e414ed5c373ec7
23500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",3,,2.5,4,4,W-Bhatta,3,1500,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/25-in-lalitpur/940702ce0af84a78be703433f647a4f3
35000000,"Tinthana (Chandragiri), Kathmandu",2,"1 large family, 2 families, 1 family + 1 lease",3,3 + 1 servant quarter,4,"Kirtipur park, suspension bridge",5,1600,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/civil-homes-3storey-4-bed-2-kitchens-3-bath-1-car-in-kathmandu/1f0d9943851e48009043a92a3b6cb2b2
29000000,"budanilkantha, Narayanthan (Budhanilkantha), Kathmandu",2,,2.5,4,6,,4.2,1439,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-narayanthan-gjbhos-3395-in-kathmandu/6637eeb0d46749a2a64a75f9627a9070
35000000,इमाडोल,1,,1,1,1,,5,1,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-at-satdobato-belpha-in-nepal/c89681d98cb54ca79f1c4fb47ec15e3f
23000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2,,2.5,3,5,"Imadol Main Highway, Tikathali",3,1200,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-at-imadol-tikathali-in-lalitpur/dd63161cdf3c422886fb80eb401a7ba7
38000000,"Tundikhel, Darbar Marg, Bhotahity, Baghbazar, Kathmandu",1,Self use and rent,7,6,25,,3,0,Less Than 5 Ft.,https://hamrobazaar.com/for-sale-house/house-at-thamel-for-sale-in-kathmandu/4b8d5c7a8f8e44d6b0032df9b9da0eeb
21000000,"Aakashedhara, Mandikhatar, Budhanilkantha, Kathmandu",3,,3,4,4,,3,1100,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-sell-at-prime-location-in-kathmandu/d9216b2e943548b287d780ff52f31e2a
29000000,"ithalitar budanilkantha, Italitar (Budhanilkantha), Kathmandu",3,Resident /commercial,3,4,7,,5,1711.25,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-at-budhanilkantha-italitar-for-sale-in-kathmandu/3d67ae4e022040e49a0202781e009f6f
53500000,"kapurchowk road, खड्कागाउँ",3,family,3,5,5,golfutar,5,2500,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/hepali-royal-5-bhk-bungalow-in-nepal/390d52510c114e4f81fffaf95b57a254
120000000,सानेपा,1,,3,5,5,,11,3600,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/for-sale-house-sanepa-11-aana-in-nepal/b6e32833e7da49889f8980cc51a05fc7
120000000,"bhaisipati, Bhaisepati / Sainbu, Lalitpur",1,,3.5,7,6,,8.5 aana,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/in-lalitpur/1de2615d8598451395465e5102a7aa6c
37500000,"Tokha Chandeshwari (Tokha), Kathmandu",2,,3,4,5,,4aana,4200,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-tokha-in-kathmandu/45510c74170c47d6b38a4ac7405f1d70
26000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",1,,2.5,3,3,"Gwarkhu Chowk, NAYABASTI SITAL TOL",3,1500,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-at-imadol-nayabasti-in-lalitpur/4f9e7fd6ac404f96a2b9976ab26f23f2
29000000,"Gongabu (Tokha), Kathmandu",0,,0,3,8,,3aana,0,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-gongabu-in-kathmandu/152dc2e4d1be409a815cf8a4830918e3
1E+15,"Taukhel (Godawari), Lalitpur",2,,2.5,4,4,Taukhel,21.5 aana,3000+ sq. ft.,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/classic-bungalow-for-sale-at-taukhel-lalitpur-in-lalitpur/984be2123a2145c086425dd58e13b12b
73500000,"vhimsengola purano baneshwar, Bhimsengola (Old Baneshwor), Kathmandu",N/A,,2.5,N/A,N/A,Near Ananda Events,7 Aana 1 Paisa,N/A,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/residential-house-on-sale-at-bhimshen-gola-ktm-in-kathmandu/f3e7a2b174854b72aee0f8d5cce68a9a
66000000,Kathmandu > Narayanthan (Budhanilkantha),2,,3,5,5,Near rudreshowor chowk,6.75,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/new-bungalow-on-sale-in-rudreshwor-budhanilkantha-in-kathmandu/a622566476c842fba0da6de8edb5f586
25500000,Imadol,2,,3,4,5,,230,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-shital-height-downtown-in-nepal/89f088e251b2479d96de9a7fb582796d
38500000,"Sipadol (Suryabinayak), Bhaktapur",1,,3,4,6,Sipadol,4.5,2800,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/brand-new-house-for-sale-sipadol-bhaktapur-in-bhaktapur/74559e1201fe453ca6947ef2d446b37d
44800000,Khadkagaon,2,,3,5,6,,7,1500,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-budhanilkantha-bhangal-in-nepal/89102cf844b94fd0920591ef609cd974
7500000,Kathmandu > Bishal Nagar,,,2,,,150 mtr frm central appartment Cksselleragentchandolharencks,14,,9 to 12 feet,https://hamrobazaar.com/for-sale-house/17-aana-vishal-nagar-finest-peaceful-property-in-kathmandu/c6f4464269e64c42a757d8b60bce19bd
27000000,"Kalanki, Kathmandu",1,,2.5,4,5,,3.5,2700,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-kalanki-in-kathmandu/6467db8615ae468d8dc36d16d5974a54
26500000,"Thaina-Prayagpokhari Road, Hakha Tol, Lagankhel",,,5.5,,,,1,,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-sale-at-prayagpokhari-lagankhel-urgent-sale-in-nepal/ea44c2bc3caf4e86bdcde2e5cd416eb5
39500000,"Balkot Dadhikot Sirutar Gamcha Patletar Gundu, Ananta Area, Bhaktapur",2,7 months,3.5,6,6,Near Modern Eng School,5.5,2750,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/fully-furnished-house-for-sale-in-bhaktapur/3506fd0116d34ec9afe642a2147c17f0
33000000,"Dhapasi Devi Temple, Tokha, Nepal",1,,3.5,3,5,,3.1.2,,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-dhapasi-in-nepal/fce04b52939341e18ef4c05947a8b6f7
29000000,"Akhanda marg, Ananda Nagar, Sukedhara",1,,2,3,8,,4,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-in-nepal/b79630ed08d043ef908275827238f7f1
21000000,"महालक्ष्मीस्थान रोड, टिखिडोल, कुसुन्ती",1,us,250,3,4,1,3,1,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/beautiful-house-on-sell-lalitpur-imadol-koji-home-in-nepal/229668e6e68c4c25814f5380c0bb693f
