price,Location,Floor,Bathroom,Bedroom,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Road Size,url,Land Mark
"रू. 2,40,00,000","Tikathali, महालक्ष्मी, Mahalaxmi, ललितपुर, Bagmati Pradesh, नेपाल",3,4,4,3,1060,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/3-ana-build-up-brand-new-house-for-sale-tikathali-in-nepal/f6ae2b87621d4e7593f7c812a26df5a4,Pawan Pakriti school Height
"रू. 3,65,00,000","Makalbari Marg (Ka), मकलबारी, गोकर्णेश्वर",1,1,2,8,2738,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/makalbarigokarneshwor-ma-ramro-ghar-bikrima-in-nepal/ce6b4b49f5294ed999491a2d24af1dd2,
"रू. 2,15,00,000","Suryabinayak, Suryabinayak Municipality, Bhaktapur",3,4,7,330,3900,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/house-salee-in-bhaktapur/64bcc2bcb1134acfb31fa0dc7736db5e,Good
"रू. 2,65,00,000",Imadol,3,5,5,310,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-rajkulo-chowk-shital-height-in-nepal/ae88757643104d8f8f73d13c7213e79d,
"रू. 1,60,00,000",इमाडोल,3,1,2,3,100,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/urgently-seal-jagga-ko-vau-maa-ghar-free-3flor-in-nepal/1342fdcefe5b40078bfab6918505a3df,lalitpur
"रू. 1,40,00,000","Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",0,1,1,2,900,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-at-tikathali-lalitpur-in-lalitpur/c43e896492ca40cb9a1503b2072b3ad7,Gwarkhu Chowk
"रू. 1,60,00,000","Chunikhel (Budhanilkantha), Kathmandu",1,1,2,3Anna,",",13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-in-kathmandu/6cc25429234a4d67a6662824b68e67aa,
"रू. 5,75,00,000",Kathmandu > Budhanilkantha,2.5,4,4,8.5,2500,13 to 20 feet,https://hamrobazaar.com/for-sale-house/housevilla-on-sale-in-kathmandu/8bd4022055ce414f99b17233615e2169,Budhanilkantha ( Diplomat Colony)
"रू. 5,50,00,000",Kathmandu > Narayanthan (Budhanilkantha),2.5,4,4,6.1,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-narayanthan-colony-in-kathmandu/ead47445fc374b1ebf4bc6e86029f922,In of bhudanilkantha school
"रू. 1,80,00,000","Semalar, बुटवल, रुपन्देही, Lumbini Province, नेपाल",25,10,8,20,600,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/25-floor-house-in-nepal/4cb103798df1446cb89e7a73bc6c7c99,
