price,Location,Floor,Bathroom,Bedroom,Land Mark,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Road Size,url
17200000,Godamchaur,4,4,6,4,3,2806,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/in-nepal/0190c3d09b20471bb73d204f2b3581ba
27500000,"Jyotinagar Pool, बालुवाखानी चोक, मन्डीकाटार",2,5,5,"kapan, jyotinagar",3,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-kapanjyotinagar-in-nepal/fa6dabe76eda450fb0965a500f38a0f9
19000000,Kathmandu > Chunikhel (Budhanilkantha),2.5,,,,3 an,,,https://hamrobazaar.com/for-sale-house/house-on-sale-in-kathmandu/c9ca7a9049c041bb90503ce2eaba2601
31000000,Imadol,3,4,5,,320,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-w-bhatta-nayabasti-in-nepal/22c15daf9d2d4eaab54bca232adf8bb3
12000000,Makwanpur (Hetauda) > Sanopokhara Chowk,1,1,3,"Sanopokhara, Hetauda. Very Close to the main market area with very big road.",,900,Above 20 feet,https://hamrobazaar.com/for-sale-house/attractive-house-in-hetauda-town-in-makwanpur/2b72fbd3247c412eb58c30ad1c417a82
60000000,Kathmandu > Naxal,2,,,Behind Chinese Embassy Near Naxal Bhatbhateni,5,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-naxal-behind-chinese-embassy-in-kathmandu/6b7fbbce8d6243c286eabef6ab3338e5
26500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",3.5,5,5,New Milenium School,3,1200,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-at-imadol-sital-height-in-lalitpur/220aa1ae4ac4442bbcb23007c969d6c9
15000000,"Shivaraj, Kapilvastu",1,O,0,O,5 ana,5,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-sale-in-kapilvastu/b69c8e1fdcd543e38643c8c689ddf308
25000000,"bhaisipati, Bhaisepati / Sainbu, Lalitpur",3,4,4,,2.5,1800,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/in-lalitpur/bc5e5f76c3cd4c3e8e8a1d28c55b92c9
100000000,"Airport, Kathmandu",2,3,7,,0-9-0-0,2500,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-near-airport-sinamangal-in-kathmandu/b5a48c3c23604a799e833c072953ddf1
47500000,"103, Machaga Marg, Mali Gaun, Bhatbhateni, Kathmandu, Bagmati Pradesh, 00975, Nepal",2.5,3,5,,4.1 Aana,600,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-inside-gated-colony-in-kathmandu/44a454b4de19484a80cf68ee2eb9a328
18900000,"Birta Bazaar, Anarmani, Birtamod, Jhapa, Province #1, 57204, Nepal",2.5,5,8,"Near Little Flower English School, Birtamod",10 Dhur,1700 Sq. foot/floor,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-birtamod-near-little-flower-school-in-jhapa/5a445bde300f4c7e8ded9e014fecec74
45000000,"Golfutar (Budhanilkantha), Kathmandu",2,4,3,,4,1,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/3-bhk-house-for-sale-at-shanta-colonygolfutar-in-kathmandu/a73ac5a41c78441e854af2ba66c9dcc0
