price,Location,Floor,Land Mark,Land Size (Aana/Dhur),Road Size,Bathroom,Bedroom,url
21000000,"Satungal (Chandragiri), Kathmandu",4,Near White Durbar Party Palace,1026.75,13.00,4,4.00,https://hamrobazaar.com/for-sale-house/house-on-sale-at-chandol-in-kathmandu/aa459a62a4a44077a8157a9dfd9cc9a3
27000000,"Pepsicola (Kadaghari), Kathmandu",3.5,,1060.975,13.00,4,4.00,https://hamrobazaar.com/for-sale-house/4-bhk-house-on-sale-in-lalitpur/302463edda744e2093a3e91dd65a4bf5
16500000,"bangal, Bhangal (Budhanilkantha), Kathmandu",2.5,karuna hospital area,1095.2,12.00,3,6.00,https://hamrobazaar.com/for-sale-house/house-for-sale-at-imadol-downtown-in-lalitpur/0fb9045077054dd8a69b47907eeef14d
45000000,"Golfutar (Budhanilkantha), Kathmandu",2.5,Hapali hight,1369,20.00,4,7.00,https://hamrobazaar.com/for-sale-house/house-on-sale-at-dhumbarai-in-bara/3ab69d2e259b41b0a19ac1b5a412f27f
24500000,Thaiba,25,,1369,13.00,3,6.00,https://hamrobazaar.com/for-sale-house/house-on-sale-at-setipakha-in-lalitpur/4d2cce9798614af7a5237f490ca19479
43000000,"Adarsha Tole Marg, ???, ??? ???",3,kusunti,1369,12.00,5,6.00,https://hamrobazaar.com/for-sale-house/house-on-sale-in-nepal/a8004551ac74488fbe9bef67c7f1a55d
28000000,"Nakhipot, Lalitpur",3,silauti resort,1369,20.00,4,4.00,https://hamrobazaar.com/for-sale-house/52ana-house-for-sale-at-budhanilkantha-rudreshwor-in-kathmandu/9067899d38d74b5e85b69a7217e7b685
35000000,"432/73, Madi Marga, Sungava Chok, Dhumbarahi, Kathmandu Metropolitan Ward 4, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Pradesh, 00975, Nepal",3,,1369,13.00,4,5.00,https://hamrobazaar.com/for-sale-house/imadol-tikathali-pani-panki-in-nepal/5e6ca4b1f6c7412fb3d263c326d70219
45000000,"Samudayik Marga, महादेवस्थान, सुविधानगर",3,,1369,13.00,2,2.00,https://hamrobazaar.com/for-sale-house/residential-house-on-sale-at-kalopul-kathmandu-in-nepal/0dc8076ad0c74a09b1d9949bc9e3e9b4
24000000,Kathmandu > Hattigaunda (Budhanilkantha),3,à¤—à¤£à¥‡à¤¶ à¤šà¥Œà¤• à¤¦à¥‡à¤–à¤¿ 500à¤®à¤¿à¤Ÿà¤° à¤¨à¤œà¤¿à¤•,1369,13.00,6,10.00,https://hamrobazaar.com/for-sale-house/beautiful-house-for-sale-on-10-aana-of-land-in-kathmandu/3ad230dbe8744be89ccc59e7cbe067d5
16000000,"Changathali (Mahalaxmi), Lalitpur",1,,1369,13.00,5,4.00,https://hamrobazaar.com/for-sale-house/beautiful-new-house-in-ranibari-west-side-of-indi-in-nepal/ef139a9eb2e742fd99d52b7910313e11
30000000,"Sano Thimi, Bhaktapur",2.5,,1369,13.00,4,4.00,https://hamrobazaar.com/for-sale-house/imadol-shital-height-new-millennium-school-in-nepal/f3283905e6e340b6b554149387981f36
25000000,"Tokha Area, Kathmandu",2,,1369,13.00,4,0.00,https://hamrobazaar.com/for-sale-house/new-bunglow-on-sale-at-swoyambhu-in-kathmandu/da27c8a6f7c44be3928290bd96594b32
28000000,Kathmandu > Bhangal (Budhanilkantha),3,400 MTR from manbahadur Marg or few nearby valley public school Cksjitendracks,1369,13.00,1,2.00,https://hamrobazaar.com/for-sale-house/2bhkd-house-n-sale-at-makalbari-kathmandu-in-kathmandu/f74363aa718059573ed6115fc3acd27f
26500000,"Hattiban, Lalitpur",3,,1369,13.00,,,https://hamrobazaar.com/for-sale-house/mandikhatar-height-banglow-in-bara/f440b89b307d492eb5a06ac8603ed1cd
