price,Location,Living Room,Floor,Bathroom,Bedroom,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Road Size,url,Land Mark
79000000,"Ace Gym, Thecho Chapagaun Road, Wakhat, Sunakothi, Satitar, Sunakothi, Lalitpur Metropolitan City, Lalitpur, Bagmati Pradesh, 44760, Nepal",1,3,5,5,10,6000,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/buanglow-house-on-sale-at-near-cg-villa-in-lalitpur/813f04c5644c4269a3063a2f36832e27,
15500000,थानकोट,1,1,1,3,7,800,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/7-aana-land-with-house-only-at-155-cr-in-nepal/6e1a8125d82049d9a57775d620451732,
9900000,"Bhairahawa (Other Area), Rupandehi (Bhairahawa)",2,2.5,3,7,10,1000,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-near-buddha-chowk-in-rupandehi/38bb706ac6c44e7ca1d647b97f333501,"Shiva mandir, busdilwa"
45000000,"Gwarko-Hattiban Road,",3,4,7,6,5,4000,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sell-at-satdobato-in-nepal/5c1e9f85cdb04932b729b3a1f544c860,
18500000,"Bensigaun, Gokarneshwor, Gokarneshwar, काठमाडौं, Bagmati Pradesh, नेपाल",2,2,2,8,3,3,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-bouddha-jorapati-main-road-in-nepal/31690332109340e8b9d16f32976de819,
36900000,"Mulpani (Kageshwor), Kathmandu",-,4th,8,17,5,-,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/attractive-house-mulpani-cricket-stadium-in-kathmandu/2beaed0df6f54b61b2713ba17e42b6db,
37500000,"Quality Feed And Cold Storage Pvt.Ltd, Lekhnath Sadak, Balaju, Kathmandu",Non,4,7,14,3,95.35,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/3-aana-hotel-for-sale-at-naya-bus-park-in-kathmandu/d500404516e74f828cbac39961e1e60c,
29000000,"Pasikot (Budhanilkantha) , budanilkantha",,2.5,,,4,,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/4-aana-house-for-sale-at-budhanilkantha-paiskot-in-nepal/0b59a7a739c04b8e896adaac42b937e3,parking avaiable
105000000,"Lazimpat, Narayan Gopal Road, Radisson Hotel Kathmandu, Lazimpat, Kathmandu",2,3,3,5,12,3,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/lazimpat-sangrila-paxadi-12-aana-ma-baneko-ghar-in-kathmandu/36684f6008884098bbb2fbf37004ae4d,G
95000000,"Lumbini, Rupandehi",2,6,21,18,35,5500,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/hotel-for-sale-at-lumbani-in-rupandehi/7c6a2a08860347d2bfe9c22278bc4468,
55000000,"Bal Kumari Marg, पानीपोखरी, Lazimpat",1,11,1,1,5,1,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-samakhusi-tokhanagarpalika-in-nepal/d1d087417def4faaa9d0a3b12be5056f,
40000000,"Tokha Chandeshwari (Tokha), Kathmandu",0,0,5,6,5aana,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-suryadarshan-height-in-kathmandu/0b0cd9a7b0504723a4a7110a8e69d0d1,
25500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2,2.5,3,5,3,1200,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-at-imadol-krishna-mandir-in-lalitpur/9ce4fdb78e164c2da43796529b9980f9,imadol krishna mandir
38000000,Kathmandu > Sitapaila (Nagarjun),2,3.5,4,7,7,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-lamathumki-sitapaila-in-kathmandu/5c2bf46ba6bf42aaa16372f73c58e66e,"Lamathumki, Sitapaila (350m outside from ring road"
6000000,"bhaisipati, Bhaisepati / Sainbu, Lalitpur",1,2.5,3,6,10,2000,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/baisepati-mahato-marga-land-price-ma-house-free-in-lalitpur/77c90af7f6704472b3629fd36e1e4812,
40000000,"mandhikatar, Mandikatar (Dhumbarahi), Kathmandu",1,2.5,4,5,0-4-3-2,2400,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/5-bhk-house-on-sale-at-mandikatar-height-in-bara/debc5df39f5049cf9c511ebc6a252789,mandikhatar height
8000000,"kopondole kopundole kupondole, Kupandol, Lalitpur",1,2.5,4,5,12ana,1800,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-kupandol-lalitpur-in-lalitpur/22a2501490ec4baf9f671adf3238341b,
19300000,"Baniyatar (Tokha), Kathmandu",2,2.3,3,6,3.5,0,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-tokha-saibaba-chowk-in-kathmandu/2e8257815fc54826a2a9bee9979273e6,
40000000,"Imadol (Mahalaxmi), Lalitpur",1,3.5,1,1,0-4-0-0,1,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-imadol-in-lalitpur/85c358c93cc741f78fdaff6857f7e98a,
36000000,"सीतापाखा, इमाडोल",3,3,6,6,4,2800,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-in-shital-height-in-nepal/dc4d6d454bdb4301a05287628d3dbd1a,
29000000,Khadkagaon,1,3,3,4,4,2536,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-hatigauda-semi-bungla-in-nepal/ebbd85dbb241466ab3f90b28d118033a,
19000000,"bangal, Bhangal (Budhanilkantha), Kathmandu",3,3,3,3,2.5,1500,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-in-kathmandu/01a2d6175ce941ee936f1785caec8573,2.5
25000000,"Indrachowk (New Road), Kathmandu",7,7.5,7,7,1,2900,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/indrachowk-ko-75-talle-naya-ghar-bikrima-in-kathmandu/0ee9138c5d844aafbc8633e0ae008702,
32500000,"Metro Hospital, Maharajganj Road, Narayan Gopal Chowk, Basundhara, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Pradesh, 44606, Nepal",1,1,1,2,4 Anna,950,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-land-on-sale-at-maharajgunj-in-kathmandu/7808673bf06f4246a5a350d5bf4d3401,
47500000,ठुलो भर्यांङ,2,3,6,7,421,0,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/brand-new-semi-bunglow-on-sale-ktm-in-nepal/e89cd5a8ccba4a18b3fb81cf64f712e3,Thulo bhareng Kathmandu
40000000,"Machhapuchhre school, Lalitpur, Nepal",2,3.5,4,9,3.75,,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/semi-bungalow-house-for-sale-at-thasikhel-nakhi-in-lalitpur/50c55dfa5643413b8549fd02506b5dca,Near Machhapuchhere School
38500000,Imadol,2,2,5,6,5,1600,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-imadolochu-height-in-nepal/260c121aff8141b48714e58a592842d6,Gwarko-Lubu highway to 300 mts
45000000,"Gusingal Raj Tirtha Sanchal, Sanepa Area, Lalitpur",1,2.5,4,5,6,0,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/sanepa-house-on-sale-in-lalitpur/b26823a483ff431482525aaba3baf750,SANEPA
31000000,"bhaisipati, Bhaisepati / Sainbu, Lalitpur",2,3,4,7,0-3-2-0,2250,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/bhaisepati-new-house-on-sale-in-lalitpur/cded6e8c18eb420788e6537623a30123,
550,"Harit colony street, Bhangini Nani, Kwako, Patan, Lalitpur Metropolitan City, Lalitpur, Bagmati Pradesh, 44705, Nepal",,,,,,,,https://hamrobazaar.com/for-sale-house/house-for-sale-in-lalitpur/291d8d52cc71493c89af124f43cbd3a1,
70000000,"swoyambhu, Dallu (Swayambhu), Kathmandu",4,4.5,6,14,6,2200,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-dallu-awas-in-kathmandu/6bba4be749704fbd844c8f78e82e2169,
27500000,"Imadol Tikathali Siddhipur Sanagau Mahalaxmisthan Lubhu Lamatar Changathali, Mahalaxmi Area, Lalitpur",1,2.5,4,5,3.5,2600,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-imadol-lalitpur-in-lalitpur/40cb60e3bad54d8aa5aeae0b7e6a727f,"imadol, nayabasti"
35000000,"Balkot, Anantalingeshwar, सूर्यविनायक नगरपालिका, भक्तपुर, Bagmati Pradesh, नेपाल",3,3,5,7,5,2700,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sell-at-balkot-bhaktapur-in-nepal/4e74bee139f94b6ea88d533bfa8216ee,Balkot
26000000,"Bodhigram (Satdobato), Lalitpur",1,3,3,4,3 aana,700,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/in-lalitpur/77461c937d1e4ab4996591cf7250417a,Satdobato Swimming Pool
27000000,"new baneshwar naya baneswor sankhamul, Shankhamul (New Baneshwor), Kathmandu",,,,,,,,https://hamrobazaar.com/for-sale-house/house-on-sale-at-shankhamul-in-kathmandu/075a59924f0f44ec92ea6360f5f051cd,
35000000,"bhaisipati, Bhaisepati / Sainbu, Lalitpur",2,2,2,3,6 ana,1500,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-on-6-ana-bhaisepati-in-lalitpur/5a94ff2f177c4b6fbeee62f82817bf30,
78000000,Lalitpur > Bhaisepati / Sainbu,1,2.5,4,5,6 aa,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-bhaisepatii-medicity-najik-in-lalitpur/233bfcc5c7c340d2a0d12b06fa1beadf,
8000000,"kopondole kopundole kupondole, Kupandol, Lalitpur",1,2.5,4,4,1ropani,2200,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-kupandol-lalitpur-in-lalitpur/0d43d61635b148b2b5edff61a7d338ae,
70000000,"Satdobato, Lalitpur",4,4.5,9(4 Attached),12,9.1 Aana,N/A,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/residential-house-on-sale-at-satdobato-kathmandu-in-lalitpur/c03b1ea93edf4c6ba2d5de6ceee0b2c7,
55000000,"new baneshwor naya baneshwar, Shantinagar (New Baneshwor), Kathmandu",2,.,4,5,4.5anna,.,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-shantinagarbaneshwor-in-kathmandu/a362f700fdca47b39badcd93b4572f77,
150000000,"bhaisipati, Bhaisepati / Sainbu, Lalitpur",1,2.5,4,5,20,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-bhaisepati-in-lalitpur/4e250ccf4b2c47deb92fb6b227f95ffd,
80000000,"Machhapuchhre Marg, बराल चोक,",1,1,1,1,1,1,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-pokhara-lakeside-hallam-chowk-18-in-nepal/85198eeb2ad0441bbc2cfce5447b7e65,
32500000,"Imadol (Mahalaxmi), Lalitpur",0,2.5,0,0,3.2.0 aana,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-in-imadol-in-lalitpur/953b95e1d89e45d793eb38ac6fb23c27,
