price,Location,url,Floor,Bathroom,Bedroom,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Road Size,Land Mark
25000000,"Imadol (Mahalaxmi), Lalitpur",https://hamrobazaar.com/for-sale-house/house-on-sale-imadol-area-in-lalitpur/6c7c63b5cdc244fcb0539db64b2952be,2.5,2,6,3,1026.75ft,ThirteenToTwentyFeet,
51000000,"budanilkantha, Budhanilkantha, Kathmandu",https://hamrobazaar.com/for-sale-house/bungalow-for-sale-at-budanilkantha-kathmandu-in-kathmandu/d3aa46b165554921907b1041f135f486,2,5,5,5,3400,ThirteenToTwentyFeet,
110000000,"NAST research centre, Satdobato, Lalitpur",https://hamrobazaar.com/for-sale-house/house-for-sell-in-satdobato-in-lalitpur/161162f6dafe4b078d08e7da7b57d6ff,,,,,,,
22500000,Kathmandu > Ranibari (Samakhusi),https://hamrobazaar.com/for-sale-house/house-land-on-sale-in-kathmandu/2c8b5c4395f0421990e2645067c0a664,2.5,,,,,5 to 8 feet,"Rom Marg, Samjhauta galli"
16000000,"सीतापाखा, इमाडोल",https://hamrobazaar.com/for-sale-house/in-nepal/a5a112549ba84d4fb5b6a7d088d21258,2,2,4,3,0,13 - 20 Ft.,
39000000,"suchatar, Syuchatar (Kalanki), Kathmandu",https://hamrobazaar.com/for-sale-house/house-on-sale-syuchatar-in-kathmandu/2f36ae83851840288f7c472d2a437d3f,3.5,4,1,0-4-1-0,1200,ThirteenToTwentyFeet,
19000000,"Lokanthali, Bhaktapur",https://hamrobazaar.com/for-sale-house/lokanthali-house-for-sale-aknali-in-bhaktapur/bc385b567bdd4140b5daa35163f172c3,3,3,8,3.5,0,13 - 20 Ft.,Suwasthe chouki lokanthali
29000000,"Satdobato, Lalitpur",https://hamrobazaar.com/for-sale-house/house-on-sale-satdobato-in-lalitpur/9d48a730428f40fc9261efd0fd505fd8,2.5,1,1,0-4-0-0,1,ThirteenToTwentyFeet,
92500000,Kathmandu > Subidhanagar (Tinkune),https://hamrobazaar.com/for-sale-house/9-aana-inbetween-baneshwortinkune-at-subhidhanaga-in-kathmandu/2d6da6d6d719409cbf6cb360a1b3dc0e,3,3,6,9,,9 to 12 feet,200 mtr frm main highway
36000000,"kopan, Kapan, Kathmandu",https://hamrobazaar.com/for-sale-house/residential-house-on-sale-at-kapan-kathmandu-in-kathmandu/5c1cc664122b4fefac6404a37ef8753b,3,5,6,5 Aana,N/A,ThirteenToTwentyFeet,150m from Akashdhara Chowk
135000000,Kathmandu > Narayanthan (Budhanilkantha),https://hamrobazaar.com/for-sale-house/budhanilkantha-26-ana-land-with-bungalow-on-sale-in-kathmandu/dc7e7c2bc0694d55b521cc3e46096b4b,2.5,4,6,26,,13 to 20 feet,Bhudanilkantha near temple
23500000,"Imadol (Mahalaxmi), Lalitpur",https://hamrobazaar.com/for-sale-house/house-for-sale-in-imadol-setipakha-in-lalitpur/b5bc396ebff544068bc971c955cb20a0,2.5,4,4,3.3,500,13 - 20 Ft.,
55000000,"vasundhara, Basundhara, Kathmandu",https://hamrobazaar.com/for-sale-house/beautiful-house-on-sale-at-basundhara-in-kathmandu/fc3ceb1b2d324eec9e84da3eb52a9066,2.5,4,5,7aana,.,ThirteenToTwentyFeet,
