price,Location,Floor,Bathroom,Bedroom,Land Mark,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Road Size,url
"रू. 2,75,00,000","F105, Kalanki, Maitri Nagar, Kathmandu, Bagmati Pradesh, 44618, Nepal",3.5,4,5,N-E,4.2,2500,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-kalanki-1-km-in-kathmandu/219a7032e2fa4213b6e82a9f511e7a02
"रू. 5,80,00,000","Dhapasi (Tokha), Kathmandu",2,3,4,dhapasi height,10,2800,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/4-bhk-bunglow-house-is-in-kathmandu/3569aa2fe44b4984816111438af721bf
"रू. 6,50,00,000","Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,3,5,Deuba Chowk,7,2000,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/bunglow-in-lalitpur/a3172aacc9d94db79c78b0625538f667
"रू. 1,35,00,000","Thali (Kageshwor), Kathmandu",1,1,2,,3.3,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/1storey-house-on-sale-at-thali-kathmandu-in-kathmandu/708706fe8f9741798965cc07cbbee365
"रू. 1,70,00,000","शान्ति नगर, तिन्चुली",3,4,8,,3,3,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/for-sell-house-in-nepal/9c7c29e7f75746d18ba51a205e0e78ac
"रू. 3,00,00,000","chabil cabahil, Chabahil, Kathmandu",4.5,3,10,,3.1,2300,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-chabahil-in-kathmandu/2fa36f5dc9d94f7c9ff80365d96ef7a4
"रू. 25,00,00,000","बालुवापाटी चोक,",3,3,6,,3,2422,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-greenline-301-paisa-250lakhs-in-nepal/a9804341ab674c0b82c6af15f150111b
"रू. 5,50,00,000","chepali, Chapali (Budhanilkantha), Kathmandu",3,6,7,flat system house,7.2,238.425,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/72-ana-house-for-sale-at-budhanilkantha-chapali-in-kathmandu/b776f81fe7054d96be88e3e5f7e8f47c
"रू. 7,50,00,000","vanasthali, Banasthali, Kathmandu",1,1,1,,0-7-2-0,2500,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-banasthali-in-kathmandu/fe69ab990491430692733f91e0643602
"रू. 2,25,00,000","Janakpur (Other Area), Dhanusha (Janakpur)",3,3,5,Kadam Chowk,9,300,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/95-dhur-land-3-story-house-on-sale-in-janakpur-in-dhanusha/be47c47c569b421eb874920c7df50b10
"रू. 7,50,00,000","Nakhipot Marg, नखिपोट, नखुडोल",3,8,25,,8,12000,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/8-anna-ma-baneko-ghar-bikri-ma-at-chapgau-dobato-in-nepal/07c288521dde4aadbeda644a535d858e
"रू. 3,15,00,000","Imadol (Mahalaxmi), Lalitpur",2.5,3,5,,3.3,104.93,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/brand-new-house-for-sale-at-imadol-in-lalitpur/fd5c770bacd14e209204db63f2a72d3b
"रू. 2,80,00,000","Nayagaun, Kaski (Pokhara)",3,5,2,,4,-2,5 - 8 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-in-kaski/d1ecbe1148e142ddb806cbc6345a2837
"रू. 2,55,00,000","Suryabinayak, Bhaktapur",3,3,7,"Hotel Heritage, Ram devi Complex, Tourism Market",3,na,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/ghar-bikrima-house-for-sale-suryabinayak-area-in-bhaktapur/8a80d34ec5cf47d6ba7242315c8ddc16
"रू. 6,50,00,000","Mid Baneshwor, Kathmandu",12,4,6,Near Ratna Rajay School Mid Baneshwor,8,1800,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/full-furnished-25-storey-house-75-aana-land-sale-in-kathmandu/e00f10be08bd4c74a8b4babe24e607cb
"रू. 2,70,00,000","budanilkantha, Pasikot (Budhanilkantha), Kathmandu",2,4,6,,5aana,.,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-pasikot-in-kathmandu/8c67d994fccd4ed78abd0166fe5a2a3b
"रू. 3,85,00,000","Archies gallary, Bhaktithapa Road, Bogati Tol, Naya Baneshwar, Kathmandu, Bagmati Pradesh, 44617, Nepal",,,,,,,,https://hamrobazaar.com/for-sale-house/0430-jagga-ko-matra-vau-ma-ghar-free-ma-in-kathmandu/21609ce1650e49fda0058e810c83eff5
"रू. 5,30,00,000","Budhanilkantha, Kathmandu",2,4,4,,9,286,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/9ana-house-for-sale-at-budhanilkantha-buddha-col-in-kathmandu/264492ca439f4795a469bb15b214ce49
"रू. 98,00,000",Dhading > Nilkantha,2.5,3,8,Dhadingbesi dhading,3.5,2700,13 to 20 feet,https://hamrobazaar.com/for-sale-house/dhading-ko-ghar-bikrima-house-for-sale-in-dhading-in-dhading/f78fcb42925943a3b6e4d6830898d8f7
"रू. 2,65,00,000","Baluwakhani (Kapan), Kathmandu",12,4,4,Near HAMS Hospital,4,2500,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/25-storey-house-4-aana-land-on-sale-kapan-area-in-kathmandu/b7c2ec8572da4c2db87df4c5b7e345a6
"रू. 5,50,00,000","Padma Kanya Campus, VIP Marg, Kamalpokhari, Baghbazar, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Pradesh, 46600, Nepal",3.5,6,6,Nearby Balkumari bridge,9 aana,4200 sqr.ft,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/bungalow-house-is-for-sale-at-balkumari-imadole-in-kathmandu/fe7d92c716fa46dc85673c41b3302c06
"रू. 7,00,00,000","Chagala Marg, Paropakar,",4,4,5,,7,2000,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-salelocation-chagal-dallu-in-nepal/5fab3b2268df425f8d0c692095834c0d
"रू. 1,25,00,000","Birgunj, Birgunj Sub Metro, Birgunj, Parsa, Madhesh Province, 44300, Nepal",3,3,8,Near Vidyapeeth Maavi,6,700,FiveToEightFeet,https://hamrobazaar.com/for-sale-house/3-story-house-for-sale-maisthan-birgunj-in-parsa/56eb526bf0b3484c97cea84e1b70c129
"रू. 16,00,00,000","hadigaun hadigaon, Handigaun, Kathmandu",2,5,4,,1ropani,0,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-hadigaun-in-kathmandu/58d73424386f467faa89016de5f1145d
"रू. 10,60,00,000",Kathmandu > Gairidhara,2.5,4,6,lazimpat gairidhara,15.2,,9 to 12 feet,https://hamrobazaar.com/for-sale-house/house-for-sale-lazimpat-gairidhara-codefhs078h-in-kathmandu/29363619b881403ca19a688bec947e4a
