title,district,Municipality,vdc,landsize,Road,price,bedroom,bathroom,builtyear,parking,direction,url
House On Sale at Imadol | 9861760895,Lalitpur,Mahalaxmi,Imadol,500 Sqft,13 Ft,"1,60,00,000",2,2,2075,Motorbike,South west,https://www.gharghaderi.com/house/2578-House-On-Sale-at-Imadol/
House On Sale - Imadol | 9861760895,Lalitpur,Lalitpur,"Imadol, Lalitpur",3 Aana 3 Daam,13 Feet,"1,65,00,000",2,1,2076,Motorbike,East,https://www.gharghaderi.com/house/2577-House-On-Sale---Imadol/
"Modern 4BHK Home For Sale At Panipokhari Heights, Lazimpat | 9802601313",Kathmandu,Kathmandu,Panipokhari Heights,0-4-0-3.79,20,"6,75,00,000",4,1,2076,Car 2,North,https://www.gharghaderi.com/house/2570-Modern-4BHK-Home-For-Sale-At-Panipokhari-Heights-Lazimpat/
"7BHK Grand Bungalow For RENT At Dholahiti, Lalitpur | 9802601313",Lalitpur,Lalitpur,lalitpur,3-8-0-0,20 Ft,"2,00,000",7,5,2076,Car 5-10,East,https://www.gharghaderi.com/house/2569-7BHK-Grand-Bungalow-For-RENT-At-Dholahiti-Lalitpur/
Samakhusi najikai aakarshak ghar bikri ma | 9846199484,Kathmandu,Tokha,Samakhusi Chowk,1711.25,10 Ft,"4,50,00,000",7,4,2076,Car 2,East,https://www.gharghaderi.com/house/2565-Samakhusi-najikai-aakarshak-ghar-bikri-ma/
"House in Sale at Taukhel, Godawari (4.5 Aana) | 9851153186",Kathmandu,Godawari,"Taukhel, Godawari",1540.125,6 Ft,"3,00,00,000",5,5,2073,Car 1,East,https://www.gharghaderi.com/house/2561-House-in-Sale-at-Taukhel-Godawari-(4.5-Aana)/
"House for sale in Mulpani, 50 mtrs from sankhu highway | 9860008174",Kathmandu,Kathmandu,mulpani,1000 Sqft,10 Ft,"1,60,00,000",4,3,2070,Motorbike,East,https://www.gharghaderi.com/house/2554-House-for-sale-in-Mulpani-50-mtrs-from-sankhu-highway/
3 Aana House in Gothatar | 9840390862,Kathmandu,kageshawori maniohara,Gothatar,3 Aana,13 Ft,"1,75,00,000",4,3,2076,Car 1,East,https://www.gharghaderi.com/house/2552-3-Aana-House-in-Gothatar/
House for sale | 9845260512,Birgunj,Birgunj Metropolitan City,Near trimurti cinema Birgunj,1200 Sqft,10 Ft,"1,70,00,000",6,2,2076,Motorbike,East,https://www.gharghaderi.com/house/2547-House-for-sale/
New house sell | 9851310190,Kathmandu,kapan,Kapan,3 Ana,20 Ft,185,3,3,2075,Car 1,West,https://www.gharghaderi.com/house/2542-New-house-sell/
"21 Aana Land Bungalow On Sale At Siddhartha Colony, Budhanilkantha | 9842341392",Kathmandu,Budhanilkantha,Budhanilkantha,21,20 Ft,"13,50,00,000",6,5+,2076,Car 3+,East,https://www.gharghaderi.com/house/2539-21-Aana-Land-Bungalow-On-Sale-At-Siddhartha-Colony-Budhanilkantha/
New House for Sale in Imadol | 9864260884 sold,Lalitpur,Mahalaxmi,Imadol,3 Ana 1 Dam,13 Ft,"2,45,00,000",4,5+,2076,Car 1,East,https://www.gharghaderi.com/house/2538-New-House-for-Sale-in-Imadol/
House and Land | 9829465162,Chitwan,Rapti,Khurkhure,15.97 Ana,10m,"1,80,00,000",2,2,2076,Motorbike,West,https://www.gharghaderi.com/house/2536-House-and-Land/
House for Sale in Belchowk Narayangargh | 9861944153,Chitwan,Bharatpur,Narayangarh,15 Haat,22 M,"4,50,00,000",8,3,2067,Car 2,East,https://www.gharghaderi.com/house/2527-House-for-Sale-in-Belchowk-Narayangargh/
Whole house on rent in Basantapur Kathmandu | 9843477395,Kathmandu,Kathmandu,Basantapur,2 Paisa 5dam,12 Ft,"75,000",4,2,2076,Motorbike,South east,https://www.gharghaderi.com/house/2525-Whole-house-on-rent-in-Basantapur-Kathmandu/
New House in Budhanikantha | 9814817278,Kathmandu,Budhanilkantha,Deuwa Chowk,8 Aana,12 Ft,"5,50,00,000",8,4,2076,Car 3+,East,https://www.gharghaderi.com/house/2522-New-House-in-Budhanikantha/
House in sale at chokhel Sunakothi | 9813756888,Lalitpur,Sunakothi,Chokhel,5anna,12 Ft,"3,35,00,000",8,4,2075,Car 1,East,https://www.gharghaderi.com/house/2521-House-in-sale-at-chokhel-Sunakothi/
"10BHK House For Sale At Sudal, Changunarayan | 9802640530",Bhaktapur,BMC,"Sudal, Changunarayan",0-3-3-0,10 Ft,"2,10,00,000",8,3,2076,Car 1,East,https://www.gharghaderi.com/house/2518-10BHK-House-For-Sale-At-Sudal-Changunarayan/
For sale | 9813756888,Lalitpur,Sunakothi,Chokhel Sunakothi,5anna,12 F,"3,35,00,000",8,4,2075,Car 1,East,https://www.gharghaderi.com/house/2517-For-sale/
"House on Sale!!!!!! in Sukedhara ,Only 300 meters from Ring Road | 9861495938",Kathmandu,Kathmandu,Sukedhara,4 Anna,12 Ft,"4,95,00,000",1,3,2067,Car 1,North,https://www.gharghaderi.com/house/2489-House-on-Sale!!!!!!-in-Sukedhara-Only-300-meters-from-Ring-Road/
"5BHK Bunglow For Sale At Bishalnagar, Kathmandu | 9802640534",Kathmandu,Kathmandu,Bishalnagar,0-8-0-0,16 Ft,"10,00,00,000",5,3,2076,Motorbike,South,https://www.gharghaderi.com/house/2484-5BHK-Bunglow-For-Sale-At-Bishalnagar-Kathmandu/
"10BHK Bungalow For Sale At Khusibu Townplanning, Kathmandu | 9802640534",Kathmandu,Kathmandu,Khusibu Townplanning,0-7-1-0,16 Ft,"10,50,00,000",8,5+,2076,Car 3+,South,https://www.gharghaderi.com/house/2483-10BHK-Bungalow-For-Sale-At-Khusibu-Townplanning-Kathmandu/
"3BHK Fully-Furnished Home For Sale At Khumaltar, Lalitpur | 9802601212",Lalitpur,Lalitpur,Khumaltar,0-3-2-1,13 Ft,"3,65,00,000",3,4,2073,Car 1,East,https://www.gharghaderi.com/house/2482-3BHK-Fully-Furnished-Home-For-Sale-At-Khumaltar-Lalitpur/
"4BHK Bungalow For Sale At Sukedhara, Kathmandu | 9802601115",Kathmandu,Kathmandu,Sukhedhara,7 Aana,12 Ft,"7,00,00,000",4,3,2067,Car 3+,East,https://www.gharghaderi.com/house/2481-4BHK-Bungalow-For-Sale-At-Sukedhara-Kathmandu/
Bungalow on sale at Sanepa Lalitpur | 9851155216,Kathmandu,Lalitpur,Sanepa,0-9-0-0,13 Ft,"7,70,00,000",6,4,2072,Car 3+,East,https://www.gharghaderi.com/house/2461-Bungalow-on-sale-at-Sanepa-Lalitpur/
Beautiful house on sale at koteshwor | 9808045100,Kathmandu,Kathmandu,Seti opi marga,4.5 Anna,20 Ft,"4,50,00,000",8,5+,2068,Car 1,East,https://www.gharghaderi.com/house/2458-Beautiful-house-on-sale-at-koteshwor/
2.5 storey house on sale at Imadol | 9843304809,Lalitpur,Lalitpur,Imadol,0-3-0-0,13 Ft,"2,35,00,000",4,4,2076,Car 1,East,https://www.gharghaderi.com/house/2457-2.5-storey-house-on-sale-at-Imadol/
Commercial House for Rent in Biratnagar | 9804342471,Biratnagar,Biratnagar,Bargachhi,4200,20 Ft,"1,50,000",1,1,2076,Car 3+,South,https://www.gharghaderi.com/house/2452-Commercial-House-for-Rent-in-Biratnagar/
Commercial Building For Rent In Bhaisepati Lalitpur | 9848579583,Lalitpur,Suryabinayak,Bhaisepati,8,8 Ft,65,1,1,2067,Car 3+,East,https://www.gharghaderi.com/house/2443-Commercial-Building-For-Rent-In-Bhaisepati-Lalitpur/
Hattiban Setipakha height ko Ghar Bikima | 9851133118,Lalitpur,Mahalaxmi,Setipakha,4 Aana,,"3,10,00,000",1,1,2076,Motorbike,East,https://www.gharghaderi.com/house/2438-Hattiban-Setipakha-height-ko-Ghar-Bikima/
Attractive New House in Imadol - 4 | 9864260884 sold,Lalitpur,Mahalaxmi,Imadol,3 Ana,13 Ft,"2,35,00,000",5,4,2076,Car 1,East,https://www.gharghaderi.com/house/2430-Attractive-New-House-in-Imadol---4/
Attractive New House on Sale in Imadol | 9864260884 sold,Lalitpur,Mahalaxmi,Imadol Nayabasti,3 Ana 2 Paisa,13 Ft,"2,70,00,000",6,4,2076,Car 1,North east,https://www.gharghaderi.com/house/2429-Attractive-New-House-on-Sale-in-Imadol/
New Incompleted House at Panchakanya Marga Kapan is on Sell & can be Exchanged with Land. | 9869412759,Kathmandu,Budhanilkantha 10,Panchakanya Marga Kapan near Nabil Bank,4 Aana 3 Paisa,10 Ft,"2,60,00,000",2,2,2076,Car 1,North,https://www.gharghaderi.com/house/2424-New-Incompleted-House-at-Panchakanya-Marga-Kapan-is-on-Sell-&-can-be-Exchanged-with-Land./
"Beautiful House Inside Kohinoor Housing, Bafal On Sale/Rent | +977984012",Kathmandu,Kathmandu,"Kohinoor Housing, Bafal",4 Ana,14 Ft,"70,000",4,3,2070,Car 1,South,https://www.gharghaderi.com/house/2419-Beautiful-House-Inside-Kohinoor-Housing-Bafal-On-Sale/Rent/
"Beautiful House Inside Kohinoor Housing, Bafal On Sale/Rent | 9779840123",Kathmandu,Kathmandu,"Kohinoor housing, Bafal",4 Aana,14 Ft,"4,20,00,000",4,3,2070,Car 1,South,https://www.gharghaderi.com/house/2418-Beautiful-House-Inside-Kohinoor-Housing-Bafal-On-Sale/Rent/
House and land sale in Koteswore | +977974537,Kathmandu,Kathmandu,Koteswore Mahadevsthan,17 Aana,20 Ft,"16,00,00,000",6,4,2067,Car 3+,East,https://www.gharghaderi.com/house/2411-House-and-land-sale-in-Koteswore/
Shop FOR sell | 9814029176,JHAPA,Birtamode,Budhabare hatya,700 Sqft,,"12,50,000",1,1,2076,Motorbike,East,https://www.gharghaderi.com/house/2409-Shop-FOR-sell/
Imadol I Home on sale | 9851037597,Lalitpur,Mahalaxmi,Dhunge shangu Imadol,3 Anna,,"2,30,00,000",6,3,2075,Car 1,North,https://www.gharghaderi.com/house/2408-Imadol-I-Home-on-sale/
Kathmandu man road .way of white gumbha | 9803915560,Kathmandu,Kathmandu,5 ana,5 Aana,13 Ft,"3,20,00,000",1,3,2072,Car 1,East,https://www.gharghaderi.com/house/2405-Kathmandu-man-road-.way-of-white-gumbha/
House for sale in Budhanilkantha | 974830145,Kathmandu,Budhanilkantha,Park Village Resort,3600,12 Ft,"7,60,00,000",2,1,2067,Motorbike,West,https://www.gharghaderi.com/house/2401-House-for-sale-in-Budhanilkantha/
House for sale in ring road | 9851002500,Kathmandu,Nagarjun,Ring road,2200,,"3,75,00,000",4,2,2076,Car 1,South,https://www.gharghaderi.com/house/2400-House-for-sale-in-ring-road/
House for sale in sanepa area | 9823254017,Lalitpur,Lalitpur,sanepa sanchal,9 Aana,20 Ft,"7,50,00,000",5,2,2076,Car 2,South,https://www.gharghaderi.com/house/2395-House-for-sale-in-sanepa-area/
"Urgent Sale, House At Sanischare, Birtamode, Jhapa | +960765537",Kaski,Saniarjun,Sanischare,151.25,24 Ft,"80,00,000",4,1,2067,Car 1,East,https://www.gharghaderi.com/house/2394-Urgent-Sale-House-At-Sanischare-Birtamode-Jhapa/
"House for Rent at Prime Location Baluwatar, Kathmandu | 9851047232",Kathmandu,Baluwatar,Baluwatar,14 Aana,22 Feet,"2,75,000",8,4,2076,Car 3+,East,https://www.gharghaderi.com/house/2393-House-for-Rent-at-Prime-Location-Baluwatar-Kathmandu/
"House For Sale At Dadhikot Height, Bhaktapur | 9851093218",Bhaktapur,Suryabinayak,Dadhikot Height,10 Anna,16 Ft,"6,30,00,000",5,5+,2068,Car 3,South,https://www.gharghaderi.com/house/2390-House-For-Sale-At-Dadhikot-Height-Bhaktapur/
"House sales at Tikathali, Lalitpur | 9860124503",Lalitpur,Mahalaxmi,Tikathali,3.5 Anna,13 Ft,"2,50,00,000",3,3,2068,Car 1,South west,https://www.gharghaderi.com/house/2387-House-sales-at-Tikathali-Lalitpur/
"New house for sale in kapan 11, budhanilkantha | 9851068059",Kathmandu,Budhanilkantha,Kapan,3.5 Aana,10 Ft,"2,35,00,000",5,3,2076,Car 1,South east,https://www.gharghaderi.com/house/2382-New-house-for-sale-in-kapan-11-budhanilkantha/
New house for sale in kapan 11 - budanilkantha | 9840348352,Kathmandu,Budhanilkantha,Kapan,4 Aana,10 Ft,"2,65,00,000",5,3,2076,Car 1,East,https://www.gharghaderi.com/house/2381-New-house-for-sale-in-kapan-11---budanilkantha/
New house for sale in kathmandu Nayabazar | 9803338050,Kathmandu,Kathmandu,Nayabazar geetanjali chowk,884.04 Sqare Feet,20 Ft,"3,50,00,000",3,4,2074,Motorbike,East,https://www.gharghaderi.com/house/2379-New-house-for-sale-in-kathmandu-Nayabazar/
House for sell in Kausaltar | 9851050192,Bhaktapur,Madhyapur Thimi,Kausaltar,3762 Sqft,20 Ft,"8,00,00,000",8,5+,2073,Car 3+,North west,https://www.gharghaderi.com/house/2376-House-for-sell-in-Kausaltar/
House for sale near Imadol Tempo Park |,Lalitpur,Lalitpur,Imadol,0-3-0-1,13 Ft,"1,60,00,000",2,2,2076,Car 1,East,https://www.gharghaderi.com/house/2370-House-for-sale-near-Imadol-Tempo-Park/
2 bed room 1 hall and smal kitchen Galkopakha near Thamel | 9861493857,Kathmandu,Kathmandu,Lainchaur,5.5aana,13 Ft,"18,000",2,1,2067,Motorbike,South,https://www.gharghaderi.com/house/2362-2-bed-room-1-hall-and-smal-kitchen-Galkopakha-near-Thamel/
New House for Sale in Tikathali Lalitpur | 9864260884 sold,Lalitpur,Mahalaxmi,Tikathali,3 Ana,13 Ft,"2,30,00,000",4,4,2076,Car 1,East,https://www.gharghaderi.com/house/2360-New-House-for-Sale-in-Tikathali-Lalitpur/
"Beautiful 3 flat house for sale in Ratnanagar, Chitwan | 9809238564",Chitwan,Ratnanagar,Chitwan,5460,11,"2,90,00,000",8,4,2067,Car 1,East,https://www.gharghaderi.com/house/2355-Beautiful-3-flat-house-for-sale-in-Ratnanagar-Chitwan/
House for Sale on 10 aana of Land | 9849237550,Kathmandu,Kathmandu,Chabahil,10 Aana,10 Ft,"8,50,00,000",8,6,2068,Car 3+,North west,https://www.gharghaderi.com/house/2349-House-for-Sale-on-10-aana-of-Land/
New house sale in sitapaila. | 9849001447,Kathmandu,Nagarjun,Sitapaila,1500 Sqft,10 Ft,"3,55,00,000",6,4,2076,Car 2,East,https://www.gharghaderi.com/house/2348-New-house-sale-in-sitapaila./
House for sale | 9810106020,Kathmandu,Tarkeshar,Futung,3.5,16 Ft,"15,00,00,000",2,1,2071,Car 2,South east,https://www.gharghaderi.com/house/2336-House-for-sale/
Brand New House on Sale in Sanagau Siddipur | 9864260884 sold,Lalitpur,Mahalaxmi,Siddipur,3 Ana,20 Ft,"2,20,00,000",4,3,2076,Car 1,North,https://www.gharghaderi.com/house/2335-Brand-New-House-on-Sale-in-Sanagau-Siddipur/
"Flats on Rent at Mangal Bazaar, opposite to Samjhana Laboratory Clinic | 9840123243",Lalitpur,Lalitpur,Mangal Bazaar,1 Anna,20 Ft,"12,000",3,3,2071,Motorbike,East,https://www.gharghaderi.com/house/2332-Flats-on-Rent-at-Mangal-Bazaar-opposite-to-Samjhana-Laboratory-Clinic/
2.5 storey bungalow style house with attached bathrooms | 9818189922,Kathmandu,Tokha,Near Grande Hospital,O-3-1-0,13 Ft,"2,60,00,000",3,4,2075,Car 1,West,https://www.gharghaderi.com/house/2329-2.5-storey-bungalow-style-house-with-attached-bathrooms/
New House on Sale @ Imadol Lalitpur | 9864260884 sold,Lalitpur,Mahalaxmi,Imadol,3 Ana 1 Paisa,13 Ft,"2,50,00,000",7,4,2076,Car 1,North,https://www.gharghaderi.com/house/2328-New-House-on-Sale-@-Imadol-Lalitpur/
House on Sell | 9818097854,Kathmandu,Gokarneswor,3 Aana,3 Aana,13 Ft,"1,95,00,000",6,3,2068,Car 1,West,https://www.gharghaderi.com/house/2326-House-on-Sell/
Full house on rent for office | 9823838580,,,,1500 Sqft,13 Ft,"2,00,000
Price /Aana",,,,,,https://www.gharghaderi.com/house/2325-Full-house-on-rent-for-office/
"House for sale in Madhyam Path, Lamachaur, Pokhara 16 | 9804186667",Kaski,Pokhara,Lamachaur,4 Aana,,"2,80,00,000",6,5+,2070,Car 1,East,https://www.gharghaderi.com/house/2323-House-for-sale-in-Madhyam-Path-Lamachaur-Pokhara-16/
"House for sale(Biratnagar-09,Morang) | +977982437",Morang,Biratnagar,"College road,BhanuBhakta marg(near Bustand)",18 Dhur,10 Ft,"2,50,00,000",8,2,2067,Motorbike,North,https://www.gharghaderi.com/house/2322-House-for-sale(Biratnagar-09-Morang)/
Beautiful House On Sale At Balkhu | 9843635550,Kathmandu,Kathmandu,Balkhu,3 Aaana,5 Metre,"2,23,50,000",3,3,2076,Car 1,North,https://www.gharghaderi.com/house/2300-Beautiful-House-On-Sale-At-Balkhu/
4.5 Aanama baneko 3.5 talla Ghar Goldhunga LolangPhant on Rs 2.9 Crore | 9818046476,Kathmandu,Kathmandu,Goldhunga,1500 Sqft,10 Ft,"2,95,00,000",8,4,2075,Car 1,West,https://www.gharghaderi.com/house/2295-4.5-Aanama-baneko-3.5-talla-Ghar-Goldhunga-LolangPhant-on-Rs-2.9-Crore/
"Sale Semi Bungalow at Dhungedhara, Banasthali | 9860951737",Kathmandu,Kathmandu,Banasthali,0-4-2-1,13 Ft,"4,50,00,000",7,5+,2076,Car 2,North,https://www.gharghaderi.com/house/2293-Sale-Semi-Bungalow-at-Dhungedhara-Banasthali/
house for sale in Matatirtha | 9841363167,Kathmandu,Chandragiri,Matatirtha,14 Ana,,"3,80,00,000",8,5+,2067,Motorbike,North east,https://www.gharghaderi.com/house/2292-house-for-sale-in-Matatirtha/
"House sale in Imadole, Cozy Home | 9851315701",Lalitpur,Mahalaxmi,Imadole Cozy Home,1300FT,13 Ft,"2,30,00,000",2,2,2071,Car 2,East,https://www.gharghaderi.com/house/2285-House-sale-in-Imadole-Cozy-Home/
New house for sale in Bhaktapur Naya thimi - 04 | 9863034467,Bhaktapur,Madhyapur Thimi,Ss college near city flash swimming pool,3 Aana 2 Paisa,13 Ft,"2,74,99,999",7,3,2074,Car 1,North east,https://www.gharghaderi.com/house/2278-New-house-for-sale-in-Bhaktapur-Naya-thimi---04/
Flot rent | 9845167392,Bhaktapur,Suryabinayak,Chundevi,1200 Sqft,13 Ft,"16,000",3,1,2076,Car 1,East,https://www.gharghaderi.com/house/2277-Flot-rent/
Urgent sell house | 9845167392,Bhaktapur,Suryabinayak,Chundevi,5-Apr,13 Ft,"2,65,00,000",8,4,2076,Car 1,East,https://www.gharghaderi.com/house/2276-Urgent-sell-house/
New House on Sale @ Lalitpur Sanagau | 9864260884 sold,Lalitpur,Mahalaxmi,Sanagau,3 Ana,20 Ft,"2,15,00,000",4,3,2076,Motorbike,North east,https://www.gharghaderi.com/house/2275-New-House-on-Sale-@-Lalitpur-Sanagau/
House are selling with 4 kotha land. | 9861678993,Butwal,Kathmandu,Rupendehi,7katha,,"72,00,000",1,2,2070,Motorbike,West,https://www.gharghaderi.com/house/2274-House-are-selling-with-4-kotha-land./
"Seshmati, Lambagar, Kathmandu | 9861898926",Kathmandu,Tarakeshwor,"Lambagar, Sesmati",3 Aana,10 Ft (Inside 1 Kita),"1,27,00,000",3,1,2072,Car 1,North,https://www.gharghaderi.com/house/2272-Seshmati-Lambagar-Kathmandu/
2.5 storayed house in sell at jorpati | 9845919895,Kathmandu,Gokarneshwor,Jorpati,2.2aana,10,"1,43,00,000",3,3,2071,Motorbike,South,https://www.gharghaderi.com/house/2270-2.5-storayed-house-in-sell-at-jorpati/
House at Baneshwor Height on salae | 9843620580,Kathmandu,Kathmandu,Old Baneshwor Height,1-3-0-0,20 Ft,"20,00,00,000",8,5+,2075,Car 3+,West,https://www.gharghaderi.com/house/2268-House-at-Baneshwor-Height-on-salae/
New House on Sale - Tikathali Lalitpur | 9864260884 sold,Lalitpur,Mahalaxmi,Tikathali,0-3-1-1,13 Ft,"2,50,00,000",4,4,2076,Car 1,East,https://www.gharghaderi.com/house/2261-New-House-on-Sale---Tikathali-Lalitpur/
New House on Sale - Imadol | 9864260884 sold,Lalitpur,Mahalaxmi,Nayabasti,0-3-2-0,13 Ft,"2,60,00,000",5,4,2076,Car 1,North east,https://www.gharghaderi.com/house/2260-New-House-on-Sale---Imadol/
House sale Kathmandu Balaju Height | 9860830596,Kathmandu,Kathmandu,Balaju Height,1600 Sq Ft,6 Ft,"45,000",3,3,2068,Motorbike,South east,https://www.gharghaderi.com/house/2259-House-sale-Kathmandu-Balaju-Height/
Excellent house in Grande Villa Housing Colony | 9801111582,Kathmandu,Tokha,Grande Villa,4.75 Aana,20 Ft,"3,95,00,000",4,3,2070,Car 2,North,https://www.gharghaderi.com/house/2255-Excellent-house-in-Grande-Villa-Housing-Colony/
Newly House for Sale in Dhadingbesi Dhading | 9813073660,Dhading,nilakantha,Siran Bazar,1200 Sqft,12 Ft,"1,15,00,000",8,3,2076,Motorbike,West,https://www.gharghaderi.com/house/2248-Newly-House-for-Sale-in-Dhadingbesi-Dhading/
House for sale in koteshwor | 9861549905,Kathmandu,Kathmandu,Koteshwor,3 Aana,10 Ft,"4,15,00,000",1,4,2076,Motorbike,East,https://www.gharghaderi.com/house/2247-House-for-sale-in-koteshwor/
Hostel For Rent | 9840993615,Kathmandu,Baneshwor,Purano baneswor,1100 Sqft,,"17,50,000",8,5+,2076,Car 2,East,https://www.gharghaderi.com/house/2243-Hostel-For-Rent/
"Kageshwori manohara, 2.5 talle ghar bikrima. | 9860139214",Kathmandu,Kathmandu,Kageshwori Manohara,3.5 Aana,20 Ft,"2,40,00,000",6,3,2076,Car 1,East,https://www.gharghaderi.com/house/2241-Kageshwori-manohara-har-har-mahadev-chowk-bata-200m-bhitra-height-ma-recently-baneko-aakarshak-2.5-talle-ghar-bikrima./
"House for sale in Tinkune, Kathmandu | 9841708808",Kathmandu,Kathmandu,Tinkune,12 Aana,20 Ft,"12,00,00,000",8,5+,2067,Car 3+,South,https://www.gharghaderi.com/house/2240-House-for-sale-in-Tinkune-Kathmandu/
House for sale in Chandragiri 7 | 9823149701,Kathmandu,Chandragiri,on the way to cable car,5 Anna,10 Ft,"2,65,00,000",6,3,2073,Motorbike,West,https://www.gharghaderi.com/house/2234-House-for-sale-in-Chandragiri-7/
House For Sale | 9841821726,Lalitpur,Mahalaxmi,Lubhu,6 Aana,16 Ft,"5,50,00,000",7,5+,2075,Car 3+,North east,https://www.gharghaderi.com/house/2232-House-For-Sale/
Urgent sale of house located in Kirtipur due to DV lottery visa of USA | 9844238644,Kathmandu,Kirtipur,Dhalpa,1000 Sqft,13 Ft,"1,65,00,000",8,3,2073,Car 1,South,https://www.gharghaderi.com/house/2229-Urgent-sale(165-lakhs-instead-of-180-lakhs)-of-house-located-in-Kirtipur-due-to-DV-lottery-visa-of-USA(30-days-left-to-go)/
Fully furnished house on sale in smart city near engineering college | 9803563704,Bhaktapur,Changunarayan,Duwakot,3.1 Aana,10ft,"75,00,00,000",4,1,2076,Motorbike,South,https://www.gharghaderi.com/house/2221-Fully-furnished-house-on-sale-in-smart-city-near-engineering-college/
Home sale in Imadol | 9813918966,Lalitpur,Mahalaxmi,Imadol,898.44,10 Ft,"2,50,00,000",6,3,2071,Car 1,East,https://www.gharghaderi.com/house/2215-Home-sale-in-Imadol/
Land and House on Sale | 9849236539,Kathmandu,Gokarneshwor,Near BP Meusem,3080 Sqft,32 Ft,"3,20,00,000",1,2,2070,Car 1,South east,https://www.gharghaderi.com/house/2207-Land-and-House-on-Sale/
House on sale in budanilkantha | 9808869132,Kathmandu,Budhanilkantha,Bhangal,15.2 Aana,,"6,50,00,000",6,5+,2068,Car 3+,West,https://www.gharghaderi.com/house/2206-House-on-sale-in-budanilkantha/
Brand New Home... | 9841401143,Lalitpur,Mahalaxmi,Tikathali Pawan Prakriti Height,5aana 2dam,12 Ft,"2,60,00,000",5,3,2076,Car 2,West,https://www.gharghaderi.com/house/2202-Brand-New-Home.../
Brand New Home... | 9841401143,Lalitpur,Mahalaxmi,"Imadol,lalitpur",3aana,13 Ft,"2,35,00,000",4,3,2076,Car 1,East,https://www.gharghaderi.com/house/2201-Brand-New-Home.../
Brand New House... | 9841401143,Lalitpur,Mahalaxmi,Imadol,3aana,13 Ft,"2,00,00,000",4,3,2076,Car 1,East,https://www.gharghaderi.com/house/2200-Brand-New-House.../
Brand New Home.... | 9841401143,Lalitpur,Mahalaxmi,Imadol,3aana 1dam,13 Ft,"2,20,00,000",4,3,2076,Car 1,East,https://www.gharghaderi.com/house/2199-Brand-New-Home..../
Brand New Home... | 9841401143,Lalitpur,Mahalaxmi,Imadol highway near 50m,3aana 1dam,13 Ft,"2,40,00,000",4,3,2076,Car 1,East,https://www.gharghaderi.com/house/2198-Brand-New-Home.../
Commerical house.... | 9841401143,Lalitpur,Mahalaxmi,Imadol highway near 50m,3aana 1 Paisa,12 Ft,"2,50,00,000",2,3,2076,Car 1,East,https://www.gharghaderi.com/house/2197-Commerical-house..../
New house built on 2073/74 after earthquake on sale due to winning DV lottery | 9844238644,Kathmandu,Kirtipur,3 anna,3 Anna,13 Ft,"1,80,00,000",8,3,2073,Car 1,South east,https://www.gharghaderi.com/house/2191-New-house-built-on-2073/74-after-earthquake-on-sale-due-to-winning-DV-lottery/
Residential Semi bungalow on sale | 9749343923,Kathmandu,Budhanilkantha,Budhanilkantha,6.25,14 Ft,"3,29,00,000",8,5,2075,Car 5+,North east,https://www.gharghaderi.com/house/2189-Residential-Semi-bungalow-on-sale/
House for sell | 9841401143,Lalitpur,Mahalaxmi,"Imadol,Lalitpur",2.75 Aana,20 Ft,"1,95,00,000",4,3,2076,Car 1,East,https://www.gharghaderi.com/house/2186-House-for-sell/
House sale urgently | 9869598391,Lalitpur,Mahalaxmi,Lubhu mahalaxmi campus,1000 Sqft,13 Ft,"1,90,00,000",5,3,2076,Car 1,East,https://www.gharghaderi.com/house/2183-House-sale-urgently/
"House for Sale in Radhe Radhe, Bhaktapur | 9869568675",Bhaktapur,Madhyapur Thimi,"Radhe Radhe, Kamerotar Planning",800 Sqft,7.5 M,"2,40,00,000",4,4,2076,Car 1,North,https://www.gharghaderi.com/house/2182-House-for-Sale-in-Radhe-Radhe-Bhaktapur/
"Talchhikhel, Lalitpur | 9848028313",Lalitpur,Lalitpur,Satdobato,4 Aana,6 Ft,"2,10,00,000",8,3,2076,Motorbike,East,https://www.gharghaderi.com/house/2180-Talchhikhel-Lalitpur/
House for sell in New Baneshwor Shankhamul | 9851051667,Kathmandu,Kathmandu,Shankhamul,2.5,20 Ft,"2,70,00,000",3,1,2067,Motorbike,West,https://www.gharghaderi.com/house/2179-House-for-sell-in-New-Baneshwor-Shankhamul/
House for sale in kathmandu basundhara-7 | 9841313124,Kathmandu,Tokha,BASUNDHARA,4 Aana,13 Ft,"2,50,00,000",6,4,2070,Car 2,South east,https://www.gharghaderi.com/house/2176-House-for-sale-in-kathmandu-basundhara-7/
Pension House | 9860931328,Kathmandu,Nagarjun,sitapaila,2.5aana,13 Ft,"1,55,00,000",5,3,2067,Motorbike,South,https://www.gharghaderi.com/house/2173-Pension-House/
House for sale Tokha (Dhapasi) | 9801003584,Kathmandu,Tokha,Dhapasi,9.24,6 Ft,"5,80,00,000",5,5+,2068,Car 2,North,https://www.gharghaderi.com/house/2166-House-for-sale-Tokha-(Dhapasi)/
RENT IN KALANKI | 9802023023,Kathamndu,Kathmandu,kalanki,3000 Sqft,20 Ft,"4,25,000",8,5+,2076,Car 3+,North east,https://www.gharghaderi.com/house/2163-RENT-IN-KALANKI/
New house for sale in Lubhu | 9841670280,Lalitpur,Mahalaxmi,Chasidol,4 Aana 1 Dam,13 Ft,"2,35,00,000",6,3,2074,Motorbike,West,https://www.gharghaderi.com/house/2156-New-house-for-sale-in-Lubhu/
