title,district,Municipality,vdc,landsize,Road,price,bedroom,bathroom,builtyear,parking,direction,url
"Residential House For Sale in Chunikhel, Budhanilkantha Nearby Peak point School | 9745300858",Kathmandu,Kathmandu,"Chunikhel, Budhanilkantha Nearby Peak point School",898,10 Ft,"1,95,00,000",4,3,2076,Motorbike,South west,https://www.gharghaderi.com/house/2941-Residential-House-For-Sale-in-Chunikhel-Budhanilkantha-Nearby-Peak-point-School/
5 luxury houses on sale at Madhuban Homes Budhanilkantha 9851155216,,kathmandu,Budhanilkantha,0-4-0-1,13 Ft,"4,15,00,000
Starting",,,,,,https://www.gharghaderi.com/housing/2895-5-luxury-houses-on-sale-at-Madhuban-Homes-Budhanilkantha/
"Residential House On Sale at Rudranagar Marg, Battisputali, Kathmandu | 9745300858",Kathmandu,Kathmandu,"Rudranagar Marg, Battisputali",4.5 Aana,20 Ft,"3,30,00,000",6,1,2076,Motorbike,West,https://www.gharghaderi.com/house/2807-Residential-House-On-Sale-at-Rudranagar-Marg-Battisputali-Kathmandu/
"Residential House On Sale at Chandragiri-06, Radhekrishna Tole, Kathmandu | 9745300858",Kathmandu,Kathmandu,"Chandragiri-06, Radhekrishna Tole",5 Aana,20 Ft.,"2,67,00,000",6,1,2076,Motorbike,West,https://www.gharghaderi.com/house/2806-Residential-House-On-Sale-at-Chandragiri-06-Radhekrishna-Tole-Kathmandu/
"Luxurious Building On Sale at Paiyatar, Kapan, Budhanilkantha, Kathmandu, Nepal | 9745300858",Kathmandu,Kathmandu,"Paiyatar, Kapan, Budhanilkantha",3 Aana 4 Paisa 1 Daam,,"2,85,00,000",7,3,2076,Car 1,East,https://www.gharghaderi.com/house/2805-Luxurious-Building-On-Sale-at-Paiyatar-Kapan-Budhanilkantha-Kathmandu-Nepal/
"Residential House On Sale at Gurung Tole Nearby Aani Gumba, Kapan, Kathmandu | 9745300858",Kathmandu,Kathmandu,"Gurung Tole Nearby Aani Gumba, Kapan",4 Aana 5 Paisa,16 Ft.,"1,80,00,000",2,4,2076,Motorbike,North east,https://www.gharghaderi.com/house/2804-Residential-House-On-Sale-at-Gurung-Tole-Nearby-Aani-Gumba-Kapan-Kathmandu/
"Bungalow For Rent at Baluwatar Nearby Chinese Embassy, Kathmandu, Nepal | 9745300858",Kathmandu,Kathmandu,Baluwatar,1 Ropani,23 Ft,"3,00,000",1,1,2076,Car 5-10,East,https://www.gharghaderi.com/house/2803-Bungalow-For-Rent-at-Baluwatar-Nearby-Chinese-Embassy-Kathmandu-Nepal/
"Residential House On Sale at Tarkeshwor-04, Sesmati, Kathmandu On NRs. 1.2 Crore | 9745300858",Kathmandu,Kathmandu,"Tarkeshwor-04, Sesmati",0-4-1-3,3 Ft,"1,20,00,000",1,1,2076,Motorbike,West,https://www.gharghaderi.com/house/2802-Residential-House-On-Sale-at-Tarkeshwor-04-Sesmati-Kathmandu-On-NRs.-1.2-Crore/
"4BHK Modern Home Available For SALE At Chappal Karkhana, Kathmandu | 9802601313",Kathmandu,Kathmandu,Chappal karkhana,0-3-0-0,16,"3,50,00,000",4,4,2076,Car 1,South,https://www.gharghaderi.com/house/2796-4BHK-Modern-Home-Available-For-SALE-At-Chappal-Karkhana-Kathmandu/
"Bungalow For SALE At Sanobharyang, Kathmandu | 9802601313",Kathmandu,Kathmandu,Sanobharyang,0-8-2-0,16 Ft,"8,50,00,000",7,5,2076,Car 2,West,https://www.gharghaderi.com/house/2795-Bungalow-For-SALE-At-Sanobharyang-Kathmandu/
