Floors,City,Address,Land,Price,Bedroom,Bathroom,Parking,Face,Road
3,Kathmandu,Kapan,1540.125,33000000,6,3,3+,East,13
3.5,Lalitpur,Kharibot,1711.25,58000000,5,5,3+,,13
3.5,Lalitpur,Khumaltar,1326.21875,23000000,4,4,3+,North East,13
4.5,Kathmandu,Machhapokhari,2181.84375,52500000,20,21,3+,North East,13
2.5,Kathmandu,Makalbari,1069.53125,18000000,5,3,3+,East,13
3.5,Lalitpur,Nakkhu,1197.875,39000000,5,6,3+,East,13
3.5,Kathmandu,"Narayantar, Jorpati",1711.25,27500000,5,5,3+,East,13
3.5,Kathmandu,Naya Naikap,1454.5625,29000000,7,4,3+,South East,13
3.5,Kathmandu,"Nayabasti, Jorpati",1235.5225,31000000,11,3,3+,North,13
2.5,Kathmandu,Ramkot,1197.875,19000000,2,4,3+,South,13
2.5,Kathmandu,Raniban,1454.5625,28900000,8,5,3+,South,13
3.5,Kathmandu,Satungal,1197.875,23000000,6,4,3+,North East,13
2.5,Lalitpur,Shital Height,1369,29000000,4,4,3+,East,13
2.5,Kathmandu,Sitapaila,1197.875,30000000,2,2,3+,East,13
3,Kathmandu,Syuchatar,1711.25,25000000,5,4,3+,South West,13
2.5,Kathmandu,Thankot,1026.75,14500000,2,3,3+,South East,13
1,Lalitpur,Tikathali,1433.171875,17000000,2,1,3+,West,13
3,Lalitpur,Tikathali,1112.3125,26000000,6,4,3+,South,13
2.5,Kathmandu,Budhanilkantha,1711.25,30000000,5,4,3+,South West,13
3,Lalitpur,Imadol,1026.75,26000000,6,3,3+,East,13
3,Lalitpur,Boje Pokhari,1155.09375,27500000,6,4,3+,North West,14
2.5,Kathmandu,Budhanilkantha,1711.25,16500000,9,3,3+,,14
2.5,Kathmandu,Budhanilkantha,2395.75,70000000,5,6,3+,South East,14
2.5,Kathmandu,Budhanilkantha,3764.75,85000000,6,4,3+,South East,14
1,Lalitpur,Hattiban,605,8000000,2,1,3+,South East,14
2.5,Lalitpur,Imadol,855.625,20600000,6,3,3+,West,14
2.5,Kathmandu,Kapan,1197.875,27500000,5,2,3+,East,14
3,Lalitpur,Tikathali,855.625,18500000,3,3,3+,North East,14
2.5,Lalitpur,Tikathali,1026.75,21500000,4,4,3+,North,14
2.5,Lalitpur,Tikathali,1112.3125,22500000,6,3,3+,North,14
2.5,Lalitpur,Tikathali,1112.3125,23500000,7,3,3+,West,14
2.5,Lalitpur,Bhainsepati,1026.75,28500000,6,3,3-,North East,15
2.5,Lalitpur,Thasikhel,1882.375,23500000,6,5,3+,East,15
1,Lalitpur,Tikathali,1112.3125,15500000,2,1,3+,North East,15
3.5,Kathmandu,Tyanglaphat,1711.25,25000000,9,5,3+,East,15
2.5,Kathmandu,Balambu,855.625,14500000,5,3,3+,South East,16
2.5,Lalitpur,Bhainsepati,3101.640625,50000000,3,4,3+,South,16
2.5,Kathmandu,Budhanilkantha,1882.375,31000000,5,6,3+,North,16
5.5,Kathmandu,Ganga Hall Marg,3080.25,47500000,11,10,3+,North East,16
4,Kathmandu,Gaurighat,1390.390625,35000000,12,8,3+,South,16
2.5,Lalitpur,Imadol,1197.875,24500000,6,3,3+,East,16
2.5,Lalitpur,Imadol,941.1875,25000000,5,4,3+,East,16
2.5,Lalitpur,Imadol,1026.75,26100000,5,3,3+,East,16
2.5,Lalitpur,Imadol,1625.6875,41500000,4,4,3+,East,16
2.5,Lalitpur,Imadol,1197.875,22500000,6,3,3+,West,16
,Kathmandu,Sukedhara Chowk,1369,45000000,6,4,3+,North,16
3.5,Lalitpur,Kharibot,1026.75,30000000,6,4,3+,North West,18
4.5,Kathmandu,New Buspark,1026.75,23000000,15,8,3-,South,18
3.5,Kathmandu,Sankhamul,1026.75,37000000,6,3,3+,East,18
3.5,Bhaktapur,Balkot,2566.875,55000000,3,3,3+,South,20
1,Kathmandu,Bojepokhari,2738,4500000,7,3,3+,South,20
2.5,Kathmandu,Budhanilkantha,1197.875,39000000,4,5,3-,,20
2.5,Kathmandu,Budhanilkantha,2310.1875,67500000,5,3,3+,North East,20
1.5,Kathmandu,Gokarneshwor Municipality- 2,2566.875,18000000,2,1,3+,East,20
2.5,Lalitpur,Harisiddhi,1155.09375,24000000,3,5,3+,North West,20
2.5,Lalitpur,Harisiddhi,1411.78125,27000000,3,3,3+,North,20
2.5,Lalitpur,Imadol,1026.75,22500000,4,4,3+,West,20
2.5,Lalitpur,Imadol,1197.875,23500000,6,4,3+,South,20
2.5,Lalitpur,Imadol,1026.75,24000000,5,4,3+,North,20
2.5,Lalitpur,Imadol,1369,25000000,4,4,3+,North East,20
3,Lalitpur,Imadol,1026.75,26500000,5,3,3+,West,20
2.5,Kathmandu,Kadaghari,1369,23500000,6,4,3+,South East,20
2.5,Kathmandu,Kapan,3080.25,52500000,5,5,3+,South West,20
4,Bhaktapur,Kausaltar,1882.375,32500000,10,4,3+,North East,20
3.5,Lalitpur,Kharibot,855.625,15000000,5,3,3-,North East,20
2.5,Kathmandu,Kuleshwor,855.625,29800000,10,4,3+,East,20
2,Lalitpur,Lubhu,1262.046875,23500000,6,6,3+,South,20
2.5,Kathmandu,Makalbari,1197.875,16000000,3,3,3+,East,20
3.5,Kathmandu,Manamaiju,1283.4375,25500000,7,4,3+,East,20
2.5,Kathmandu,Mulpani,1711.25,30000000,6,3,3+,North,20
2.5,Kathmandu,Mulpani 7,1369,20000000,6,3,3+,North,20
2.5,Kathmandu,Naya Bazar,855.625,18000000,7,3,3-,North West,20
3,Kathmandu,Nayapati,1283.4375,26000000,6,3,3+,South East,20
3,Kathmandu,PepsiCola,1197.875,22000000,6,4,3+,East,20
2.5,Lalitpur,Saibu,855.625,21500000,5,3,3+,West,20
1,Bhaktapur,Sirutar,1369,15000000,2,1,3+,West,20
2.5,Lalitpur,Sobhahiti,855.625,16500000,6,4,3+,North West,20
3.5,Kathmandu,Thamel,2012.43,55000000,6,4,3+,South,20
1,Kathmandu,Tikathali,1112.3125,17200000,2,1,3+,West,20
3,Lalitpur,Tikathali,1069.53125,23000000,6,3,3+,South,20
2.5,Lalitpur,Tikathali,1026.75,25000000,6,5,3+,East,20
1,Lalitpur,Imadol,855.625,15500000,2,1,3+,South West,20
2.5,Lalitpur,Imadol,1026.75,28500000,6,3,3+,East,20
2.5,Kathmandu,Kapan,855.625,14000000,4,3,3-,North,22
3,Kathmandu,Baniyatar,1625.6875,35000000,6,5,3+,South East,24
1,Bhaktapur,Sirutar,3148.7,37000000,7,1,3+,South,24
,Lalitpur,TIkathali,1133.703125,15000000,5,2,3+,East,24
3,Lalitpur,Tikathali,941.1875,19900000,5,4,3+,East,24
3,Kathmandu,Dhungedhara,1026.75,33000000,5,4,3+,West,25
3.5,Kathmandu,Jorpati,1369,37000000,6,6,3+,North East,25
3.5,Kathmandu,Satungal,1369,29000000,8,5,3+,North East,25
2.5,Bhaktapur,Balkot,1155.09375,27500000,4,4,3+,West,26
5.5,Kathmandu,Kalanki,1711.25,60000000,20,10,3+,South East,26
4.5,Kathmandu,Mitranagar,1369,45000000,20,17,3+,North East,26
2.5,Lalitpur,Raj Kulo Shital Height,1048.140625,27500000,4,4,3+,South,26
2.5,Lalitpur,Tikathali,1026.75,19500000,5,4,3+,North,26
2.5,Lalitpur,Tikathali,1112.3125,22500000,4,4,3+,South,26
2.5,Lalitpur,Tikathali,1197.875,24500000,6,5,3+,East,26
3,Lalitpur,Imadol,941.1875,23000000,5,5,3+,West,30
2.5,Lalitpur,Tikathali,1112.3125,23500000,5,4,3+,South East,36
2.5,Lalitpur,Imadol,1069.53125,17200000,6,3,3+,East,13
2.5,Lalitpur,Imadol,1112.3125,26000000,5,5,3+,West,13
2.5,Lalitpur,Imadol,1147.0851,27500000,7,4,3+,West,20
3.5,Kathmandu,Infront of Raja Birendra Marga,3935.875,73000000,21,4,3+,North West,20
2.5,Kathmandu,Jorpati,855.625,15200000,4,3,3+,East,10
2.5,Kathmandu,Kageshwori Manahara-6,1026.75,15000000,6,3,3+,North,10
2,Kathmandu,Machhegaun,1561.515625,24000000,2,3,3+,South East,13
3,Kathmandu,Makalbari,1026.75,19500000,7,3,3+,North East,4
2.5,Kathmandu,Manamaiju,1283.4375,27000000,7,3,3+,South West,16
2.5,Kathmandu,Mid-Baneshwor,3593.625,85000000,5,5,3+,North,12
5.5,Kathmandu,New Buspark,1112.3125,36000000,23,15,3+,South,12
3.5,Kathmandu,Pepsicola,1369,32500000,4,3,3+,North,11
2.5,Kathmandu,Purano Naikap,1711.25,30000000,5,4,3+,West,10
4.5,Kathmandu,Ranibari,2652.4375,45000000,7,8,3+,West,10
6.5,Kathmandu,Ratopol,5133.75,220000000,28,11,3+,South,18
2.5,Kathmandu,Samakhusi,3422.5,72500000,6,6,3+,South,26
1,Lalitpur,Sanagaun,1026.75,15200000,2,1,3+,North West,13
3.5,Kathmandu,Shantinagar,1540.125,45500000,6,4,3+,East,10
2.5,Bhaktapur,Srijana Nagar,1711.25,30000000,5,5,3+,West,18
3.5,Kathmandu,Suryadanda,1711.25,36100000,7,3,3+,South,18
2.5,Lalitpur,Tikathali,1026.75,23000000,4,4,3+,West,20
2.5,Lalitpur,Tikathali,1048.140625,23000000,5,4,3+,East,13
2.5,Lalitpur,Tikathali,1026.75,23500000,7,3,3+,North West,13
2.5,Lalitpur,Tikathali,1112.3125,25000000,6,3,3+,South West,13
2.5,Lalitpur,Tikathali,1112.3125,25000000,6,5,3+,South,13
2.5,Lalitpur,Tikathali,1197.875,26000000,7,3,3+,East,12
